Currency,Issuer,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask
USD,000000,6.5000%,-,Aa2,10/1/2034,130.00,-
USD,3M Co.,6.3750%,2.71%,A1,2/15/2028,-,-
USD,3M Co.,5.7000%,-,A1,3/15/2037,-,129.86
USD,3M Co.,2.0000%,0.26%,A1,6/26/2022,101.72,102.88
USD,3M Co.,3.0000%,1.06%,A1,8/7/2025,101.41,104.76
USD,3M Co.,2.2500%,1.28%,A1,9/19/2026,99.81,99.96
USD,3M Co.,3.1250%,3.04%,A1,9/19/2046,99.82,100.83
USD,3M Co.,2.2500%,0.38%,A1,3/15/2023,103.26,104.39
USD,3M Co.,2.8750%,1.44%,A1,10/15/2027,108.07,108.67
USD,3M Co.,3.6250%,3.12%,A1,10/15/2047,107.08,109.84
USD,3M Co.,3.2500%,0.59%,A1,2/14/2024,107.22,108.38
USD,3M Co.,3.6250%,1.74%,A1,9/14/2028,111.63,113.30
USD,3M Co.,4.0000%,3.12%,A1,9/14/2048,113.19,118.63
USD,3M Co.,0.4938%,-,A1,2/14/2024,-,-
USD,3M Co.,2.7500%,0.40%,A1,3/1/2022,-,-
USD,3M Co.,3.3750%,1.89%,A1,3/1/2029,107.03,107.18
USD,3M Co.,2.6500%,0.95%,A1,4/15/2025,105.95,107.02
USD,3M Co.,3.0500%,2.04%,A1,4/15/2030,-,-
USD,3M Co.,3.7000%,3.15%,A1,4/15/2050,108.66,111.32
USD,7-Eleven Inc.,0.6250%,0.57%,,2/10/2023,99.91,100.38
USD,7-Eleven Inc.,0.8000%,0.78%,,2/10/2024,99.87,100.28
USD,7-Eleven Inc.,0.9500%,1.29%,,2/10/2026,97.91,98.38
USD,7-Eleven Inc.,1.3000%,1.73%,,2/10/2028,96.26,96.89
USD,7-Eleven Inc.,1.8000%,2.33%,,2/10/2031,94.75,95.63
USD,7-Eleven Inc.,2.5000%,3.09%,,2/10/2041,90.16,91.43
USD,7-Eleven Inc.,2.8000%,3.33%,,2/10/2051,89.78,90.73
USD,7-Eleven Inc.,0.6454%,0.59%,,8/10/2022,99.60,100.68
USD,ABB Finance USA Inc.,2.8750%,0.66%,A3,5/8/2022,102.14,102.47
USD,ABB Finance USA Inc.,4.3750%,2.95%,A3,5/8/2042,-,109.44
USD,ABB Finance USA Inc.,3.8000%,1.71%,A3,4/3/2028,113.06,114.12
USD,ABB Treasury Center USA Inc.,4.0000%,0.45%,,6/15/2021,106.06,-
USD,ABC Supply Co. Inc.,5.8750%,5.22%,,5/15/2026,-,-
USD,ACI Worldwide Inc.,5.7500%,5.17%,,8/15/2026,-,-
USD,ADT Corp.,3.5000%,2.35%,Ba3,7/15/2022,101.28,102.59
USD,ADT Corp.,4.8750%,7.06%,Ba3,7/15/2042,81.87,86.38
USD,ADT Corp.,4.1250%,2.37%,Ba3,6/15/2023,102.22,104.77
USD,AECOM,5.8750%,2.69%,Ba3,10/15/2024,110.13,112.00
USD,AECOM,5.1250%,3.31%,Ba3,3/15/2027,-,-
USD,AEP Texas Inc.,2.1000%,2.22%,Baa2,7/1/2030,97.45,99.69
USD,AEP Texas Inc.,6.6500%,4.07%,Baa2,2/15/2033,115.50,-
USD,AEP Texas Inc.,3.9500%,3.97%,,6/1/2028,-,-
USD,AEP Transmission Company LLC,3.7500%,3.25%,,12/1/2047,107.92,108.63
USD,AEP Transmission Company LLC,4.2500%,3.29%,A2,9/15/2048,-,-
USD,AEP Transmission Company LLC,3.6500%,3.25%,A2,4/1/2050,105.92,108.70
USD,AFLAC Inc.,6.9000%,-,A3,12/17/2039,-,116.94
USD,AFLAC Inc.,6.4500%,-,A3,8/15/2040,-,110.88
USD,AFLAC Inc.,3.6250%,0.55%,A3,6/15/2023,105.06,105.55
USD,AFLAC Inc.,3.6250%,0.75%,A3,11/15/2024,109.66,110.85
USD,AFLAC Inc.,3.2500%,1.09%,A3,3/17/2025,104.31,-
USD,AFLAC Inc.,2.8750%,1.36%,A3,10/15/2026,100.34,101.20
USD,AFLAC Inc.,4.0000%,3.36%,A3,10/15/2046,109.27,113.73
USD,AFLAC Inc.,4.7500%,-,A3,1/15/2049,108.56,110.47
USD,AIG Global Funding,1.9000%,0.28%,,10/6/2021,100.92,-
USD,AIG Global Funding,2.7000%,0.33%,,12/15/2021,-,-
USD,AIG Global Funding,2.3000%,0.12%,,1/1/2022,-,-
USD,AIG Global Funding,0.4500%,0.46%,,12/8/2023,-,-
USD,AIG Life Holdings Inc.,8.5000%,-,Baa2,7/1/2030,132.66,-
USD,AK Steel Corp.,7.6250%,11.86%,WR,10/1/2021,-,104.27
USD,AK Steel Corp.,7.5000%,11.90%,WR,7/15/2023,87.39,99.98
USD,ALLTEL Corp.,7.8750%,4.19%,,7/1/2032,145.22,149.00
USD,AMC Entertainment Holdings Inc.,5.8750%,21.03%,Ca,11/15/2026,-,-
USD,AMC Entertainment Holdings Inc.,6.1250%,20.19%,Ca,5/15/2027,52.00,-
USD,AMC Entertainment Holdings Inc.,10.5000%,10.50%,,4/15/2025,-,-
USD,AMC Entertainment Inc.,5.7500%,20.86%,Ca,6/15/2025,54.84,61.99
USD,AMC Networks Inc.,4.7500%,6.43%,WR,12/15/2022,-,-
USD,AMC Networks Inc.,5.0000%,4.58%,Ba3,4/1/2024,100.61,102.73
USD,AMC Networks Inc.,4.2500%,4.39%,Ba3,2/15/2029,98.03,100.18
USD,ANR Pipeline Co.,9.6250%,-,A3,11/1/2021,126.00,-
USD,AON Corp.,3.7500%,2.14%,Baa2,5/2/2029,110.31,112.04
USD,AON Corp.,2.2000%,0.45%,Baa2,11/15/2022,102.34,103.53
USD,AT & T Inc.,6.5000%,3.21%,,3/15/2029,120.90,139.04
USD,AT & T Inc.,8.7500%,4.15%,Baa2,11/15/2031,-,-
USD,AT & T Inc.,6.8000%,-,Baa2,5/15/2036,121.31,-
USD,AT & T Inc.,6.5000%,4.12%,Baa2,9/1/2037,129.14,132.67
USD,AT & T Inc.,6.3000%,3.85%,Baa2,1/15/2038,128.29,132.83
USD,AT & T Inc.,6.4000%,3.52%,Baa2,5/15/2038,118.79,-
USD,AT & T Inc.,6.5500%,3.96%,Baa2,2/15/2039,131.69,135.95
USD,AT & T Inc.,5.5500%,3.89%,Baa2,8/15/2041,122.16,124.64
USD,AT & T Inc.,4.3000%,3.81%,Baa2,12/15/2042,105.89,108.06
USD,AT & T Inc.,4.3500%,3.90%,Baa2,6/15/2045,106.62,108.30
USD,AT & T Inc.,2.6250%,0.77%,Baa2,12/1/2022,102.63,103.74
USD,AT & T Inc.,3.9000%,0.91%,Baa2,3/11/2024,108.30,109.59
USD,AT & T Inc.,4.8000%,3.96%,Baa2,6/15/2044,111.87,113.82
USD,AT & T Inc.,3.0000%,0.72%,Baa2,6/30/2022,102.40,103.51
USD,AT & T Inc.,3.4000%,1.20%,Baa2,5/15/2025,108.09,109.38
USD,AT & T Inc.,4.5000%,3.29%,Baa2,5/15/2035,112.03,113.89
USD,AT & T Inc.,4.7500%,3.98%,Baa2,5/15/2046,111.50,113.24
USD,AT & T Inc.,4.1250%,1.43%,Baa2,2/17/2026,111.82,113.17
USD,AT & T Inc.,5.6500%,4.08%,Baa2,2/15/2047,123.19,126.53
USD,AT & T Inc.,4.4500%,0.99%,Baa2,4/1/2024,109.70,110.89
USD,AT & T Inc.,3.9500%,1.17%,Baa2,1/15/2025,109.63,110.94
USD,AT & T Inc.,6.3500%,-,Baa2,3/15/2040,-,111.68
USD,AT & T Inc.,6.0000%,3.94%,Baa2,8/15/2040,128.76,130.42
USD,AT & T Inc.,6.3750%,3.86%,Baa2,3/1/2041,117.91,119.51
USD,AT & T Inc.,5.1500%,3.79%,Baa2,3/15/2042,117.63,120.46
USD,AT & T Inc.,4.5000%,4.05%,Baa2,3/9/2048,106.21,108.24
USD,AT & T Inc.,4.5500%,4.06%,Baa2,3/9/2049,106.37,109.44
USD,AT & T Inc.,3.8000%,0.97%,Baa2,3/1/2024,107.66,109.27
USD,AT & T Inc.,4.2500%,1.79%,Baa2,3/1/2027,112.45,113.68
USD,AT & T Inc.,5.2500%,3.50%,Baa2,3/1/2037,119.71,122.07
USD,AT & T Inc.,5.4500%,4.12%,Baa2,3/1/2047,119.45,121.82
USD,AT & T Inc.,5.7000%,4.40%,Baa2,3/1/2057,121.79,128.37
USD,AT & T Inc.,5.1500%,4.17%,Baa2,2/15/2050,-,-
USD,AT & T Inc.,4.9000%,3.55%,Baa2,8/15/2037,115.00,117.76
USD,AT & T Inc.,0.9405%,0.36%,Baa2,6/1/2021,99.64,100.70
USD,AT & T Inc.,1.3995%,0.61%,Baa2,6/12/2024,101.92,103.14
USD,AT & T Inc.,4.1000%,2.03%,Baa2,2/15/2028,112.74,113.42
USD,AT & T Inc.,4.3000%,2.56%,Baa2,2/15/2030,112.70,113.56
USD,AT & T Inc.,5.1500%,4.00%,Baa2,11/15/2046,104.50,105.49
USD,AT & T Inc.,4.3500%,2.36%,Baa2,3/1/2029,112.77,114.52
USD,AT & T Inc.,4.8500%,3.71%,Baa2,3/1/2039,113.09,116.66
USD,AT & T Inc.,4.0500%,0.65%,Baa2,12/15/2023,108.75,111.54
USD,AT & T Inc.,3.5500%,1.19%,Baa2,6/1/2024,-,-
USD,AT & T Inc.,3.6000%,1.19%,Baa2,7/15/2025,109.72,110.16
USD,AT & T Inc.,3.8750%,1.33%,Baa2,1/15/2026,110.82,112.38
USD,AT & T Inc.,2.9500%,1.46%,Baa2,7/15/2026,-,-
USD,AT & T Inc.,3.8000%,1.66%,Baa2,2/15/2027,110.47,112.05
USD,AT & T Inc.,6.2500%,4.03%,Baa2,3/29/2041,129.39,153.76
USD,AT & T Inc.,2.3000%,1.73%,Baa2,6/1/2027,101.97,103.16
USD,AT & T Inc.,2.7500%,2.64%,Baa2,6/1/2031,99.81,100.72
USD,AT & T Inc.,3.5000%,3.61%,Baa2,6/1/2041,96.53,98.53
USD,AT & T Inc.,3.6500%,3.98%,Baa2,6/1/2051,93.39,94.28
USD,AT & T Inc.,3.8500%,4.28%,Baa2,6/1/2060,91.26,94.04
USD,AT & T Inc.,3.1000%,3.65%,Baa2,2/1/2043,91.03,91.79
USD,AT & T Inc.,3.3000%,3.97%,Baa2,2/1/2052,87.29,88.15
USD,AT & T Inc.,3.5000%,4.09%,Baa2,2/1/2061,86.56,88.01
USD,AT & T Inc.,1.6500%,1.94%,Baa2,2/1/2028,97.10,97.73
USD,AT & T Inc.,2.2500%,2.72%,Baa2,2/1/2032,93.77,95.12
USD,AT & T Inc.,3.5000%,4.07%,Baa2,9/15/2053,89.79,90.7
USD,AT & T Inc.,3.5500%,4.14%,Baa2,9/15/2055,89.57,90.49
USD,AT & T Inc.,3.6500%,4.21%,Baa2,9/15/2059,-,90.75
USD,AT & T Inc.,2.5500%,-,Baa2,12/1/2033,-,96.74
USD,AT & T Inc.,3.8000%,-,,12/1/2057,-,93.73
USD,AT & T Inc.,5.3500%,3.71%,Baa2,9/1/2040,122.14,124.03
USD,AT & T Inc.,6.4500%,3.47%,Baa2,6/15/2034,130.48,133.95
USD,AT & T Inc.,6.1500%,-,Baa2,9/15/2034,137.08,142.08
USD,AT & T Inc.,4.1000%,-,,2/15/2028,94.55,95.06
USD,AT & T Inc.,4.3000%,-,,2/15/2030,93.23,93.98
USD,AT & T Inc.,5.1500%,5.69%,,2/15/2050,91.06,91.77
USD,AT & T Inc.,3.5000%,4.08%,,9/15/2053,88.71,89.58
USD,AT & T Inc.,3.5500%,4.15%,,9/15/2055,86.16,90.17
USD,AT & T Inc.,3.6500%,4.19%,,9/15/2059,88.15,90.77
USD,AT & T Inc.,2.5500%,-,,12/1/2033,94.44,95.50
USD,AT & T Inc.,3.8000%,-,,12/1/2057,91.38,93.19
USD,AT & T Inc.,4.2500%,3.99%,Baa2,3/1/2050,100.94,104.62
USD,AT & T Inc.,4.0000%,3.94%,Baa2,6/1/2049,-,-
USD,AT & T Inc.,3.7500%,3.96%,Baa2,9/1/2050,-,-
USD,AT&T Mobility LLC,7.1250%,-,WR,12/15/2031,118.00,-
USD,AXA Financial Inc.,7.0000%,2.76%,Baa2,4/1/2028,-,-
USD,AbbVie Inc.,2.9000%,0.51%,Baa2,11/6/2022,103.43,104.45
USD,AbbVie Inc.,4.4000%,3.34%,Baa2,11/6/2042,-,101.28
USD,AbbVie Inc.,3.2000%,0.74%,Baa2,11/6/2022,103.48,105.48
USD,AbbVie Inc.,3.6000%,1.25%,Baa2,5/14/2025,109.16,109.61
USD,AbbVie Inc.,4.5000%,2.94%,Baa2,5/14/2035,115.93,116.48
USD,AbbVie Inc.,4.7000%,3.56%,Baa2,5/15/2045,115.66,118.73
USD,AbbVie Inc.,2.3000%,1.35%,Baa2,5/14/2021,99.69,100.71
USD,AbbVie Inc.,4.3000%,3.02%,Baa2,5/14/2036,96.50,97.98
USD,AbbVie Inc.,4.4500%,3.53%,Baa2,5/14/2046,112.43,114.62
USD,AbbVie Inc.,2.8500%,0.74%,Baa2,5/14/2023,101.41,101.76
USD,AbbVie Inc.,3.2000%,1.47%,Baa2,5/14/2026,107.51,108.65
USD,AbbVie Inc.,3.7500%,0.72%,Baa2,11/14/2023,107.88,108.20
USD,AbbVie Inc.,4.8750%,3.60%,Baa2,11/14/2048,91.48,108.24
USD,AbbVie Inc.,3.3750%,0.49%,Baa2,11/14/2021,102.47,102.64
USD,AbbVie Inc.,4.2500%,2.08%,Baa2,11/14/2028,114.73,115.49
USD,AbbVie Inc.,2.1500%,-,Baa2,11/19/2021,101.96,102.14
USD,AbbVie Inc.,2.1500%,-,,11/19/2021,-,101.75
USD,AbbVie Inc.,2.3000%,-,Baa2,11/21/2022,103.70,104.08
USD,AbbVie Inc.,2.3000%,-,,11/21/2022,102.96,103.16
USD,AbbVie Inc.,2.6000%,-,Baa2,11/21/2024,-,107.24
USD,AbbVie Inc.,2.9500%,-,Baa2,11/21/2026,109.66,110.61
USD,AbbVie Inc.,2.9500%,1.55%,,11/21/2026,106.58,107.20
USD,AbbVie Inc.,3.2000%,-,Baa2,11/21/2029,112.76,-
USD,AbbVie Inc.,3.2000%,2.29%,,11/21/2029,105.50,106.29
USD,AbbVie Inc.,2.6000%,0.95%,,11/21/2024,105.05,106.17
USD,AbbVie Inc.,4.0500%,3.20%,,11/21/2039,-,-
USD,AbbVie Inc.,4.2500%,3.57%,,11/21/2049,109.80,112.08
USD,AbbVie Inc.,3.2500%,-,,10/1/2022,103.48,103.63
USD,AbbVie Inc.,3.8000%,1.26%,,3/15/2025,109.31,109.88
USD,AbbVie Inc.,2.1500%,0.56%,,11/19/2021,137.83,103.02
USD,AbbVie Inc.,0.6414%,0.36%,,11/19/2021,97.21,103.22
USD,AbbVie Inc.,2.3000%,0.20%,,11/21/2022,100.54,106.74
USD,AbbVie Inc.,0.8324%,0.80%,,11/21/2022,97.83,104.04
USD,AbbVie Inc.,2.6000%,0.77%,,11/21/2024,106.42,106.93
USD,AbbVie Inc.,4.0500%,2.87%,,11/21/2039,-,-
USD,AbbVie Inc.,4.2500%,4.92%,,11/21/2049,89.06,91.65
USD,AbbVie Inc.,0.5324%,0.15%,,5/21/2021,97.09,103.11
USD,AbbVie Inc.,2.9500%,1.09%,,11/21/2026,110.24,111.07
USD,AbbVie Inc.,3.2000%,1.71%,,11/21/2029,111.98,113.11
USD,Abbott Laboratories,6.1500%,2.92%,A3,11/30/2037,149.35,176.05
USD,Abbott Laboratories,6.0000%,2.80%,A3,4/1/2039,143.27,145.49
USD,Abbott Laboratories,5.3000%,2.85%,A3,5/27/2040,134.88,137.76
USD,Abbott Laboratories,2.5500%,0.34%,A3,3/15/2022,101.32,101.44
USD,Abbott Laboratories,2.9500%,1.00%,A3,3/15/2025,106.80,108.10
USD,Abbott Laboratories,3.8750%,1.25%,A3,9/15/2025,-,-
USD,Abbott Laboratories,4.7500%,2.97%,A3,4/15/2043,-,-
USD,Abbott Laboratories,1.1500%,1.54%,A3,1/30/2028,95.93,97.42
USD,Abbott Laboratories,1.4000%,1.99%,A3,6/30/2030,93.68,95.12
USD,Acadia Healthcare Co. Inc.,5.6250%,5.75%,,2/15/2023,-,-
USD,Acadia Healthcare Co. Inc.,6.5000%,6.80%,B3,3/1/2024,-,-
USD,Activision Blizzard Inc.,3.4000%,1.33%,Baa1,9/15/2026,-,-
USD,Activision Blizzard Inc.,3.4000%,1.56%,Baa1,6/15/2027,110.48,111.06
USD,Activision Blizzard Inc.,4.5000%,3.34%,Baa1,6/15/2047,99.72,101.21
USD,Activision Blizzard Inc.,1.3500%,2.23%,Baa1,9/15/2030,90.97,92.50
USD,Activision Blizzard Inc.,2.5000%,3.24%,Baa1,9/15/2050,84.11,85.30
USD,Adient US LLC,7.0000%,5.40%,,5/15/2026,-,-
USD,Adobe Inc.,3.2500%,0.98%,A2,2/1/2025,-,-
USD,Adobe Inc.,1.7000%,0.33%,A2,2/1/2023,101.97,103.17
