Currency,Issuer,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask
USD,000000,6.5000%,3.36%,,3/15/2029,118.68,134.84
USD,000000,8.7500%,3.73%,Baa2,11/15/2031,-,-
USD,000000,3.2000%,1.18%,A2,4/1/2024,103.53,105.32
USD,3M Co.,6.3750%,2.38%,A1,2/15/2028,122.11,128.09
USD,3M Co.,5.7000%,-,A1,3/15/2037,120.00,-
USD,3M Co.,2.0000%,0.32%,A1,6/26/2022,100.16,101.35
USD,3M Co.,3.0000%,1.56%,A1,8/7/2025,104.31,106.31
USD,3M Co.,2.2500%,1.77%,A1,9/19/2026,-,-
USD,3M Co.,3.1250%,3.00%,A1,9/19/2046,100.92,101.86
USD,3M Co.,2.2500%,0.94%,A1,3/15/2023,101.00,102.21
USD,3M Co.,2.8750%,1.82%,A1,10/15/2027,104.96,106.12
USD,3M Co.,3.6250%,3.04%,A1,10/15/2047,109.02,111.01
USD,3M Co.,3.2500%,1.08%,A1,2/14/2024,103.98,105.24
USD,3M Co.,3.6250%,1.97%,A1,9/14/2028,109.46,110.85
USD,3M Co.,4.0000%,3.06%,A1,9/14/2048,115.64,117.70
USD,3M Co.,0.4560%,0.48%,A1,2/14/2024,99.84,100.42
USD,3M Co.,3.3750%,2.22%,A1,3/1/2029,106.69,108.17
USD,3M Co.,2.6500%,1.43%,A1,4/15/2025,103.35,104.58
USD,3M Co.,3.0500%,2.29%,A1,4/15/2030,104.94,106.24
USD,3M Co.,3.7000%,2.98%,A1,4/15/2050,112.23,114.65
USD,7-Eleven Inc.,0.6250%,0.84%,,2/10/2023,98.99,100.62
USD,7-Eleven Inc.,0.8000%,1.43%,,2/10/2024,98.13,99.29
USD,7-Eleven Inc.,0.9500%,2.05%,,2/10/2026,95.26,97.26
USD,7-Eleven Inc.,1.3000%,2.36%,,2/10/2028,93.10,94.19
USD,7-Eleven Inc.,1.8000%,2.63%,,2/10/2031,92.28,93.70
USD,7-Eleven Inc.,2.5000%,3.23%,,2/10/2041,88.88,90.88
USD,7-Eleven Inc.,2.8000%,3.35%,,2/10/2051,88.78,90.61
USD,ABB Finance USA Inc.,2.8750%,1.62%,A3,5/8/2022,100.73,100.89
USD,ABB Finance USA Inc.,4.3750%,2.98%,A3,5/8/2042,120.75,122.18
USD,ABB Finance USA Inc.,3.8000%,1.99%,A3,4/3/2028,110.23,110.67
USD,ACI Worldwide Inc.,5.7500%,4.85%,,8/15/2026,-,-
USD,AECOM,5.1250%,3.51%,Ba3,3/15/2027,-,-
USD,AEP Texas Inc.,2.1000%,2.89%,Baa2,7/1/2030,93.17,95.44
USD,AEP Texas Inc.,3.4500%,3.51%,Baa2,5/15/2051,98.45,100.14
USD,AEP Transmission Company LLC,3.7500%,3.25%,,12/1/2047,106.54,108.77
USD,AEP Transmission Company LLC,4.2500%,3.27%,A2,9/15/2048,-,-
USD,AEP Transmission Company LLC,3.6500%,3.31%,A2,4/1/2050,105.40,108.25
USD,AFLAC Inc.,3.6250%,1.34%,A3,11/15/2024,105.84,107.11
USD,AFLAC Inc.,3.2500%,1.58%,A3,3/17/2025,104.50,105.90
USD,AFLAC Inc.,2.8750%,1.91%,A3,10/15/2026,-,-
USD,AFLAC Inc.,4.0000%,3.23%,A3,10/15/2046,112.42,116.59
USD,AFLAC Inc.,3.6000%,2.43%,A3,4/1/2030,107.75,109.08
USD,AFLAC Inc.,1.1250%,1.81%,A3,3/15/2026,96.55,98.63
USD,AIG Global Funding,2.3000%,-,,7/1/2022,-,-
USD,AIG Global Funding,0.4500%,1.30%,,12/8/2023,-,-
USD,AIG Global Funding,0.6500%,1.55%,,6/17/2024,-,-
USD,ALLTEL Corp.,7.8750%,4.07%,,7/1/2032,-,-
USD,AMC Entertainment Holdings Inc.,5.8750%,15.52%,Ca,11/15/2026,68.00,-
USD,AMC Entertainment Holdings Inc.,6.1250%,14.65%,Ca,5/15/2027,-,70.50
USD,AMC Entertainment Holdings Inc.,10.5000%,9.34%,,4/15/2025,-,-
USD,AMC Entertainment Inc.,5.7500%,15.25%,Ca,6/15/2025,69.00,83.00
USD,AMC Networks Inc.,5.0000%,4.99%,Ba3,4/1/2024,99.97,101.25
USD,AMC Networks Inc.,4.2500%,4.44%,Ba3,2/15/2029,97.95,99.69
USD,AON Corp.,4.5000%,2.60%,Baa2,12/15/2028,-,-
USD,AON Corp.,3.7500%,2.50%,Baa2,5/2/2029,107.39,108.88
USD,AON Corp.,2.2000%,0.86%,Baa2,11/15/2022,100.68,101.87
USD,AON Corp./Aon Global Holdings PLC,2.0500%,2.61%,Baa2,8/23/2031,93.64,95.86
USD,AON Corp./Aon Global Holdings PLC,2.9000%,3.29%,Baa2,8/23/2051,93.52,94.55
USD,AON Corp./Aon Global Holdings PLC,2.6000%,2.68%,,12/2/2031,-,-
USD,AT & T Inc.,6.8000%,-,Baa2,5/15/2036,136.40,-
USD,AT & T Inc.,6.5000%,3.76%,Baa2,9/1/2037,130.67,132.40
USD,AT & T Inc.,6.3000%,3.59%,Baa2,1/15/2038,131.33,135.52
USD,AT & T Inc.,6.4000%,3.78%,Baa2,5/15/2038,-,-
USD,AT & T Inc.,6.5500%,3.72%,Baa2,2/15/2039,134.89,137.26
USD,AT & T Inc.,5.5500%,3.59%,Baa2,8/15/2041,126.72,127.84
USD,AT & T Inc.,4.3000%,3.65%,Baa2,12/15/2042,108.24,109.57
USD,AT & T Inc.,4.3500%,3.71%,Baa2,6/15/2045,108.17,110.31
USD,AT & T Inc.,2.6250%,1.18%,Baa2,12/1/2022,100.60,101.89
USD,AT & T Inc.,3.9000%,1.57%,Baa2,3/11/2024,104.47,105.62
USD,AT & T Inc.,4.8000%,3.73%,Baa2,6/15/2044,114.57,116.79
USD,AT & T Inc.,3.0000%,1.39%,Baa2,6/30/2022,100.22,101.25
USD,AT & T Inc.,3.4000%,1.76%,Baa2,5/15/2025,104.68,105.85
USD,AT & T Inc.,4.5000%,3.28%,Baa2,5/15/2035,111.69,112.92
USD,AT & T Inc.,4.7500%,3.69%,Baa2,5/15/2046,115.65,117.17
USD,AT & T Inc.,4.1250%,1.99%,Baa2,2/17/2026,107.52,108.72
USD,AT & T Inc.,5.6500%,3.81%,Baa2,2/15/2047,128.34,129.88
USD,AT & T Inc.,4.4500%,1.55%,Baa2,4/1/2024,105.74,106.90
USD,AT & T Inc.,3.9500%,1.71%,Baa2,1/15/2025,105.96,107.14
USD,AT & T Inc.,6.0000%,3.70%,Baa2,8/15/2040,129.44,131.81
USD,AT & T Inc.,6.3750%,3.65%,Baa2,3/1/2041,135.83,137.94
USD,AT & T Inc.,5.1500%,3.66%,Baa2,3/15/2042,119.45,121.37
USD,AT & T Inc.,4.5000%,3.71%,Baa2,3/9/2048,111.76,113.13
