Currency,Issuer,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask
USD,000000,6.5000%,3.93%,,3/15/2029,124.11,135.71
USD,000000,8.7500%,4.04%,Baa2,11/15/2031,-,-
USD,000000,6.5000%,-,Aa2,10/1/2034,130.00,-
USD,3M Co.,6.3750%,1.83%,A1,2/15/2028,126.98,132.95
USD,3M Co.,5.7000%,-,A1,3/15/2037,120.00,-
USD,3M Co.,2.0000%,0.20%,A1,6/26/2022,100.84,101.94
USD,3M Co.,3.0000%,0.99%,A1,8/7/2025,101.41,101.98
USD,3M Co.,2.2500%,1.18%,A1,9/19/2026,99.94,100.38
USD,3M Co.,3.1250%,2.67%,A1,9/19/2046,106.78,107.85
USD,3M Co.,2.2500%,0.46%,A1,3/15/2023,102.17,103.32
USD,3M Co.,2.8750%,1.34%,A1,10/15/2027,108.12,109.21
USD,3M Co.,3.6250%,2.73%,A1,10/15/2047,115.28,117.49
USD,3M Co.,3.2500%,0.61%,A1,2/14/2024,105.74,107.01
USD,3M Co.,3.6250%,1.62%,A1,9/14/2028,112.34,113.76
USD,3M Co.,4.0000%,2.75%,A1,9/14/2048,122.51,124.32
USD,3M Co.,0.4248%,0.33%,A1,2/14/2024,99.52,101.04
USD,3M Co.,3.3750%,1.74%,A1,3/1/2029,110.69,112.00
USD,3M Co.,2.6500%,0.99%,A1,4/15/2025,105.22,106.49
USD,3M Co.,3.0500%,1.85%,A1,4/15/2030,108.76,110.13
USD,3M Co.,3.7000%,2.76%,A1,4/15/2050,117.41,119.67
USD,7-Eleven Inc.,0.6250%,0.60%,,2/10/2023,99.51,100.62
USD,7-Eleven Inc.,0.8000%,0.82%,,2/10/2024,99.34,100.48
USD,7-Eleven Inc.,0.9500%,1.33%,,2/10/2026,97.69,98.96
USD,7-Eleven Inc.,1.3000%,1.81%,,2/10/2028,96.06,97.37
USD,7-Eleven Inc.,1.8000%,2.18%,,2/10/2031,95.72,97.18
USD,7-Eleven Inc.,2.5000%,2.87%,,2/10/2041,93.16,94.95
USD,7-Eleven Inc.,2.8000%,3.00%,,2/10/2051,94.39,96.16
USD,7-Eleven Inc.,0.6120%,0.58%,,8/10/2022,99.52,100.55
USD,ABB Finance USA Inc.,2.8750%,0.73%,A3,5/8/2022,101.34,101.99
USD,ABB Finance USA Inc.,4.3750%,2.52%,A3,5/8/2042,129.44,131.87
USD,ABB Finance USA Inc.,3.8000%,1.52%,A3,4/3/2028,113.66,114.71
USD,ACI Worldwide Inc.,5.7500%,4.94%,,8/15/2026,-,-
USD,AECOM,5.1250%,2.76%,Ba3,3/15/2027,-,-
USD,AEP Texas Inc.,2.1000%,2.27%,Baa2,7/1/2030,97.75,99.84
USD,AEP Texas Inc.,3.4500%,3.08%,Baa2,5/15/2051,105.71,107.09
USD,AEP Texas Inc.,3.9500%,3.97%,,6/1/2028,-,-
USD,AEP Transmission Company LLC,3.7500%,2.83%,,12/1/2047,115.14,117.05
USD,AEP Transmission Company LLC,4.2500%,2.96%,A2,9/15/2048,-,-
