Currency,Issuer,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask
USD,000000,6.5000%,3.01%,,3/15/2029,123.73,134.71
USD,000000,8.7500%,3.62%,Baa2,11/15/2031,-,-
USD,000000,6.5000%,-,Aa2,10/1/2034,130.00,-
USD,3M Co.,6.3750%,1.98%,A1,2/15/2028,126.64,132.61
USD,3M Co.,5.7000%,-,A1,3/15/2037,120.00,-
USD,3M Co.,2.0000%,0.21%,A1,6/26/2022,100.93,102.10
USD,3M Co.,3.0000%,1.06%,A1,8/7/2025,101.41,101.98
USD,3M Co.,2.2500%,1.22%,A1,9/19/2026,99.94,100.38
USD,3M Co.,3.1250%,2.74%,A1,9/19/2046,107.31,108.43
USD,3M Co.,2.2500%,0.47%,A1,3/15/2023,102.26,103.40
USD,3M Co.,2.8750%,1.34%,A1,10/15/2027,108.69,109.69
USD,3M Co.,3.6250%,2.78%,A1,10/15/2047,115.52,117.28
USD,3M Co.,3.2500%,0.64%,A1,2/14/2024,105.90,107.06
USD,3M Co.,3.6250%,1.62%,A1,9/14/2028,113.14,114.66
USD,3M Co.,4.0000%,2.80%,A1,9/14/2048,122.33,124.26
USD,3M Co.,0.4541%,0.40%,A1,2/14/2024,100.13,101.07
USD,3M Co.,3.3750%,1.75%,A1,3/1/2029,111.16,112.51
USD,3M Co.,2.6500%,0.98%,A1,4/15/2025,105.51,106.79
USD,3M Co.,3.0500%,1.86%,A1,4/15/2030,109.24,110.66
USD,3M Co.,3.7000%,2.80%,A1,4/15/2050,117.74,119.70
USD,7-Eleven Inc.,0.6250%,0.57%,,2/10/2023,99.52,100.65
USD,7-Eleven Inc.,0.8000%,0.84%,,2/10/2024,99.33,100.50
USD,7-Eleven Inc.,0.9500%,1.36%,,2/10/2026,97.82,99.10
USD,7-Eleven Inc.,1.3000%,1.83%,,2/10/2028,96.29,97.75
USD,7-Eleven Inc.,1.8000%,2.23%,,2/10/2031,95.91,97.46
USD,7-Eleven Inc.,2.5000%,2.93%,,2/10/2041,93.19,94.93
USD,7-Eleven Inc.,2.8000%,3.08%,,2/10/2051,94.63,96.09
USD,7-Eleven Inc.,0.6120%,0.59%,,8/10/2022,99.52,100.63
USD,ABB Finance USA Inc.,2.8750%,0.71%,A3,5/8/2022,101.49,102.10
USD,ABB Finance USA Inc.,4.3750%,2.50%,A3,5/8/2042,130.01,131.72
USD,ABB Finance USA Inc.,3.8000%,1.55%,A3,4/3/2028,113.82,114.87
USD,ACI Worldwide Inc.,5.7500%,5.00%,,8/15/2026,-,-
USD,AECOM,5.1250%,3.09%,Ba3,3/15/2027,-,-
USD,AEP Texas Inc.,2.1000%,2.33%,Baa2,7/1/2030,97.93,100.22
USD,AEP Texas Inc.,3.4500%,3.17%,Baa2,5/15/2051,105.47,106.86
USD,AEP Texas Inc.,3.9500%,3.97%,,6/1/2028,-,-
USD,AEP Transmission Company LLC,3.7500%,2.93%,,12/1/2047,114.70,116.51
USD,AEP Transmission Company LLC,4.2500%,3.01%,A2,9/15/2048,-,-
USD,AEP Transmission Company LLC,3.6500%,2.95%,A2,4/1/2050,113.69,116.61
USD,AFLAC Inc.,6.9000%,-,A3,12/17/2039,-,116.94
USD,AFLAC Inc.,6.4500%,-,A3,8/15/2040,-,110.88
USD,AFLAC Inc.,3.6250%,0.73%,A3,11/15/2024,108.72,109.87
USD,AFLAC Inc.,3.2500%,0.97%,A3,3/17/2025,-,-
USD,AFLAC Inc.,2.8750%,1.26%,A3,10/15/2026,100.34,101.20
USD,AFLAC Inc.,4.0000%,3.01%,A3,10/15/2046,112.42,116.59
USD,AFLAC Inc.,4.7500%,-,A3,1/15/2049,108.56,110.47
USD,AFLAC Inc.,3.6000%,1.96%,A3,4/1/2030,112.66,114.02
USD,AFLAC Inc.,1.1250%,1.12%,,3/15/2026,98.98,100.70
USD,AIG Global Funding,1.9000%,-,,10/6/2021,100.80,100.83
USD,AIG Global Funding,2.7000%,0.18%,,12/15/2021,-,-
USD,AIG Global Funding,2.3000%,0.05%,,1/1/2022,-,-
USD,AIG Global Funding,0.4500%,0.53%,,12/8/2023,-,-
USD,AIG Global Funding,0.6500%,0.66%,,6/17/2024,-,-
USD,AIG Life Holdings Inc.,8.5000%,-,Baa3,7/1/2030,132.66,-
USD,ALLTEL Corp.,7.8750%,3.50%,,7/1/2032,145.22,149.00
USD,AMC Entertainment Holdings Inc.,5.8750%,17.36%,Ca,11/15/2026,67.00,75.00
USD,AMC Entertainment Holdings Inc.,6.1250%,16.85%,Ca,5/15/2027,-,78.86
USD,AMC Entertainment Holdings Inc.,10.5000%,9.97%,,4/15/2025,-,-
USD,AMC Entertainment Inc.,5.7500%,17.61%,Ca,6/15/2025,69.00,84.00
USD,AMC Networks Inc.,5.0000%,4.95%,Ba3,4/1/2024,101.10,102.01
USD,AMC Networks Inc.,4.2500%,4.40%,Ba3,2/15/2029,98.46,99.95
USD,ANR Pipeline Co.,9.6250%,-,A3,11/1/2021,126.00,-
USD,AON Corp.,3.7500%,1.98%,Baa2,5/2/2029,112.06,113.57
USD,AON Corp.,2.2000%,0.44%,Baa2,11/15/2022,101.67,102.77
USD,AON Corp./Aon Global Holdings PLC,2.9000%,3.08%,,8/23/2051,-,-
USD,AT & T Inc.,6.8000%,-,Baa2,5/15/2036,136.40,-
USD,AT & T Inc.,6.5000%,3.48%,Baa2,9/1/2037,136.31,139.19
USD,AT & T Inc.,6.3000%,3.21%,Baa2,1/15/2038,139.88,144.23
USD,AT & T Inc.,6.4000%,3.39%,Baa2,5/15/2038,118.79,-
USD,AT & T Inc.,6.5500%,3.33%,Baa2,2/15/2039,142.01,144.00
USD,AT & T Inc.,5.5500%,3.34%,Baa2,8/15/2041,131.92,133.78
USD,AT & T Inc.,4.3000%,3.32%,Baa2,12/15/2042,114.72,116.30
USD,AT & T Inc.,4.3500%,3.40%,Baa2,6/15/2045,115.01,116.64
USD,AT & T Inc.,2.6250%,0.78%,Baa2,12/1/2022,101.79,102.86
USD,AT & T Inc.,3.9000%,1.01%,Baa2,3/11/2024,106.74,107.92
USD,AT & T Inc.,4.8000%,3.44%,Baa2,6/15/2044,121.58,123.41
USD,AT & T Inc.,3.0000%,0.82%,Baa2,6/30/2022,101.29,102.37
USD,AT & T Inc.,3.4000%,1.10%,Baa2,5/15/2025,107.89,109.11
USD,AT & T Inc.,4.5000%,2.93%,Baa2,5/15/2035,117.55,118.93
USD,AT & T Inc.,4.7500%,3.45%,Baa2,5/15/2046,121.67,123.21
USD,AT & T Inc.,4.1250%,1.39%,Baa2,2/17/2026,111.35,112.70
USD,AT & T Inc.,5.6500%,3.50%,Baa2,2/15/2047,135.80,137.70
USD,AT & T Inc.,4.4500%,1.03%,Baa2,4/1/2024,108.19,109.38
USD,AT & T Inc.,3.9500%,0.97%,Baa2,1/15/2025,109.47,110.64
USD,AT & T Inc.,6.3500%,-,Baa2,3/15/2040,-,111.68
USD,AT & T Inc.,6.0000%,3.37%,Baa2,8/15/2040,136.63,138.87
USD,AT & T Inc.,6.3750%,3.32%,Baa2,3/1/2041,117.91,119.51
USD,AT & T Inc.,5.1500%,3.36%,Baa2,3/15/2042,126.29,127.84
USD,AT & T Inc.,4.5000%,3.43%,Baa2,3/9/2048,118.38,119.95
USD,AT & T Inc.,4.5500%,3.50%,Baa2,3/9/2049,118.88,121.14
USD,AT & T Inc.,3.8000%,0.92%,Baa2,3/1/2024,106.65,107.98
USD,AT & T Inc.,4.2500%,1.64%,Baa2,3/1/2027,113.22,114.52
USD,AT & T Inc.,5.2500%,3.10%,Baa2,3/1/2037,126.02,127.62
USD,AT & T Inc.,5.4500%,3.49%,Baa2,3/1/2047,133.21,134.77
USD,AT & T Inc.,5.7000%,3.70%,Baa2,3/1/2057,138.75,142.21
USD,AT & T Inc.,5.3000%,3.93%,Baa2,8/15/2058,-,-
USD,AT & T Inc.,5.1500%,3.62%,Baa2,2/15/2050,128.29,131.39
USD,AT & T Inc.,4.9000%,3.07%,Baa2,8/15/2037,123.03,124.73
USD,AT & T Inc.,1.2990%,0.38%,Baa2,6/12/2024,101.97,103.12
USD,AT & T Inc.,4.1000%,1.85%,Baa2,2/15/2028,113.52,114.56
USD,AT & T Inc.,4.3000%,2.26%,Baa2,2/15/2030,115.40,116.70
USD,AT & T Inc.,5.1500%,3.47%,Baa2,11/15/2046,128.95,129.78
USD,AT & T Inc.,4.3500%,2.09%,Baa2,3/1/2029,115.26,116.52
USD,AT & T Inc.,4.8500%,3.20%,Baa2,3/1/2039,121.72,123.28
USD,AT & T Inc.,4.0500%,0.73%,Baa2,12/15/2023,107.16,108.97
USD,AT & T Inc.,3.5500%,1.11%,Baa2,6/1/2024,-,-
USD,AT & T Inc.,3.6000%,1.20%,Baa2,7/15/2025,109.02,109.59
USD,AT & T Inc.,3.8750%,1.34%,Baa2,1/15/2026,110.33,111.64
USD,AT & T Inc.,2.9500%,1.49%,Baa2,7/15/2026,-,-
USD,AT & T Inc.,3.8000%,1.65%,Baa2,2/15/2027,110.80,112.10
USD,AT & T Inc.,6.2500%,3.41%,Baa2,3/29/2041,139.88,142.28
USD,AT & T Inc.,5.3750%,3.71%,Baa2,10/15/2041,-,-
USD,AT & T Inc.,2.3000%,1.58%,Baa2,6/1/2027,103.62,104.79
USD,AT & T Inc.,2.7500%,2.27%,Baa2,6/1/2031,103.87,104.77
USD,AT & T Inc.,3.5000%,3.19%,Baa2,6/1/2041,104.76,106.23
USD,AT & T Inc.,3.6500%,3.37%,Baa2,6/1/2051,105.05,106.74
USD,AT & T Inc.,3.8500%,3.58%,Baa2,6/1/2060,106.13,107.91
USD,AT & T Inc.,3.1000%,3.20%,Baa2,2/1/2043,98.38,99.83
