Currency,Issuer,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask
USD,000000,6.5000%,2.89%,,3/15/2029,123.70,134.21
USD,000000,8.7500%,3.45%,Baa2,11/15/2031,-,-
USD,000000,6.5000%,-,Aa2,10/1/2034,130.00,-
USD,3M Co.,6.3750%,1.71%,A1,2/15/2028,127.22,133.20
USD,3M Co.,5.7000%,-,A1,3/15/2037,120.00,-
USD,3M Co.,2.0000%,0.17%,A1,6/26/2022,101.00,102.07
USD,3M Co.,3.0000%,0.98%,A1,8/7/2025,101.41,101.98
USD,3M Co.,2.2500%,1.20%,A1,9/19/2026,99.94,100.38
USD,3M Co.,3.1250%,2.68%,A1,9/19/2046,107.38,109.16
USD,3M Co.,2.2500%,0.48%,A1,3/15/2023,102.25,103.40
USD,3M Co.,2.8750%,1.29%,A1,10/15/2027,108.72,109.71
USD,3M Co.,3.6250%,2.72%,A1,10/15/2047,116.34,118.08
USD,3M Co.,3.2500%,0.64%,A1,2/14/2024,105.88,107.13
USD,3M Co.,3.6250%,1.56%,A1,9/14/2028,113.25,114.70
USD,3M Co.,4.0000%,2.74%,A1,9/14/2048,123.68,124.97
USD,3M Co.,0.4541%,0.41%,A1,2/14/2024,100.13,101.04
USD,3M Co.,3.3750%,1.66%,A1,3/1/2029,111.59,112.83
USD,3M Co.,2.6500%,0.94%,A1,4/15/2025,105.56,106.83
USD,3M Co.,3.0500%,1.75%,A1,4/15/2030,109.62,111.20
USD,3M Co.,3.7000%,2.75%,A1,4/15/2050,118.60,120.90
USD,7-Eleven Inc.,0.6250%,0.59%,,2/10/2023,99.52,100.66
USD,7-Eleven Inc.,0.8000%,0.85%,,2/10/2024,99.34,100.42
USD,7-Eleven Inc.,0.9500%,1.28%,,2/10/2026,97.86,99.13
USD,7-Eleven Inc.,1.3000%,1.74%,,2/10/2028,96.42,97.87
USD,7-Eleven Inc.,1.8000%,2.14%,,2/10/2031,96.07,97.82
USD,7-Eleven Inc.,2.5000%,2.85%,,2/10/2041,93.52,95.62
USD,7-Eleven Inc.,2.8000%,3.08%,,2/10/2051,93.62,95.67
USD,7-Eleven Inc.,0.6120%,0.59%,,8/10/2022,99.52,100.60
USD,ABB Finance USA Inc.,2.8750%,0.72%,A3,5/8/2022,101.52,102.15
USD,ABB Finance USA Inc.,4.3750%,2.49%,A3,5/8/2042,130.47,131.72
USD,ABB Finance USA Inc.,3.8000%,1.45%,A3,4/3/2028,114.30,115.46
USD,ACI Worldwide Inc.,5.7500%,5.00%,,8/15/2026,-,-
USD,AECOM,5.1250%,3.19%,Ba3,3/15/2027,-,-
