Currency,Issuer,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask
USD,000000,6.5000%,-,Aa2,10/1/2034,130.00,-
USD,3M Co.,6.3750%,2.79%,A1,2/15/2028,-,-
USD,3M Co.,5.7000%,-,A1,3/15/2037,-,129.86
USD,3M Co.,2.0000%,0.30%,A1,6/26/2022,101.86,103.10
USD,3M Co.,3.0000%,0.87%,A1,8/7/2025,101.41,104.76
USD,3M Co.,2.2500%,1.02%,A1,9/19/2026,99.81,99.96
USD,3M Co.,3.1250%,2.75%,A1,9/19/2046,85.67,87.24
USD,3M Co.,2.2500%,0.35%,A1,3/15/2023,103.57,104.84
USD,3M Co.,2.8750%,1.19%,A1,10/15/2027,110.59,111.45
USD,3M Co.,3.6250%,2.82%,A1,10/15/2047,115.10,117.77
USD,3M Co.,3.2500%,0.50%,A1,2/14/2024,107.77,109.19
USD,3M Co.,3.6250%,1.50%,A1,9/14/2028,114.64,116.36
USD,3M Co.,4.0000%,2.85%,A1,9/14/2048,121.43,123.96
USD,3M Co.,0.5210%,0.46%,A1,2/14/2024,-,-
USD,3M Co.,2.7500%,0.49%,A1,3/1/2022,-,-
USD,3M Co.,3.3750%,1.56%,A1,3/1/2029,107.03,107.18
USD,3M Co.,2.6500%,0.72%,A1,4/15/2025,107.51,108.92
USD,3M Co.,3.0500%,1.67%,A1,4/15/2030,-,-
USD,3M Co.,3.7000%,2.89%,A1,4/15/2050,115.52,118.50
USD,7-Eleven Inc.,0.6250%,0.57%,,2/10/2023,99.96,100.12
USD,7-Eleven Inc.,0.8000%,0.77%,,2/10/2024,100.00,100.21
USD,7-Eleven Inc.,0.9500%,0.99%,,2/10/2026,99.65,100.01
USD,7-Eleven Inc.,1.3000%,1.41%,,2/10/2028,99.19,99.67
USD,7-Eleven Inc.,1.8000%,1.95%,,2/10/2031,98.71,99.45
USD,7-Eleven Inc.,2.5000%,2.70%,,2/10/2041,97.13,98.09
USD,7-Eleven Inc.,2.8000%,2.98%,,2/10/2051,96.56,97.76
USD,7-Eleven Inc.,-,-,,8/10/2022,-,-
USD,ABB Finance USA Inc.,2.8750%,0.61%,A3,5/8/2022,102.14,102.47
USD,ABB Finance USA Inc.,4.3750%,2.64%,A3,5/8/2042,-,109.44
USD,ABB Finance USA Inc.,3.8000%,1.53%,A3,4/3/2028,117.96,119.70
USD,ABB Treasury Center USA Inc.,4.0000%,0.37%,,6/15/2021,106.06,-
USD,ABC Supply Co. Inc.,5.8750%,5.23%,,5/15/2026,-,-
USD,ACI Worldwide Inc.,5.7500%,5.18%,,8/15/2026,-,-
USD,ADT Corp.,3.5000%,2.05%,Ba3,7/15/2022,-,88.50
USD,ADT Corp.,4.8750%,7.06%,Ba3,7/15/2042,81.87,86.38
USD,ADT Corp.,4.1250%,2.04%,Ba3,6/15/2023,93.61,93.64
USD,AECOM,5.8750%,2.60%,Ba3,10/15/2024,111.08,113.40
USD,AECOM,5.1250%,3.04%,Ba3,3/15/2027,-,-
USD,AEP Texas Inc.,2.1000%,1.83%,Baa2,7/1/2030,101.75,104.03
USD,AEP Texas Inc.,6.6500%,4.09%,Baa2,2/15/2033,115.50,-
USD,AEP Texas Inc.,3.9500%,3.97%,,6/1/2028,-,-
USD,AEP Transmission Company LLC,3.7500%,2.93%,,12/1/2047,-,-
USD,AEP Transmission Company LLC,4.2500%,3.09%,A2,9/15/2048,-,-
USD,AEP Transmission Company LLC,3.6500%,2.98%,A2,4/1/2050,-,-
USD,AFLAC Inc.,6.9000%,-,A3,12/17/2039,-,116.94
USD,AFLAC Inc.,6.4500%,-,A3,8/15/2040,-,110.88
USD,AFLAC Inc.,3.6250%,0.65%,A3,6/15/2023,105.06,105.55
USD,AFLAC Inc.,3.6250%,0.58%,A3,11/15/2024,110.89,112.18
USD,AFLAC Inc.,3.2500%,0.83%,A3,3/17/2025,104.31,-
USD,AFLAC Inc.,2.8750%,1.12%,A3,10/15/2026,100.34,101.20
USD,AFLAC Inc.,4.0000%,3.09%,A3,10/15/2046,115.47,120.35
USD,AFLAC Inc.,4.7500%,-,A3,1/15/2049,108.56,110.47
USD,AIG Global Funding,1.9000%,0.26%,,10/6/2021,101.06,-
USD,AIG Global Funding,2.7000%,0.28%,,12/15/2021,-,-
USD,AIG Global Funding,2.3000%,0.09%,,1/1/2022,-,-
USD,AIG Global Funding,0.4500%,0.43%,,12/8/2023,-,-
USD,AIG Life Holdings Inc.,8.5000%,-,Baa2,7/1/2030,132.66,-
USD,AK Steel Corp.,7.6250%,11.31%,WR,10/1/2021,-,104.27
USD,AK Steel Corp.,7.5000%,11.77%,WR,7/15/2023,87.39,99.98
USD,ALLTEL Corp.,7.8750%,4.24%,,7/1/2032,145.22,149.00
USD,AMC Entertainment Holdings Inc.,5.8750%,24.62%,Ca,11/15/2026,-,-
USD,AMC Entertainment Holdings Inc.,6.1250%,24.81%,Ca,5/15/2027,93.00,-
USD,AMC Entertainment Holdings Inc.,10.5000%,12.29%,,4/15/2025,-,-
USD,AMC Entertainment Inc.,5.7500%,30.12%,Ca,6/15/2025,49.01,54.49
USD,AMC Networks Inc.,4.7500%,5.90%,Ba3,12/15/2022,-,-
USD,AMC Networks Inc.,5.0000%,4.83%,Ba3,4/1/2024,98.08,102.52
USD,AMC Networks Inc.,4.2500%,4.35%,Ba3,2/15/2029,98.83,100.46
USD,ANR Pipeline Co.,9.6250%,-,A3,11/1/2021,126.00,-
USD,AON Corp.,3.7500%,1.82%,Baa2,5/2/2029,114.34,116.18
USD,AON Corp.,2.2000%,0.38%,Baa2,11/15/2022,102.73,103.95
USD,AT & T Inc.,6.5000%,2.87%,,3/15/2029,118.92,-
USD,AT & T Inc.,8.7500%,3.59%,Baa2,11/15/2031,-,-
USD,AT & T Inc.,6.8000%,-,Baa2,5/15/2036,121.31,-
USD,AT & T Inc.,6.5000%,3.68%,Baa2,9/1/2037,134.50,139.08
USD,AT & T Inc.,6.3000%,3.54%,Baa2,1/15/2038,113.33,116.59
USD,AT & T Inc.,6.4000%,3.62%,Baa2,5/15/2038,118.79,-
USD,AT & T Inc.,6.5500%,3.66%,Baa2,2/15/2039,137.51,142.25
USD,AT & T Inc.,5.5500%,3.55%,Baa2,8/15/2041,128.48,131.87
USD,AT & T Inc.,4.3000%,3.50%,Baa2,12/15/2042,112.49,114.62
