Currency,Issuer,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask
USD,000000,6.5000%,3.15%,,3/15/2029,118.00,-
USD,000000,8.7500%,3.74%,Baa2,11/15/2031,-,-
USD,000000,3.2000%,1.10%,A2,4/1/2024,103.98,105.33
USD,3M Co.,6.3750%,2.17%,A1,2/15/2028,-,-
USD,3M Co.,5.7000%,-,A1,3/15/2037,120.00,-
USD,3M Co.,2.0000%,0.16%,A1,6/26/2022,100.55,101.27
USD,3M Co.,3.0000%,1.49%,A1,8/7/2025,105.28,106.28
USD,3M Co.,2.2500%,1.68%,A1,9/19/2026,-,-
USD,3M Co.,3.1250%,2.90%,A1,9/19/2046,-,-
USD,3M Co.,2.2500%,0.87%,A1,3/15/2023,101.64,101.79
USD,3M Co.,2.8750%,1.69%,A1,10/15/2027,106.11,106.86
USD,3M Co.,3.6250%,2.91%,A1,10/15/2047,113.70,114.47
USD,3M Co.,3.2500%,1.14%,A1,2/14/2024,104.44,104.79
USD,3M Co.,3.6250%,1.90%,A1,9/14/2028,110.84,111.39
USD,3M Co.,4.0000%,2.94%,A1,9/14/2048,119.84,120.59
USD,3M Co.,0.4560%,0.35%,A1,2/14/2024,100.22,-
USD,3M Co.,3.3750%,2.07%,A1,3/1/2029,108.64,109.22
USD,3M Co.,2.6500%,1.31%,A1,4/15/2025,104.28,104.55
USD,3M Co.,3.0500%,2.13%,A1,4/15/2030,106.95,107.47
USD,3M Co.,3.7000%,2.85%,A1,4/15/2050,116.33,118.55
USD,7-Eleven Inc.,0.6250%,0.89%,,2/10/2023,99.34,100.02
USD,7-Eleven Inc.,0.8000%,1.38%,,2/10/2024,98.60,99.80
USD,7-Eleven Inc.,0.9500%,1.81%,,2/10/2026,96.20,97.00
USD,7-Eleven Inc.,1.3000%,2.17%,,2/10/2028,94.46,95.48
USD,7-Eleven Inc.,1.8000%,2.45%,,2/10/2031,93.90,95.16
USD,7-Eleven Inc.,2.5000%,3.09%,,2/10/2041,90.77,92.36
USD,7-Eleven Inc.,2.8000%,3.22%,,2/10/2051,91.49,92.94
USD,ABB Finance USA Inc.,2.8750%,1.41%,A3,5/8/2022,100.51,100.86
USD,ABB Finance USA Inc.,4.3750%,2.88%,A3,5/8/2042,122.81,128.80
