Currency,Issuer,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask
USD,000000,6.5000%,3.17%,,3/15/2029,120.00,132.00
USD,000000,8.7500%,3.77%,Baa2,11/15/2031,-,-
USD,000000,6.5000%,-,Aa2,10/1/2034,130.00,-
USD,000000,3.2000%,1.26%,A2,4/1/2024,104.04,105.85
USD,3M Co.,6.3750%,2.26%,A1,2/15/2028,-,-
USD,3M Co.,5.7000%,-,A1,3/15/2037,120.00,-
USD,3M Co.,2.0000%,0.38%,A1,6/26/2022,100.27,101.49
USD,3M Co.,3.0000%,1.43%,A1,8/7/2025,105.78,107.78
USD,3M Co.,2.2500%,1.69%,A1,9/19/2026,-,-
USD,3M Co.,3.1250%,2.84%,A1,9/19/2046,-,-
USD,3M Co.,2.2500%,0.80%,A1,3/15/2023,101.46,102.64
USD,3M Co.,2.8750%,1.85%,A1,10/15/2027,105.58,107.02
USD,3M Co.,3.6250%,2.92%,A1,10/15/2047,114.33,116.53
USD,3M Co.,3.2500%,1.15%,A1,2/14/2024,104.30,105.52
USD,3M Co.,3.6250%,1.97%,A1,9/14/2028,110.61,111.90
USD,3M Co.,4.0000%,2.94%,A1,9/14/2048,121.01,122.81
USD,3M Co.,0.4560%,0.48%,A1,2/14/2024,99.74,-
USD,3M Co.,3.3750%,2.16%,A1,3/1/2029,108.30,109.70
USD,3M Co.,2.6500%,1.46%,A1,4/15/2025,103.84,105.23
USD,3M Co.,3.0500%,2.23%,A1,4/15/2030,106.69,108.05
USD,3M Co.,3.7000%,2.91%,A1,4/15/2050,116.50,119.12
USD,7-Eleven Inc.,0.6250%,0.81%,,2/10/2023,99.29,100.49
USD,7-Eleven Inc.,0.8000%,1.36%,,2/10/2024,98.52,99.69
USD,7-Eleven Inc.,0.9500%,1.84%,,2/10/2026,96.21,98.15
USD,7-Eleven Inc.,1.3000%,2.28%,,2/10/2028,94.26,95.83
USD,7-Eleven Inc.,1.8000%,2.55%,,2/10/2031,94.16,95.52
USD,7-Eleven Inc.,2.5000%,3.16%,,2/10/2041,90.80,92.80
USD,7-Eleven Inc.,2.8000%,3.24%,,2/10/2051,91.40,94.86
USD,ABB Finance USA Inc.,2.8750%,1.32%,A3,5/8/2022,101.00,101.12
USD,ABB Finance USA Inc.,4.3750%,2.88%,A3,5/8/2042,125.24,128.50
USD,ABB Finance USA Inc.,3.8000%,1.88%,A3,4/3/2028,111.69,112.70
USD,ACI Worldwide Inc.,5.7500%,4.92%,,8/15/2026,-,-
USD,AECOM,5.1250%,3.38%,Ba3,3/15/2027,-,-
USD,AEP Texas Inc.,2.1000%,2.73%,Baa2,7/1/2030,95.03,97.76
USD,AEP Texas Inc.,3.4500%,3.29%,Baa2,5/15/2051,103.61,104.83
USD,AEP Transmission Company LLC,3.7500%,3.04%,,12/1/2047,113.03,115.50
USD,AEP Transmission Company LLC,4.2500%,3.12%,A2,9/15/2048,-,-
USD,AEP Transmission Company LLC,3.6500%,3.13%,A2,4/1/2050,109.91,114.13
USD,AFLAC Inc.,6.9000%,-,A3,12/17/2039,-,116.94
USD,AFLAC Inc.,6.4500%,-,A3,8/15/2040,-,110.88
USD,AFLAC Inc.,3.6250%,1.27%,A3,11/15/2024,106.50,107.90
USD,AFLAC Inc.,3.2500%,1.40%,A3,3/17/2025,105.82,107.31
USD,AFLAC Inc.,2.8750%,1.66%,A3,10/15/2026,-,-
USD,AFLAC Inc.,4.0000%,3.07%,A3,10/15/2046,112.42,116.59
USD,AFLAC Inc.,4.7500%,-,A3,1/15/2049,108.56,110.47
