Currency,Issuer,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask
USD,000000,6.5000%,3.26%,,3/15/2029,118.92,-
USD,000000,8.7500%,4.09%,Baa2,11/15/2031,-,-
USD,000000,6.5000%,-,Aa2,10/1/2034,130.00,-
USD,3M Co.,6.3750%,2.76%,A1,2/15/2028,-,-
USD,3M Co.,5.7000%,-,A1,3/15/2037,-,129.86
USD,3M Co.,2.0000%,0.29%,A1,6/26/2022,101.61,102.79
USD,3M Co.,3.0000%,1.17%,A1,8/7/2025,101.41,104.76
USD,3M Co.,2.2500%,1.38%,A1,9/19/2026,99.81,99.96
USD,3M Co.,3.1250%,3.12%,A1,9/19/2046,85.67,87.24
USD,3M Co.,2.2500%,0.36%,A1,3/15/2023,103.16,104.23
USD,3M Co.,2.8750%,1.63%,A1,10/15/2027,107.37,107.93
USD,3M Co.,3.6250%,3.08%,A1,10/15/2047,109.29,112.11
USD,3M Co.,3.2500%,0.64%,A1,2/14/2024,106.91,108.23
USD,3M Co.,3.6250%,1.92%,A1,9/14/2028,111.26,112.81
USD,3M Co.,4.0000%,3.12%,A1,9/14/2048,115.66,117.97
USD,3M Co.,0.4938%,0.54%,A1,2/14/2024,99.87,102.00
USD,3M Co.,2.7500%,0.63%,A1,3/1/2022,-,-
USD,3M Co.,3.3750%,2.07%,A1,3/1/2029,107.03,107.18
USD,3M Co.,2.6500%,1.07%,A1,4/15/2025,105.71,107.06
USD,3M Co.,3.0500%,2.19%,A1,4/15/2030,-,-
USD,3M Co.,3.7000%,3.14%,A1,4/15/2050,110.06,112.47
USD,7-Eleven Inc.,0.6250%,0.58%,,2/10/2023,99.86,100.32
USD,7-Eleven Inc.,0.8000%,0.85%,,2/10/2024,99.62,100.08
USD,7-Eleven Inc.,0.9500%,1.47%,,2/10/2026,97.25,97.94
USD,7-Eleven Inc.,1.3000%,1.91%,,2/10/2028,95.84,96.34
USD,7-Eleven Inc.,1.8000%,2.47%,,2/10/2031,93.96,94.48
USD,7-Eleven Inc.,2.5000%,3.12%,,2/10/2041,89.55,92.20
USD,7-Eleven Inc.,2.8000%,3.30%,,2/10/2051,89.75,91.83
USD,7-Eleven Inc.,0.6454%,0.61%,,8/10/2022,99.56,100.70
USD,ABB Finance USA Inc.,2.8750%,0.64%,A3,5/8/2022,102.14,102.47
USD,ABB Finance USA Inc.,4.3750%,3.08%,A3,5/8/2042,-,109.44
USD,ABB Finance USA Inc.,3.8000%,1.88%,A3,4/3/2028,112.51,113.41
USD,ABB Treasury Center USA Inc.,4.0000%,0.45%,,6/15/2021,106.06,-
USD,ABC Supply Co. Inc.,5.8750%,5.51%,,5/15/2026,-,-
USD,ACI Worldwide Inc.,5.7500%,5.27%,,8/15/2026,-,-
USD,ADT Corp.,3.5000%,2.03%,Ba3,7/15/2022,-,-
USD,ADT Corp.,4.8750%,7.07%,Ba3,7/15/2042,-,-
USD,ADT Corp.,4.1250%,2.22%,Ba3,6/15/2023,-,-
USD,AECOM,5.8750%,2.51%,Ba3,10/15/2024,111.61,114.30
USD,AECOM,5.1250%,3.49%,Ba3,3/15/2027,-,-
USD,AEP Texas Inc.,2.1000%,2.54%,Baa2,7/1/2030,95.90,98.18
USD,AEP Texas Inc.,3.9500%,3.97%,,6/1/2028,-,-
USD,AEP Transmission Company LLC,3.7500%,3.22%,,12/1/2047,108.78,110.05
USD,AEP Transmission Company LLC,4.2500%,3.42%,A2,9/15/2048,-,-
USD,AEP Transmission Company LLC,3.6500%,3.29%,A2,4/1/2050,106.22,109.93
USD,AFLAC Inc.,6.9000%,-,A3,12/17/2039,-,116.94
USD,AFLAC Inc.,6.4500%,-,A3,8/15/2040,-,110.88
USD,AFLAC Inc.,3.6250%,0.45%,A3,6/15/2023,105.06,105.55
USD,AFLAC Inc.,3.6250%,0.82%,A3,11/15/2024,109.41,110.73
USD,AFLAC Inc.,3.2500%,1.51%,A3,3/17/2025,104.31,-
USD,AFLAC Inc.,2.8750%,1.43%,A3,10/15/2026,100.34,101.20
USD,AFLAC Inc.,4.0000%,3.41%,A3,10/15/2046,109.69,113.70
USD,AFLAC Inc.,4.7500%,-,A3,1/15/2049,108.56,110.47
USD,AFLAC Inc.,1.1250%,1.39%,,3/15/2026,-,-
USD,AIG Global Funding,1.9000%,0.26%,,10/6/2021,100.81,-
USD,AIG Global Funding,2.7000%,0.53%,,12/15/2021,-,-
USD,AIG Global Funding,2.3000%,0.19%,,1/1/2022,-,-
USD,AIG Global Funding,0.4500%,0.56%,,12/8/2023,-,-
USD,AIG Life Holdings Inc.,8.5000%,-,Baa2,7/1/2030,132.66,-
USD,ALLTEL Corp.,7.8750%,4.21%,,7/1/2032,145.22,149.00
USD,AMC Entertainment Holdings Inc.,5.8750%,22.28%,Ca,11/15/2026,-,-
USD,AMC Entertainment Holdings Inc.,6.1250%,17.86%,Ca,5/15/2027,52.00,-
USD,AMC Entertainment Holdings Inc.,10.5000%,9.27%,,4/15/2025,-,-
USD,AMC Entertainment Inc.,5.7500%,17.10%,Ca,6/15/2025,-,-
USD,AMC Networks Inc.,5.0000%,5.14%,Ba3,4/1/2024,98.08,102.52
USD,AMC Networks Inc.,4.2500%,4.61%,Ba3,2/15/2029,96.64,98.75
USD,ANR Pipeline Co.,9.6250%,-,A3,11/1/2021,126.00,-
USD,AON Corp.,3.7500%,2.34%,Baa2,5/2/2029,109.58,111.03
USD,AON Corp.,2.2000%,0.48%,Baa2,11/15/2022,102.19,103.39
USD,AT & T Inc.,6.8000%,-,Baa2,5/15/2036,121.31,-
USD,AT & T Inc.,6.5000%,3.88%,Baa2,9/1/2037,130.34,135.78
USD,AT & T Inc.,6.3000%,3.68%,Baa2,1/15/2038,113.33,116.59
USD,AT & T Inc.,6.4000%,3.88%,Baa2,5/15/2038,118.79,-
USD,AT & T Inc.,6.5500%,3.83%,Baa2,2/15/2039,134.31,138.97
