Currency,Issuer,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask
USD,000000,6.5000%,-,Aa2,10/1/2034,130.00,-
USD,3M Co.,6.3750%,2.69%,A1,2/15/2028,-,-
USD,3M Co.,5.7000%,-,A1,3/15/2037,-,129.86
USD,3M Co.,2.0000%,0.27%,A1,6/26/2022,101.91,103.10
USD,3M Co.,3.0000%,0.87%,A1,8/7/2025,101.41,104.76
USD,3M Co.,2.2500%,0.99%,A1,9/19/2026,99.81,99.96
USD,3M Co.,3.1250%,2.64%,A1,9/19/2046,85.67,87.24
USD,3M Co.,2.2500%,0.31%,A1,3/15/2023,103.46,104.74
USD,3M Co.,2.8750%,1.23%,A1,10/15/2027,110.44,111.50
USD,3M Co.,3.6250%,2.72%,A1,10/15/2047,115.69,119.37
USD,3M Co.,3.2500%,0.52%,A1,2/14/2024,107.77,109.20
USD,3M Co.,3.6250%,1.48%,A1,9/14/2028,114.86,116.81
USD,3M Co.,4.0000%,2.78%,A1,9/14/2048,122.28,126.40
USD,3M Co.,0.5210%,0.46%,A1,2/14/2024,100.35,100.49
USD,3M Co.,2.7500%,0.41%,A1,3/1/2022,-,-
USD,3M Co.,3.3750%,1.53%,A1,3/1/2029,107.03,107.18
USD,3M Co.,2.6500%,0.71%,A1,4/15/2025,107.62,108.99
USD,3M Co.,3.0500%,1.62%,A1,4/15/2030,-,-
USD,3M Co.,3.7000%,2.77%,A1,4/15/2050,117.43,120.66
USD,7-Eleven Inc.,0.6250%,-,,2/10/2023,99.96,100.12
USD,7-Eleven Inc.,0.8000%,-,,2/10/2024,100.00,100.21
USD,7-Eleven Inc.,0.9500%,-,,2/10/2026,100.04,100.40
USD,7-Eleven Inc.,1.3000%,-,,2/10/2028,99.54,100.02
USD,7-Eleven Inc.,1.8000%,-,,2/10/2031,99.21,99.86
USD,7-Eleven Inc.,2.5000%,-,,2/10/2041,98.32,99.28
