,Stock Symbol,Prev. Close,Todays Range,Revenue,Open,52 wk Range,EPS,Volume,Market Cap,Dividend (Yield),Average Vol. (3m),P/E Ratio,Beta,1-Year Change,Shares Outstanding,Next Earnings Date,Date
0,BA,232.71,237.11 - 244.08,63410000000.0,238.5,89.07 - 353.6,- 7.88,33186229.0,134449999999.99998,4.11 (N/A),23101630.0,,1.67,- 34.28%,564529686.0,03/02/2021,2020-12-07
0,GM,44.4,43.58 - 44.4,115790000000.0,44.4,14.33 - 46.7,2.23,9201427.0,63420000000.0,0.76 (7.06%),16049008.0,19.91,1.46,24.93%,1431307600.0,10/02/2021,2020-12-07
0,CVX,93.28,89.88 - 92.38,104060000000.0,91.82,51.66 - 122.72,- 6.41,9396820.0,174720000000.0,5.16 (5.53%),11717359.0,,1.34,- 20.96%,1925045193.0,29/01/2021,2020-12-07
0,C,58.62,57.28 - 58.61,43410000000.0,58.15,32.02 - 83.11,5.12,21277955.0,121020000000.0,2.04 (3.48%),27379136.0,11.45,1.94,- 22.68%,2081959678.0,15/01/2021,2020-12-07
0,BAC,29.29,28.69 - 29.15,45710000000.0,28.9,17.95 - 35.72,2.02,42180064.0,251960000000.0,0.72 (2.46%),59906643.0,14.47,1.59,- 13.01%,8661522562.0,19/01/2021,2020-12-07
0,T,29.54,29.52 - 29.78,172890000000.0,29.78,26.08 - 39.55,1.52,34618952.0,211210000000.0,2.08 (7.04%),38187120.0,19.44,0.68,- 22.67%,7126000000.0,27/01/2021,2020-12-07
0,CAT,182.21,176.56 - 180.39,43660000000.0,180.39,87.5 - 183.81,6.01,4587087.0,97090000000.0,4.12 (2.26%),3405838.0,30.3,0.96,27.67%,543258283.0,29/01/2021,2020-12-07
0,INTC,51.99,49.56 - 51.29,78100000000.0,51.0,43.61 - 69.29,5.1,51018699.0,213030000000.0,1.32 (2.54%),33473500.0,10.19,0.74,- 8.5%,4098000000.0,28/01/2021,2020-12-07
0,MSFT,214.36,212.99 - 215.54,147110000000.0,214.37,132.52 - 232.86,6.2,24600532.0,1620670000000.0,2.24 (1.05%),29953074.0,34.58,0.83,41.26%,7560495969.0,03/02/2021,2020-12-07
0,AA,23.73,23.03 - 23.54,9330000000.0,23.51,5.16 - 24.17,- 2.53,6582028.0,4350000000.0,N/A (N/A),5654590.0,,2.56,15.19%,185929586.0,20/01/2021,2020-12-07
0,F,9.34,9.15 - 9.33,130910000000.0,9.31,3.96 - 9.57,- 0.03,58273717.0,36680000000.0,0.3 (13.64%),64944143.0,,1.29,3.55%,3978427360.0,04/02/2021,2020-12-07
0,EBAY,50.97,49.91 - 51.01,12600000000.0,50.91,26.02 - 61.05,3.15,5131683.0,35140000000.0,0.64 (1.26%),8948715.0,16.16,1.25,46.21%,689338530.0,27/01/2021,2020-12-07
0,DELL,72.1,69.96 - 72.64,92140000000.0,72.23,25.54 - 72.64,3.19,3153267.0,52430000000.0,N/A (N/A),1896906.0,22.62,0.9,53.01%,745000000.0,26/02/2021,2020-12-07
0,DIS,154.14,152.26 - 153.88,86250000000.0,153.18,79.1 - 154.68,- 1.56,6813855.0,278240000000.0,0.88 (1.74%),9780858.0,,1.16,4.39%,1810485037.0,09/02/2021,2020-12-07
0,DOW,55.05,53.02 - 54.94,38040000000.0,54.93,21.95 - 58.18,- 3.13,3602233.0,40830000000.0,2.80 (5.09%),4374288.0,,,3.44%,741751762.0,28/01/2021,2020-12-07
0,CSCO,44.38,43.91 - 44.49,48070000000.0,44.29,32.4 - 50.28,2.46,14083707.0,187530000000.0,1.44 (3.24%),24475387.0,18.02,0.94,1.23%,4225514401.0,09/02/2021,2020-12-07
0,DE,253.39,250.54 - 253.5,35560000000.0,253.13,106.21 - 265.87,8.69,1598132.0,78970000000.0,3.04 (1.20%),1588407.0,29.15,0.97,53.37%,313374767.0,12/02/2021,2020-12-07
0,FDX,294.88,293.2 - 297.04,71490000000.0,296.9,88.69 - 298.98,6.78,1482748.0,78000000000.0,2.60 (0.88%),3126860.0,43.48,1.34,88.29%,262591998.0,17/12/2020,2020-12-07
0,GIS,60.44,59.52 - 60.57,17990000000.0,60.37,46.59 - 66.14,3.73,3166325.0,36520000000.0,2.04 (3.38%),3314862.0,16.18,0.56,13.37%,611333854.0,17/12/2020,2020-12-07
0,GLW,37.95,37.34 - 37.83,10770000000.0,37.78,17.44 - 37.95,0.21,2604337.0,28710000000.0,0.88 (2.32%),4211885.0,184.28,1.17,36.07%,764010029.0,02/02/2021,2020-12-07
0,GT,11.09,10.55 - 11.06,12380000000.0,10.94,4.09 - 16.63,- 7.31,2347549.0,2590000000.0,0.32 (8.86%),3705548.0,,2.17,- 31.16%,233134083.0,11/02/2021,2020-12-07
