,Name,Allocation
0,Federal National Mortgage Association 0.3% 03-AUG-2023,12.69%
1,Federal Home Loan Mortgage Corporation 2.375% 13-JAN-2022,7.41%
2,Government of Iraq 2.149% 18-JAN-2022,6.94%
3,CORPORATE BOND,5.63%
4,Federal Home Loan Mortgage Corporation 0.0% 11-DEC-2025,5.01%
5,Federal Home Loan Mortgage Corporation 0.55% 12-MAY-2023,4.36%
6,Government of Israel 5.5% 18-SEP-2023,4.19%
7,MUTUAL FUND (OTHER),3.99%
8,Federal Farm Credit Banks Consolidated Systemwide Bonds 0.32% 10-AUG-2023,3.63%
9,Federal Home Loan Bank System 1.625% 20-DEC-2021,3.33%
10,AGENCY BOND,3.11%
11,Federal Home Loan Mortgage Corporation 0.125% 25-JUL-2022,2.76%
12,Federal Farm Credit Banks Funding Corp. 1.75% 01-JUL-2022,2.47%
13,Federal Farm Credit Banks Consolidated Systemwide Bonds 1.0% 30-JUN-2022,2.30%
14,Federal Home Loan Bank System 1.375% 17-FEB-2023,2.19%
15,Federal Home Loan Bank System 2.875% 10-DEC-2021,2.18%
16,Federal Home Loan Mortgage Corporation 0.0% 14-DEC-2029,2.03%
17,Federal National Mortgage Association 7.125% 15-JAN-2030,1.87%
18,Federal Home Loan Bank System 2.375% 14-MAR-2025,1.58%
19,Student Loan Marketing Association 0.0% 03-OCT-2022,1.54%
20,Tennessee Valley Authority 5.25% 15-SEP-2039,1.31%
21,Tennessee Valley Authority 5.88% 01-APR-2036,1.28%
22,Federal Home Loan Mortgage Corporation 0.0% 17-DEC-2029,1.23%
23,Federal National Mortgage Association 7.25% 15-MAY-2030,1.07%
24,Federal Home Loan Bank System 5.5% 15-JUL-2036,1.00%
25,Federal Home Loan Mortgage Corporation 0.0% 15-NOV-2038,0.94%
26,Federal National Mortgage Association 6.25% 15-MAY-2029,0.88%
27,Tennessee Valley Authority 4.875% 15-JAN-2048,0.84%
28,Federal Home Loan Mortgage Corporation 0.375% 21-JUL-2025,0.79%
29,Government of Israel 5.5% 18-SEP-2033,0.72%
30,Federal Home Loan Bank System 2.875% 13-SEP-2024,0.70%
31,Private Export Funding Corporation 3.55% 15-JAN-2024,0.67%
32,Tennessee Valley Authority 4.7% 15-JUL-2033,0.64%
33,Federal National Mortgage Association 6.21% 06-AUG-2038,0.58%
34,Federal National Mortgage Association 6.03% 08-OCT-2027,0.58%
35,Tennessee Valley Authority 6.75% 01-NOV-2025,0.57%
36,Federal Home Loan Bank System 5.625% 14-MAR-2036,0.57%
37,Federal National Mortgage Association 6.625% 15-NOV-2030,0.56%
38,Federal Farm Credit Banks Funding Corp. 2.8% 17-DEC-2021,0.50%
39,Federal Home Loan Bank System 2.125% 10-JUN-2022,0.41%
40,Federal Home Loan Bank System 1.875% 09-DEC-2022,0.38%
41,Tennessee Valley Authority 5.375% 01-APR-2056,0.35%
42,Federal Home Loan Bank System 2.5% 10-DEC-2027,0.34%
43,Federal National Mortgage Association 2.0% 05-JAN-2022,0.34%
44,Federal Home Loan Mortgage Corporation 6.75% 15-MAR-2031,0.32%
45,Tennessee Valley Authority 0 % Generic Prin Pmt 1995-1.11.25 Prin Pmt Only on 6 3/4 % BD 1.11.25,0.29%
46,Tennessee Valley Authority 1.875% 15-AUG-2022,0.25%
47,Federal National Mortgage Association 5.625% 15-JUL-2037,0.24%
48,NCUA Guaranteed Notes Master Trust 2011-M1 A5 3.45% 12-JUN-2021,0.23%
49,Federal Home Loan Bank System 2.5% 09-DEC-2022,0.22%
