,Issuer Name,Symbol,Callable,Sub-Product Type,Coupon,Maturity,Moody's®,S&P,Price,Yield
0,AEROVIAS DE MEXICO S A DE C V,AOVS4945572,,Corporate Bond,7.000,02/05/2025,,,37.900,
1,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,48.500,
2,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,19.000,46.546
3,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,19.267,47.585
4,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,23.189,50.119
5,AMERICAN ENERGY-PERMIAN BASIN LLC / AEPB,AMPQ4898541,,Corporate Bond,12.000,10/01/2024,WR,NR,0.001,
6,ANDRADE GUTIERREZ INTL S A,ADGZ4925458,,Corporate Bond,9.500,12/30/2024,,,61.500,25.161
7,ANDRADE GUTIERREZ INTL S A,ADGZ4925029,,Corporate Bond,9.500,12/30/2024,,,61.750,
8,APPROACH RES INC,AREXQ4015973,Yes,Corporate Bond,7.000,06/15/2021,WR,NR,0.060,
9,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4746109,,Corporate Bond,10.500,10/22/2021,NR,,37.600,
10,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4729689,Yes,Corporate Bond,10.100,10/07/2021,NR,,33.400,
11,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4664027,Yes,Corporate Bond,10.000,08/27/2021,NR,,34.970,
12,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4642878,Yes,Corporate Bond,,06/25/2021,NR,,34.710,
13,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4599956,Yes,Corporate Bond,9.750,02/19/2021,NR,,42.850,
14,BARRETT BILL CORP,HPR3827968,Yes,Corporate Bond,7.000,10/15/2022,C,C,41.372,66.381
15,BARRETT BILL CORP,HPR4510658,Yes,Corporate Bond,8.750,06/15/2025,C,C,43.000,34.549
16,BAYTEX ENERGY CORP,BTE4939947,Yes,Corporate Bond,8.750,04/01/2027,B3,,52.500,23.554
17,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4939817,,Corporate Bond,8.800,01/27/2022,,,44.950,
18,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4952537,,Corporate Bond,,02/22/2022,,,58.930,
19,BON-TON DEPT STORES INC,BONT4043053,Yes,Corporate Bond,8.000,06/15/2021,WR,NR,5.000,
20,AEROVIAS DE MEXICO S A DE C V,AOVS4945572,,Corporate Bond,7.000,02/05/2025,,,37.900,
21,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,48.500,
22,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,19.000,46.546
23,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,19.267,47.585
24,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,23.189,50.119
25,AMERICAN ENERGY-PERMIAN BASIN LLC / AEPB,AMPQ4898541,,Corporate Bond,12.000,10/01/2024,WR,NR,0.001,
26,ANDRADE GUTIERREZ INTL S A,ADGZ4925458,,Corporate Bond,9.500,12/30/2024,,,61.500,25.161
27,ANDRADE GUTIERREZ INTL S A,ADGZ4925029,,Corporate Bond,9.500,12/30/2024,,,61.750,
28,APPROACH RES INC,AREXQ4015973,Yes,Corporate Bond,7.000,06/15/2021,WR,NR,0.060,
29,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4746109,,Corporate Bond,10.500,10/22/2021,NR,,37.600,
30,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4729689,Yes,Corporate Bond,10.100,10/07/2021,NR,,33.400,
31,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4664027,Yes,Corporate Bond,10.000,08/27/2021,NR,,34.970,
32,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4642878,Yes,Corporate Bond,,06/25/2021,NR,,34.710,
33,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4599956,Yes,Corporate Bond,9.750,02/19/2021,NR,,42.850,
34,BARRETT BILL CORP,HPR3827968,Yes,Corporate Bond,7.000,10/15/2022,C,C,41.372,66.381
35,BARRETT BILL CORP,HPR4510658,Yes,Corporate Bond,8.750,06/15/2025,C,C,43.000,34.549
36,BAYTEX ENERGY CORP,BTE4939947,Yes,Corporate Bond,8.750,04/01/2027,B3,,52.500,23.554
37,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4939817,,Corporate Bond,8.800,01/27/2022,,,44.950,
38,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4952537,,Corporate Bond,,02/22/2022,,,58.930,
39,BON-TON DEPT STORES INC,BONT4043053,Yes,Corporate Bond,8.000,06/15/2021,WR,NR,5.000,
40,AEROVIAS DE MEXICO S A DE C V,AOVS4945572,,Corporate Bond,7.000,02/05/2025,,,37.900,
41,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,48.500,
42,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,19.000,46.546
43,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,19.267,47.585
44,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,23.189,50.119
45,AMERICAN ENERGY-PERMIAN BASIN LLC / AEPB,AMPQ4898541,,Corporate Bond,12.000,10/01/2024,WR,NR,0.001,
46,ANDRADE GUTIERREZ INTL S A,ADGZ4925458,,Corporate Bond,9.500,12/30/2024,,,61.500,25.161
47,ANDRADE GUTIERREZ INTL S A,ADGZ4925029,,Corporate Bond,9.500,12/30/2024,,,61.750,
48,APPROACH RES INC,AREXQ4015973,Yes,Corporate Bond,7.000,06/15/2021,WR,NR,0.060,
49,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4746109,,Corporate Bond,10.500,10/22/2021,NR,,37.600,
50,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4729689,Yes,Corporate Bond,10.100,10/07/2021,NR,,33.400,
51,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4664027,Yes,Corporate Bond,10.000,08/27/2021,NR,,34.970,
52,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4642878,Yes,Corporate Bond,,06/25/2021,NR,,34.710,
53,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4599956,Yes,Corporate Bond,9.750,02/19/2021,NR,,42.850,
54,BARRETT BILL CORP,HPR3827968,Yes,Corporate Bond,7.000,10/15/2022,C,C,41.372,66.381
55,BARRETT BILL CORP,HPR4510658,Yes,Corporate Bond,8.750,06/15/2025,C,C,43.000,34.549
56,BAYTEX ENERGY CORP,BTE4939947,Yes,Corporate Bond,8.750,04/01/2027,B3,,52.500,23.554
57,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4939817,,Corporate Bond,8.800,01/27/2022,,,44.950,
58,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4952537,,Corporate Bond,,02/22/2022,,,58.930,
59,BON-TON DEPT STORES INC,BONT4043053,Yes,Corporate Bond,8.000,06/15/2021,WR,NR,5.000,
60,AEROVIAS DE MEXICO S A DE C V,AOVS4945572,,Corporate Bond,7.000,02/05/2025,,,37.900,
61,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,48.500,
62,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,19.000,46.546
63,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,19.267,47.585
64,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,23.189,50.119
65,AMERICAN ENERGY-PERMIAN BASIN LLC / AEPB,AMPQ4898541,,Corporate Bond,12.000,10/01/2024,WR,NR,0.001,
66,ANDRADE GUTIERREZ INTL S A,ADGZ4925458,,Corporate Bond,9.500,12/30/2024,,,61.500,25.161
67,ANDRADE GUTIERREZ INTL S A,ADGZ4925029,,Corporate Bond,9.500,12/30/2024,,,61.750,
68,APPROACH RES INC,AREXQ4015973,Yes,Corporate Bond,7.000,06/15/2021,WR,NR,0.060,
69,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4746109,,Corporate Bond,10.500,10/22/2021,NR,,37.600,
70,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4729689,Yes,Corporate Bond,10.100,10/07/2021,NR,,33.400,
71,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4664027,Yes,Corporate Bond,10.000,08/27/2021,NR,,34.970,
72,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4642878,Yes,Corporate Bond,,06/25/2021,NR,,34.710,
73,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4599956,Yes,Corporate Bond,9.750,02/19/2021,NR,,42.850,
74,BARRETT BILL CORP,HPR3827968,Yes,Corporate Bond,7.000,10/15/2022,C,C,41.372,66.381
75,BARRETT BILL CORP,HPR4510658,Yes,Corporate Bond,8.750,06/15/2025,C,C,43.000,34.549
