,Issuer Name,Symbol,Callable,Sub-Product Type,Coupon,Maturity,Moody's®,S&P,Price,Yield
0,ACCELERATE DIAGNOSTICS INC,AXDX4833965,,Corporate Bond,2.500,03/15/2023,,,64.000,22.486
1,AEROPUERTOS ARGENTINA 2000 S.A,AEAA4989980,,Corporate Bond,9.375,02/01/2027,,,67.500,
2,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,50.000,
3,AHERN RENTALS INC,AHRI4240466,Yes,Corporate Bond,7.375,05/15/2023,Caa2,CCC,56.750,33.538
4,AMC ENTMT HLDGS INC,AMC5040765,,Corporate Bond,12.000,06/15/2026,,,19.200,
5,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,18.750,72.988
6,AMC ENTMT HLDGS INC,AMC4978205,Yes,Corporate Bond,10.500,04/15/2025,Caa2,CCC,65.500,23.224
7,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,12.000,63.291
8,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,19.420,46.457
9,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,14.450,67.389
10,AMERICAN AIRLINES INC 2014-1 CL B PASS T,AAL4160720,Yes,Corporate Bond,4.375,04/01/2024,,BB-,65.176,
11,AMERICAN AIRLS GROUP INC,AAL4955091,,Corporate Bond,3.750,03/01/2025,,,54.000,
12,AMERICAN AIRLS GROUP INC,AAL4955090,Yes,Corporate Bond,3.750,03/01/2025,Caa1,CCC,50.250,21.950
13,ANDRADE GUTIERREZ INTL S A,ADGZ4925029,,Corporate Bond,9.500,12/30/2024,,,68.000,
14,ANTERO RES CORP,AR4434887,Yes,Corporate Bond,5.000,03/01/2025,B3,B,65.030,16.485
15,ASSURED GTY U S HLDGS INC,AGO.GB,Yes,Corporate Bond,2.630,12/15/2066,Baa3,BBB+,67.001,
16,AVATION CAP S A,PALF4629879,Yes,Corporate Bond,6.500,05/15/2021,,,68.500,82.614
17,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4954896,No,Corporate Bond,,02/26/2025,NR,,62.220,
18,BARRETT BILL CORP,HPR3827968,Yes,Corporate Bond,7.000,10/15/2022,Caa3,CCC,27.600,92.056
