,Issuer Name,Symbol,Callable,Sub-Product Type,Coupon,Maturity,Moody's®,S&P,Price,Yield
0,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,48.000,
1,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,26.500,55.759
2,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,17.500,49.242
3,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,17.835,50.099
4,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,17.000,62.026
5,AMERICAN AIRLS 2015-2 PASS THRU TRS,AAL4288273,Yes,Corporate Bond,4.400,03/22/2025,Ba2,B,70.000,
6,AMERICAN AIRLS GROUP INC,AAL4955091,,Corporate Bond,3.750,03/01/2025,,,63.072,
7,AMERICAN AIRLS GROUP INC,AAL4955090,Yes,Corporate Bond,3.750,03/01/2025,Caa1,CCC,65.000,15.202
8,ATHABASCA OIL CORP,ATHOF4455143,Yes,Corporate Bond,9.875,02/24/2022,,,34.449,127.905
9,AURORA CANNABIS INC,ACB4951282,,Corporate Bond,5.500,02/28/2024,,,65.000,20.831
10,AVIANCA HLDGS S A,AVHOQ5065031,,Corporate Bond,,11/10/2021,,,60.000,
11,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4801410,Yes,Corporate Bond,9.250,02/28/2022,NR,,50.549,
12,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4573870,Yes,Corporate Bond,8.500,12/23/2020,NR,,38.300,
13,BARRETT BILL CORP,HPR3827968,Yes,Corporate Bond,7.000,10/15/2022,C,C,41.000,66.101
14,BAYTEX ENERGY CORP,BTE4131085,,Corporate Bond,,06/01/2024,,,58.875,
15,BAYTEX ENERGY CORP,BTE4131083,Yes,Corporate Bond,5.625,06/01/2024,B3,,58.038,23.964
16,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4952537,,Corporate Bond,,02/22/2022,,,59.630,
17,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4939817,,Corporate Bond,8.800,01/27/2022,,,42.200,
18,BRIGGS & STRATTON CORP,BGG.GE,Yes,Corporate Bond,6.875,12/15/2020,WR,NR,7.700,
19,BUCKEYE PARTNERS L P,BPL4588185,Yes,Corporate Bond,6.375,01/22/2078,B2,B+,68.417,
20,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,48.000,
21,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,26.500,55.759
22,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,17.500,49.242
23,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,17.835,50.099
24,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,17.000,62.026
25,AMERICAN AIRLS 2015-2 PASS THRU TRS,AAL4288273,Yes,Corporate Bond,4.400,03/22/2025,Ba2,B,70.000,
26,AMERICAN AIRLS GROUP INC,AAL4955091,,Corporate Bond,3.750,03/01/2025,,,63.072,
27,AMERICAN AIRLS GROUP INC,AAL4955090,Yes,Corporate Bond,3.750,03/01/2025,Caa1,CCC,65.000,15.202
28,ATHABASCA OIL CORP,ATHOF4455143,Yes,Corporate Bond,9.875,02/24/2022,,,34.449,127.905
29,AURORA CANNABIS INC,ACB4951282,,Corporate Bond,5.500,02/28/2024,,,65.000,20.831
30,AVIANCA HLDGS S A,AVHOQ5065031,,Corporate Bond,,11/10/2021,,,60.000,
31,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4801410,Yes,Corporate Bond,9.250,02/28/2022,NR,,50.549,
32,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4573870,Yes,Corporate Bond,8.500,12/23/2020,NR,,38.300,
33,BARRETT BILL CORP,HPR3827968,Yes,Corporate Bond,7.000,10/15/2022,C,C,41.000,66.101
34,BAYTEX ENERGY CORP,BTE4131085,,Corporate Bond,,06/01/2024,,,58.875,
35,BAYTEX ENERGY CORP,BTE4131083,Yes,Corporate Bond,5.625,06/01/2024,B3,,58.038,23.964
36,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4952537,,Corporate Bond,,02/22/2022,,,59.630,
37,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4939817,,Corporate Bond,8.800,01/27/2022,,,42.200,
38,BRIGGS & STRATTON CORP,BGG.GE,Yes,Corporate Bond,6.875,12/15/2020,WR,NR,7.700,
39,BUCKEYE PARTNERS L P,BPL4588185,Yes,Corporate Bond,6.375,01/22/2078,B2,B+,68.417,
40,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,48.000,
41,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,26.500,55.759
42,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,17.500,49.242
