,Issuer Name,Symbol,Callable,Sub-Product Type,Coupon,Maturity,Moody's®,S&P,Price,Yield
0,24 HOUR HLDGS III LLC,TFHS4127738,Yes,Corporate Bond,8.000,06/01/2022,WR,NR,0.010,
1,AEROVIAS DE MEXICO S A DE C V,AOVS4945572,,Corporate Bond,7.000,02/05/2025,,,40.375,
2,AEROVIAS DE MEXICO S A DE C V,AOVS4945571,Yes,Corporate Bond,7.000,02/05/2025,WR,,40.500,
3,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,49.600,
4,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,24.250,60.227
5,AMC ENTMT HLDGS INC,AMC4978205,Yes,Corporate Bond,10.500,04/15/2025,Caa2,CCC,70.000,21.452
6,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,18.814,46.943
7,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,15.250,56.035
8,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,16.000,65.237
9,ANDRADE GUTIERREZ INTL S A,ADGZ4925458,,Corporate Bond,9.500,12/30/2024,,,62.750,24.534
10,ANDRADE GUTIERREZ INTL S A,ADGZ4925029,,Corporate Bond,9.500,12/30/2024,,,62.750,
11,ATHABASCA OIL CORP,ATHOF4455143,Yes,Corporate Bond,9.875,02/24/2022,,,36.500,125.264
12,BANK MONTREAL MEDIUM TERM SR NTS BOOK EN,BMO4926172,No,Corporate Bond,10.600,03/31/2021,NR,,64.903,
13,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4585561,,Corporate Bond,7.000,01/22/2021,,,38.130,
14,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4526123,No,Corporate Bond,,08/03/2022,NR,,54.620,
15,BAYTEX ENERGY CORP,BTE4131083,Yes,Corporate Bond,5.625,06/01/2024,B3,,65.502,19.877
16,BAYTEX ENERGY CORP,BTE4939947,Yes,Corporate Bond,8.750,04/01/2027,B3,,61.000,19.858
17,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4866544,,Corporate Bond,13.200,08/02/2027,,,69.120,
18,BRIGGS & STRATTON CORP,BGG.GE,Yes,Corporate Bond,6.875,12/15/2020,WR,NR,7.930,
19,CALLON PETE CO DEL,CPE4492238,Yes,Corporate Bond,6.125,10/01/2024,Caa1,D,54.500,25.524
20,24 HOUR HLDGS III LLC,TFHS4127738,Yes,Corporate Bond,8.000,06/01/2022,WR,NR,0.010,
21,AEROVIAS DE MEXICO S A DE C V,AOVS4945572,,Corporate Bond,7.000,02/05/2025,,,40.375,
22,AEROVIAS DE MEXICO S A DE C V,AOVS4945571,Yes,Corporate Bond,7.000,02/05/2025,WR,,40.500,
23,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,49.600,
24,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,24.250,60.227
25,AMC ENTMT HLDGS INC,AMC4978205,Yes,Corporate Bond,10.500,04/15/2025,Caa2,CCC,70.000,21.452
26,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,18.814,46.943
27,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,15.250,56.035
28,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,16.000,65.237
29,ANDRADE GUTIERREZ INTL S A,ADGZ4925458,,Corporate Bond,9.500,12/30/2024,,,62.750,24.534
30,ANDRADE GUTIERREZ INTL S A,ADGZ4925029,,Corporate Bond,9.500,12/30/2024,,,62.750,
31,ATHABASCA OIL CORP,ATHOF4455143,Yes,Corporate Bond,9.875,02/24/2022,,,36.500,125.264
32,BANK MONTREAL MEDIUM TERM SR NTS BOOK EN,BMO4926172,No,Corporate Bond,10.600,03/31/2021,NR,,64.903,
33,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4585561,,Corporate Bond,7.000,01/22/2021,,,38.130,
34,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4526123,No,Corporate Bond,,08/03/2022,NR,,54.620,
35,BAYTEX ENERGY CORP,BTE4131083,Yes,Corporate Bond,5.625,06/01/2024,B3,,65.502,19.877
36,BAYTEX ENERGY CORP,BTE4939947,Yes,Corporate Bond,8.750,04/01/2027,B3,,61.000,19.858
37,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4866544,,Corporate Bond,13.200,08/02/2027,,,69.120,
38,BRIGGS & STRATTON CORP,BGG.GE,Yes,Corporate Bond,6.875,12/15/2020,WR,NR,7.930,
39,CALLON PETE CO DEL,CPE4492238,Yes,Corporate Bond,6.125,10/01/2024,Caa1,D,54.500,25.524
40,24 HOUR HLDGS III LLC,TFHS4127738,Yes,Corporate Bond,8.000,06/01/2022,WR,NR,0.010,
41,AEROVIAS DE MEXICO S A DE C V,AOVS4945572,,Corporate Bond,7.000,02/05/2025,,,40.375,
42,AEROVIAS DE MEXICO S A DE C V,AOVS4945571,Yes,Corporate Bond,7.000,02/05/2025,WR,,40.500,
43,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,49.600,
44,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,24.250,60.227
45,AMC ENTMT HLDGS INC,AMC4978205,Yes,Corporate Bond,10.500,04/15/2025,Caa2,CCC,70.000,21.452
46,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,18.814,46.943
47,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,15.250,56.035
48,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,16.000,65.237
49,ANDRADE GUTIERREZ INTL S A,ADGZ4925458,,Corporate Bond,9.500,12/30/2024,,,62.750,24.534
50,ANDRADE GUTIERREZ INTL S A,ADGZ4925029,,Corporate Bond,9.500,12/30/2024,,,62.750,
51,ATHABASCA OIL CORP,ATHOF4455143,Yes,Corporate Bond,9.875,02/24/2022,,,36.500,125.264
52,BANK MONTREAL MEDIUM TERM SR NTS BOOK EN,BMO4926172,No,Corporate Bond,10.600,03/31/2021,NR,,64.903,
53,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4585561,,Corporate Bond,7.000,01/22/2021,,,38.130,
54,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4526123,No,Corporate Bond,,08/03/2022,NR,,54.620,
55,BAYTEX ENERGY CORP,BTE4131083,Yes,Corporate Bond,5.625,06/01/2024,B3,,65.502,19.877
56,BAYTEX ENERGY CORP,BTE4939947,Yes,Corporate Bond,8.750,04/01/2027,B3,,61.000,19.858
57,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4866544,,Corporate Bond,13.200,08/02/2027,,,69.120,
58,BRIGGS & STRATTON CORP,BGG.GE,Yes,Corporate Bond,6.875,12/15/2020,WR,NR,7.930,
59,CALLON PETE CO DEL,CPE4492238,Yes,Corporate Bond,6.125,10/01/2024,Caa1,D,54.500,25.524
60,24 HOUR HLDGS III LLC,TFHS4127738,Yes,Corporate Bond,8.000,06/01/2022,WR,NR,0.010,
