,Issuer Name,Symbol,Callable,Sub-Product Type,Coupon,Maturity,Moody's®,S&P,Price,Yield
0,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,22.125,64.929
1,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,12.000,64.474
2,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,13.125,62.279
3,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,12.562,76.885
4,ANDRADE GUTIERREZ INTL S A,ADGZ4925029,,Corporate Bond,9.500,12/30/2024,,,58.550,
5,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4452272,No,Corporate Bond,,02/23/2021,NR,,36.840,
6,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4810877,Yes,Corporate Bond,11.500,03/25/2022,NR,,52.770,
7,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4746072,,Corporate Bond,,10/24/2022,NR,,39.460,
8,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4746063,,Corporate Bond,,10/24/2022,NR,,38.920,
9,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4729699,Yes,Corporate Bond,8.600,10/07/2021,NR,,32.570,
10,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4645503,No,Corporate Bond,8.250,06/30/2023,NR,,34.970,
11,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4642877,No,Corporate Bond,,06/27/2022,NR,,36.050,
12,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4642871,Yes,Corporate Bond,,06/25/2021,NR,,33.975,
13,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4620965,Yes,Corporate Bond,8.000,04/23/2021,NR,,37.370,
14,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4840191,Yes,Corporate Bond,9.300,06/05/2024,NR,,61.500,
15,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4842346,Yes,Corporate Bond,10.150,06/06/2024,NR,,60.490,
16,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4857862,Yes,Corporate Bond,11.500,07/22/2022,NR,,65.960,
17,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4604017,Yes,Corporate Bond,10.000,02/28/2028,NR,,59.000,
18,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4598415,Yes,Corporate Bond,9.000,02/14/2023,NR,,50.550,
19,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4560429,No,Corporate Bond,10.850,11/03/2022,NR,,54.988,
20,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,22.125,64.929
21,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,12.000,64.474
22,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,13.125,62.279
23,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,12.562,76.885
24,ANDRADE GUTIERREZ INTL S A,ADGZ4925029,,Corporate Bond,9.500,12/30/2024,,,58.550,
25,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4452272,No,Corporate Bond,,02/23/2021,NR,,36.840,
26,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4810877,Yes,Corporate Bond,11.500,03/25/2022,NR,,52.770,
27,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4746072,,Corporate Bond,,10/24/2022,NR,,39.460,
28,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4746063,,Corporate Bond,,10/24/2022,NR,,38.920,
29,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4729699,Yes,Corporate Bond,8.600,10/07/2021,NR,,32.570,
30,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4645503,No,Corporate Bond,8.250,06/30/2023,NR,,34.970,
31,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4642877,No,Corporate Bond,,06/27/2022,NR,,36.050,
32,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4642871,Yes,Corporate Bond,,06/25/2021,NR,,33.975,
33,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4620965,Yes,Corporate Bond,8.000,04/23/2021,NR,,37.370,
34,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4840191,Yes,Corporate Bond,9.300,06/05/2024,NR,,61.500,
35,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4842346,Yes,Corporate Bond,10.150,06/06/2024,NR,,60.490,
36,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4857862,Yes,Corporate Bond,11.500,07/22/2022,NR,,65.960,
37,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4604017,Yes,Corporate Bond,10.000,02/28/2028,NR,,59.000,
38,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4598415,Yes,Corporate Bond,9.000,02/14/2023,NR,,50.550,
39,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4560429,No,Corporate Bond,10.850,11/03/2022,NR,,54.988,
40,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,22.125,64.929
41,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,12.000,64.474
42,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,13.125,62.279
43,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,12.562,76.885
44,ANDRADE GUTIERREZ INTL S A,ADGZ4925029,,Corporate Bond,9.500,12/30/2024,,,58.550,
45,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4452272,No,Corporate Bond,,02/23/2021,NR,,36.840,
46,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4810877,Yes,Corporate Bond,11.500,03/25/2022,NR,,52.770,
47,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4746072,,Corporate Bond,,10/24/2022,NR,,39.460,
48,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4746063,,Corporate Bond,,10/24/2022,NR,,38.920,
49,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4729699,Yes,Corporate Bond,8.600,10/07/2021,NR,,32.570,
50,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4645503,No,Corporate Bond,8.250,06/30/2023,NR,,34.970,
51,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4642877,No,Corporate Bond,,06/27/2022,NR,,36.050,
52,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4642871,Yes,Corporate Bond,,06/25/2021,NR,,33.975,
53,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4620965,Yes,Corporate Bond,8.000,04/23/2021,NR,,37.370,
54,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4840191,Yes,Corporate Bond,9.300,06/05/2024,NR,,61.500,
55,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4842346,Yes,Corporate Bond,10.150,06/06/2024,NR,,60.490,
56,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4857862,Yes,Corporate Bond,11.500,07/22/2022,NR,,65.960,
57,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4604017,Yes,Corporate Bond,10.000,02/28/2028,NR,,59.000,
58,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4598415,Yes,Corporate Bond,9.000,02/14/2023,NR,,50.550,
59,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4560429,No,Corporate Bond,10.850,11/03/2022,NR,,54.988,
60,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,22.125,64.929
61,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,12.000,64.474
62,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,13.125,62.279
63,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,12.562,76.885
64,ANDRADE GUTIERREZ INTL S A,ADGZ4925029,,Corporate Bond,9.500,12/30/2024,,,58.550,
65,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4452272,No,Corporate Bond,,02/23/2021,NR,,36.840,
