,Issuer Name,Symbol,Callable,Sub-Product Type,Coupon,Maturity,Moody's®,S&P,Price,Yield
0,AES ARGENTINA GENERACION S A,AES4450370,,Corporate Bond,7.750,02/02/2024,,,70.000,
1,AHERN RENTALS INC,AHRI4240466,Yes,Corporate Bond,7.375,05/15/2023,Caa2,CCC,56.500,33.731
2,ALLIANCE RESOURCE OPER L P / ALLIANCE RE,ARLP4483434,,Corporate Bond,,05/01/2025,,,69.100,
3,AMC ENTMT HLDGS INC,AMC4978206,,Corporate Bond,10.500,04/15/2025,,,68.995,
4,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,17.750,76.278
5,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,15.100,55.295
6,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,12.010,63.236
7,AMC ENTMT HLDGS INC,AMC4978205,Yes,Corporate Bond,10.500,04/15/2025,Caa2,CCC,67.250,22.377
8,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,19.000,56.094
9,AMERICAN AIRLS GROUP INC,AAL4955090,Yes,Corporate Bond,3.750,03/01/2025,Caa1,CCC,52.500,20.711
10,AMERICAN AIRLS GROUP INC,AAL4955091,,Corporate Bond,3.750,03/01/2025,,,52.188,
11,AMERICAN AIRLS INC CL B PASS THRU CTFS S,AAL4867591,Yes,Corporate Bond,3.850,08/15/2029,Ba2,B+,65.000,9.811
12,ANTERO RES CORP,AR4434887,Yes,Corporate Bond,5.000,03/01/2025,B3,B,62.750,17.476
13,ATHABASCA OIL CORP,ATHOF4455144,,Corporate Bond,9.875,02/24/2022,,,35.000,
14,BANK MONTREAL MEDIUM TERM SR NTS BOOK EN,BMO4918169,No,Corporate Bond,11.400,02/26/2021,NR,,47.220,
15,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4895636,Yes,Corporate Bond,,10/21/2022,NR,,54.830,
16,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4593924,,Corporate Bond,,02/04/2021,NR,,25.825,
17,BARRETT BILL CORP,HPR3827968,Yes,Corporate Bond,7.000,10/15/2022,Caa3,CCC,21.064,114.762
