,Issuer Name,Symbol,Callable,Sub-Product Type,Coupon,Maturity,Moody's®,S&P,Price,Yield
0,AEROVIAS DE MEXICO S A DE C V,AOVS4945572,,Corporate Bond,7.000,02/05/2025,,,40.025,
1,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,20.750,68.325
2,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,13.150,60.485
3,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,11.259,68.961
4,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,12.000,79.064
5,ANDRADE GUTIERREZ INTL S A,ADGZ4685774,,Corporate Bond,11.000,08/20/2021,,,64.000,
6,ATHABASCA OIL CORP,ATHOF4455143,Yes,Corporate Bond,9.875,02/24/2022,,,37.250,127.460
7,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4769517,Yes,Corporate Bond,10.250,11/26/2021,NR,,44.110,
8,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4769501,,Corporate Bond,12.200,11/26/2021,NR,,44.350,
9,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4746118,,Corporate Bond,9.000,10/22/2021,NR,,35.550,
10,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4653579,Yes,Corporate Bond,8.750,07/23/2021,NR,,32.920,
11,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4630693,No,Corporate Bond,,05/23/2022,NR,,34.390,
12,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4599957,Yes,Corporate Bond,8.750,02/19/2021,NR,,40.200,
13,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4593924,,Corporate Bond,,02/04/2021,NR,,30.850,
14,BAYTEX ENERGY CORP,BTE4939947,Yes,Corporate Bond,8.750,04/01/2027,B3,,65.600,18.167
15,BAYTEX ENERGY CORP,BTE4939948,,Corporate Bond,,04/01/2023,,,69.000,
16,BNP PARIBAS,BNPQF4947655,,Corporate Bond,10.500,02/10/2021,,,62.010,
17,BRIGGS & STRATTON CORP,BGG.GE,Yes,Corporate Bond,6.875,12/15/2020,WR,NR,7.355,
18,CANADIAN IMPERIAL BK COMM TORONTO ONT,CM4927431,No,Corporate Bond,,12/20/2022,NR,,49.450,
19,CARRIZO OIL & GAS INC,CPE4233858,Yes,Corporate Bond,6.250,04/15/2023,Caa2,D,64.445,28.384
20,AEROVIAS DE MEXICO S A DE C V,AOVS4945572,,Corporate Bond,7.000,02/05/2025,,,40.025,
21,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,20.750,68.325
22,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,13.150,60.485
23,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,11.259,68.961
24,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,12.000,79.064
25,ANDRADE GUTIERREZ INTL S A,ADGZ4685774,,Corporate Bond,11.000,08/20/2021,,,64.000,
26,ATHABASCA OIL CORP,ATHOF4455143,Yes,Corporate Bond,9.875,02/24/2022,,,37.250,127.460
27,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4769517,Yes,Corporate Bond,10.250,11/26/2021,NR,,44.110,
28,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4769501,,Corporate Bond,12.200,11/26/2021,NR,,44.350,
29,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4746118,,Corporate Bond,9.000,10/22/2021,NR,,35.550,
30,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4653579,Yes,Corporate Bond,8.750,07/23/2021,NR,,32.920,
31,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4630693,No,Corporate Bond,,05/23/2022,NR,,34.390,
32,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4599957,Yes,Corporate Bond,8.750,02/19/2021,NR,,40.200,
33,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4593924,,Corporate Bond,,02/04/2021,NR,,30.850,
34,BAYTEX ENERGY CORP,BTE4939947,Yes,Corporate Bond,8.750,04/01/2027,B3,,65.600,18.167
35,BAYTEX ENERGY CORP,BTE4939948,,Corporate Bond,,04/01/2023,,,69.000,
