,Issuer Name,Symbol,Callable,Sub-Product Type,Coupon,Maturity,Moody's®,S&P,Price,Yield
0,AEROPUERTOS ARGENTINA 2000 S A,AEAA4451213,Yes,Corporate Bond,6.875,02/01/2027,Caa3,,68.500,14.699
1,AEROPUERTOS ARGENTINA 2000 S.A,AEAA4989980,,Corporate Bond,9.375,02/01/2027,,,70.000,
2,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,48.170,
3,AHERN RENTALS INC,AHRI4240466,Yes,Corporate Bond,7.375,05/15/2023,Caa2,CCC,67.500,25.850
4,AMC ENTMT HLDGS INC,AMC5026707,,Corporate Bond,10.500,04/24/2026,Caa2,CCC,66.000,21.373
5,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,14.250,91.785
6,AMC ENTMT HLDGS INC,AMC4978205,Yes,Corporate Bond,10.500,04/15/2025,Caa2,CCC,69.250,21.653
7,AMC ENTMT HLDGS INC,AMC5040765,,Corporate Bond,12.000,06/15/2026,,,13.000,
8,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,11.051,67.931
9,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,12.000,77.384
10,AMERICAN AIRLS GROUP INC,AAL4955091,,Corporate Bond,3.750,03/01/2025,,,57.200,
11,ANDRADE GUTIERREZ INTL S A,ADGZ4925458,,Corporate Bond,9.500,12/30/2024,,,61.250,25.107
12,ANDRADE GUTIERREZ INTL S A,ADGZ4925029,,Corporate Bond,9.500,12/30/2024,,,61.490,
13,ASSURED GTY U S HLDGS INC,AGO.GB,Yes,Corporate Bond,2.630,12/15/2066,Baa3,BBB+,69.187,
14,BANK MONTREAL MEDIUM TERM SR NTS BOOK EN,BMO4864213,,Corporate Bond,,07/30/2021,NR,,51.880,
15,BANK MONTREAL MEDIUM TERM SR NTS BOOK EN,BMO4853973,,Corporate Bond,,06/30/2021,NR,,45.520,
16,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4834839,Yes,Corporate Bond,11.500,05/27/2022,NR,,47.000,
17,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4630695,No,Corporate Bond,,05/23/2022,NR,,29.100,
18,BARRETT BILL CORP,HPR3827968,Yes,Corporate Bond,7.000,10/15/2022,C,CCC,37.000,73.076
19,BARRETT BILL CORP,HPR4510658,Yes,Corporate Bond,8.750,06/15/2025,Caa3,CCC,30.960,46.211
20,AEROPUERTOS ARGENTINA 2000 S A,AEAA4451213,Yes,Corporate Bond,6.875,02/01/2027,Caa3,,68.500,14.699
21,AEROPUERTOS ARGENTINA 2000 S.A,AEAA4989980,,Corporate Bond,9.375,02/01/2027,,,70.000,
22,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,48.170,
23,AHERN RENTALS INC,AHRI4240466,Yes,Corporate Bond,7.375,05/15/2023,Caa2,CCC,67.500,25.850
