,Issuer Name,Symbol,Callable,Sub-Product Type,Coupon,Maturity,Moody's®,S&P,Price,Yield
0,ACCELERATE DIAGNOSTICS INC,AXDX4833965,,Corporate Bond,2.500,03/15/2023,,,56.500,30.743
1,AEROVIAS DE MEXICO S A DE C V,AOVS4945572,,Corporate Bond,7.000,02/05/2025,,,40.700,
2,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,49.760,
3,AMC ENTMT HLDGS INC,AMC5040007,,Corporate Bond,10.500,04/24/2026,,,69.370,
4,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,22.750,63.426
5,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,13.900,58.071
6,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,15.500,55.458
7,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,16.981,62.759
8,ATHABASCA OIL CORP,ATHOF4455144,,Corporate Bond,9.875,02/24/2022,,,37.000,
9,AVANGARDCO INVESTMENTS PUBLICLTD,AGVD.AA,,Corporate Bond,10.000,10/29/2015,,,3.500,
10,BANK MONTREAL MEDIUM TERM SR NTS BOOK EN,BMO4891258,No,Corporate Bond,14.650,12/31/2020,NR,,67.270,
11,BANK MONTREAL MEDIUM TERM SR NTS BOOK EN,BMO4635571,No,Corporate Bond,10.200,05/31/2022,NR,,35.750,
12,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4834839,Yes,Corporate Bond,11.500,05/27/2022,NR,,61.850,
13,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4819806,No,Corporate Bond,,04/21/2023,NR,,58.200,
14,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4804176,,Corporate Bond,11.000,02/28/2022,NR,,53.070,
15,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4642871,Yes,Corporate Bond,,06/25/2021,NR,,35.760,
16,BAYTEX ENERGY CORP,BTE4939947,Yes,Corporate Bond,8.750,04/01/2027,B3,,62.500,19.283
17,BON-TON DEPT STORES INC,BONT4043053,Yes,Corporate Bond,8.000,06/15/2021,WR,NR,1.652,
18,BRIGGS & STRATTON CORP,BGG.GE,Yes,Corporate Bond,6.875,12/15/2020,WR,NR,7.700,
19,CALLON PETE CO DEL,CPE4492238,Yes,Corporate Bond,6.125,10/01/2024,Caa2,D,57.063,23.995
20,ACCELERATE DIAGNOSTICS INC,AXDX4833965,,Corporate Bond,2.500,03/15/2023,,,56.500,30.743
21,AEROVIAS DE MEXICO S A DE C V,AOVS4945572,,Corporate Bond,7.000,02/05/2025,,,40.700,
22,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,49.760,
23,AMC ENTMT HLDGS INC,AMC5040007,,Corporate Bond,10.500,04/24/2026,,,69.370,
24,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,22.750,63.426
25,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,13.900,58.071
26,AMC ENTMT HLDGS INC,AMC4506547,Yes,Corporate Bond,5.875,11/15/2026,Ca,C,15.500,55.458
27,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,16.981,62.759
28,ATHABASCA OIL CORP,ATHOF4455144,,Corporate Bond,9.875,02/24/2022,,,37.000,
29,AVANGARDCO INVESTMENTS PUBLICLTD,AGVD.AA,,Corporate Bond,10.000,10/29/2015,,,3.500,
30,BANK MONTREAL MEDIUM TERM SR NTS BOOK EN,BMO4891258,No,Corporate Bond,14.650,12/31/2020,NR,,67.270,
31,BANK MONTREAL MEDIUM TERM SR NTS BOOK EN,BMO4635571,No,Corporate Bond,10.200,05/31/2022,NR,,35.750,
32,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4834839,Yes,Corporate Bond,11.500,05/27/2022,NR,,61.850,
33,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4819806,No,Corporate Bond,,04/21/2023,NR,,58.200,
34,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4804176,,Corporate Bond,11.000,02/28/2022,NR,,53.070,
35,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4642871,Yes,Corporate Bond,,06/25/2021,NR,,35.760,
36,BAYTEX ENERGY CORP,BTE4939947,Yes,Corporate Bond,8.750,04/01/2027,B3,,62.500,19.283
37,BON-TON DEPT STORES INC,BONT4043053,Yes,Corporate Bond,8.000,06/15/2021,WR,NR,1.652,
38,BRIGGS & STRATTON CORP,BGG.GE,Yes,Corporate Bond,6.875,12/15/2020,WR,NR,7.700,
39,CALLON PETE CO DEL,CPE4492238,Yes,Corporate Bond,6.125,10/01/2024,Caa2,D,57.063,23.995
40,ACCELERATE DIAGNOSTICS INC,AXDX4833965,,Corporate Bond,2.500,03/15/2023,,,56.500,30.743
41,AEROVIAS DE MEXICO S A DE C V,AOVS4945572,,Corporate Bond,7.000,02/05/2025,,,40.700,
42,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,49.760,
43,AMC ENTMT HLDGS INC,AMC5040007,,Corporate Bond,10.500,04/24/2026,,,69.370,
