,Issuer Name,Symbol,Callable,Sub-Product Type,Coupon,Maturity,Moody's®,S&P,Price,Yield
0,AEROVIAS DE MEXICO S A DE C V,AOVS4945572,,Corporate Bond,7.000,02/05/2025,,,39.750,
1,AEROVIAS DE MEXICO S A DE C V,AOVS4945571,Yes,Corporate Bond,7.000,02/05/2025,WR,,40.000,
2,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,49.500,
3,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,21.500,66.345
4,AMC ENTMT HLDGS INC,AMC5026707,,Corporate Bond,10.500,04/24/2026,Caa2,CCC,67.500,20.858
5,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,18.500,47.499
6,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,20.700,54.612
7,Apidos CDO V,APDZ4229258,,Corporate Bond,,04/15/2021,,,0.020,
8,ATHABASCA OIL CORP,ATHOF4455143,Yes,Corporate Bond,9.875,02/24/2022,,,36.750,123.990
9,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4840191,Yes,Corporate Bond,9.300,06/05/2024,NR,,64.490,
10,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4746118,,Corporate Bond,9.000,10/22/2021,NR,,40.547,
11,BARCLAYS BK PLC MEDIUM TERM` NTS BOOK EN,BCS4598415,Yes,Corporate Bond,9.000,02/14/2023,NR,,54.170,
12,BARRETT BILL CORP,HPR3827968,Yes,Corporate Bond,7.000,10/15/2022,C,C,46.100,58.632
13,BAYTEX ENERGY CORP,BTE4131083,Yes,Corporate Bond,5.625,06/01/2024,B3,,65.500,19.867
14,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4939817,,Corporate Bond,8.800,01/27/2022,,,54.010,
15,BRIGGS & STRATTON CORP,BGG.GE,Yes,Corporate Bond,6.875,12/15/2020,WR,NR,8.160,
16,CAIYUN INTL INVT,YNAN4826332,,Corporate Bond,5.500,04/08/2022,,,69.371,
17,CALLON PETE CO DEL,CPE4492238,Yes,Corporate Bond,6.125,10/01/2024,Caa1,D,55.500,24.891
18,CALLON PETE CO DEL,CPE4640205,Yes,Corporate Bond,6.375,07/01/2026,Caa2,D,49.375,22.965
19,CARLSON TRAVEL INC,CTHM5038547,Yes,Corporate Bond,11.500,12/15/2026,,,54.750,27.209
20,AEROVIAS DE MEXICO S A DE C V,AOVS4945572,,Corporate Bond,7.000,02/05/2025,,,39.750,
21,AEROVIAS DE MEXICO S A DE C V,AOVS4945571,Yes,Corporate Bond,7.000,02/05/2025,WR,,40.000,
22,AGUA Y SANEAMIENTOS ARGENTINOS S A,AGYX4604260,,Corporate Bond,6.625,02/01/2023,,,49.500,
23,AMC ENTMT HLDGS INC,AMC5029144,,Corporate Bond,12.000,06/15/2026,Ca,C,21.500,66.345
24,AMC ENTMT HLDGS INC,AMC5026707,,Corporate Bond,10.500,04/24/2026,Caa2,CCC,67.500,20.858
25,AMC ENTMT HLDGS INC,AMC4507267,Yes,Corporate Bond,6.125,05/15/2027,Ca,C,18.500,47.499
26,AMC ENTMT INC NEW,AMC4267538,Yes,Corporate Bond,5.750,06/15/2025,Ca,C,20.700,54.612
27,Apidos CDO V,APDZ4229258,,Corporate Bond,,04/15/2021,,,0.020,
28,ATHABASCA OIL CORP,ATHOF4455143,Yes,Corporate Bond,9.875,02/24/2022,,,36.750,123.990
29,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4840191,Yes,Corporate Bond,9.300,06/05/2024,NR,,64.490,
30,BARCLAYS BK PLC MEDIUM TERM NTS BOOK ENT,BCS4746118,,Corporate Bond,9.000,10/22/2021,NR,,40.547,
