Symbol,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Name,Last,Chg. %,Vol.,Time,Date
SLV,iShares Silver,21.21,22.42 - 22.85,- 15.56%,22.56,10.86 - 22.85,,93636734.0,12720000000.0,,33766345.0,4670000000.0,0.53,38.54%,599800000.0,Commodity,iShares Silver,22.83,+7.64%,93.65M,15:59:59,2020-07-27
GDX,VanEck Vectors Gold Miners,41.83,43.31 - 44.46,- 15.01%,43.43,16.18 - 44.46,0.12,57446682.0,18090000000.0,0.46%,32655095.0,5620000000.0,0.71,53.34%,432452500.0,Equity,VanEck Vectors Gold Miners,43.84,+4.81%,57.45M,15:59:59,2020-07-27
SPY,SPDR S&P 500,320.88,320.78 - 323.41,- 0.46%,321.63,218.26 - 339.08,4.03,48035785.0,285980000000.0,1.78%,93111912.0,167650000000.0,1.0,6.25%,893332116.0,Equity,SPDR S&P 500,323.22,+0.73%,48.04M,15:59:59,2020-07-27
XLF,Financial Select Sector SPDR,24.27,23.86 - 24.18,- 7.17%,24.16,17.49 - 31.38,0.49,43056897.0,17620000000.0,2.52%,74711399.0,16160000000.0,1.18,- 15.41%,731095427.0,Equity,Financial Select Sector SPDR,24.07,-0.82%,43.06M,15:59:59,2020-07-27
EEM,iShares MSCI Emerging Markets,43.14,43.31 - 43.84,- 26.56%,43.44,30.09 - 46.32,0.84,39098744.0,23630000000.0,2.07%,49646769.0,22120000000.0,0.94,1.64%,547650000.0,Equity,iShares MSCI Emerging Markets,43.81,+1.55%,39.10M,15:59:59,2020-07-27
IAU,iShares Gold,18.16,18.45 - 18.58,- 9.65%,18.47,13.42 - 18.58,,38974341.0,29300000000.0,,23441625.0,5750000000.0,0.04,34.02%,1613300000.0,Commodity,iShares Gold,18.51,+1.93%,38.97M,15:59:59,2020-07-27
UVXY,ProShares Ultra VIX Short-Term Futures,27.25,25.94 - 27.23,,26.67,10.4 - 135,,24847592.0,,,21627000.0,331930000.0,,14.59%,,Other,ProShares Ultra VIX Short-Term Futures,25.97,-4.70%,24.85M,15:59:59,2020-07-27
EWZ,iShares MSCI Brazil Capped,32.29,32.36 - 33.3,- 18.37%,32.62,20.14 - 48.48,1.38,23521627.0,5790000000.0,3.2%,29917286.0,3580000000.0,1.17,- 28.94%,179350000.0,Equity,iShares MSCI Brazil Capped,33.28,+3.07%,23.52M,15:59:59,2020-07-27
SPXS,Direxion Daily S&P 500 Bear 3X Shares,6.88,6.72 - 6.9,,6.84,6.5 - 28.85,,21362842.0,,,46605167.0,436140000.0,,- 59.22%,,Equity,Direxion Daily S&P 500 Bear 3X Shares,6.73,-2.18%,21.36M,15:59:59,2020-07-27
GLD,SPDR Gold Shares,178.7,181.53 - 182.83,19.32%,181.85,132.31 - 182.83,,20828052.0,74890000000.0,,11387765.0,50080000000.0,0.04,33.72%,419800000.0,Commodity,SPDR Gold Shares,182.23,+1.98%,20.83M,15:59:59,2020-07-27
XLE,Energy Select Sector SPDR,37.51,36.99 - 37.72,- 10.6%,37.46,22.88 - 61.8,1.86,18229665.0,10540000000.0,5.92%,28528696.0,13090000000.0,1.67,- 38.14%,281424200.0,Equity,Energy Select Sector SPDR,37.55,+0.11%,18.23M,15:59:59,2020-07-27
FXI,iShares China Large-Cap,42.05,41.66 - 42.06,- 3.92%,41.81,33.1 - 45.9,0.75,17283871.0,3460000000.0,2.67%,25105635.0,6790000000.0,0.88,- 0.43%,82200000.0,Equity,iShares China Large-Cap,41.96,-0.21%,17.28M,15:59:59,2020-07-27
TZA,Direxion Daily Small Cap Bear 3X Shares,19.5,18.84 - 19.76,- 138.08%,19.45,17.96 - 118.69,,17281880.0,695010000.0,2.56%,26016081.0,623380000.0,- 3.25,- 55.8%,35891573.0,Equity,Direxion Daily Small Cap Bear 3X Shares,18.85,-3.33%,17.28M,15:59:59,2020-07-27
TNA,Direxion Daily Small Cap Bull 3X Shares,28.77,28.42 - 29.76,,28.91,10.09 - 77.89,,16403372.0,,,27191172.0,736440000.0,,- 54.9%,,Equity,Direxion Daily Small Cap Bull 3X Shares,29.69,+3.20%,16.40M,15:59:59,2020-07-27
EFA,iShares MSCI EAFE,63.26,63.81 - 64.2,- 0.32%,63.87,45.73 - 70.42,1.7,16368245.0,47220000000.0,2.58%,29675155.0,61770000000.0,0.84,- 3.42%,746400000.0,Equity,iShares MSCI EAFE,64.09,+1.31%,16.37M,15:59:59,2020-07-27
SPXU,ProShares UltraPro Short S&P500,10.4,10.16 - 10.42,,10.34,9.83 - 43.68,,15455153.0,,,38613792.0,717210000.0,,- 59.28%,,Equity,ProShares UltraPro Short S&P500,10.17,-2.21%,15.45M,15:59:59,2020-07-27
GDXJ,VanEck Vectors Junior Gold Miners,59.16,61.37 - 63.31,,61.94,19.52 - 63.31,,14504689.0,,,9983080.0,5055000000.0,,53.38%,,Equity,VanEck Vectors Junior Gold Miners,62.58,+5.78%,14.50M,15:59:59,2020-07-27
IWM,iShares Russell 2000,146.08,145.39 - 147.69,6.42%,146.19,95.69 - 170.56,1.59,13311293.0,39410000000.0,1.39%,35563762.0,35680000000.0,1.25,- 7.07%,273100000.0,Equity,iShares Russell 2000,147.6,+1.04%,13.31M,15:59:59,2020-07-27
HYG,iShares iBoxx $ High Yield Corporate Bond,84.6,84.51 - 84.82,5.21%,84.73,67.52 - 88.53,5.0,12931726.0,29520000000.0,5.05%,27934191.0,20510000000.0,0.41,- 2.95%,348900000.0,,iShares iBoxx $ High Yield Corporate Bond,84.8,+0.24%,12.93M,15:59:59,2020-07-27
XLU,Utilities Select Sector SPDR,60.28,59.12 - 60.34,7.68%,60.3,43.44 - 71.1,1.51,11319316.0,11520000000.0,3.22%,17507978.0,6620000000.0,0.4,0.5%,190774160.0,Equity,Utilities Select Sector SPDR,59.55,-1.21%,11.32M,15:59:59,2020-07-27
VWO,Vanguard FTSE Emerging Markets,42.88,43 - 43.51,- 16.44%,43.15,29.95 - 45.92,0.63,11259094.0,59980000000.0,3.05%,13612501.0,37070000000.0,0.93,0.61%,1398726337.0,Equity,Vanguard FTSE Emerging Markets,43.48,+1.40%,11.26M,15:59:59,2020-07-27
QID,ProShares UltraShort QQQ,11.75,11.29 - 11.66,- 43.01%,11.58,10.61 - 33.94,,10833629.0,303080000.0,2.85%,10627035.0,823450000.0,- 1.72,- 59.12%,25794232.0,Equity,ProShares UltraShort QQQ,11.33,-3.57%,10.83M,15:59:59,2020-07-27
PSLV,Sprott Physical Silver,8.29,8.69 - 8.83,,8.8,4.34 - 8.83,,10378559.0,,,2624587.0,,,37.02%,,Commodity,Sprott Physical Silver,8.8,+6.15%,10.38M,15:59:59,2020-07-27
JDST,Direxion Daily Junior Gold Miners Bear 3X Shares,11.46,9.88 - 10.59,,10.4,"2.37 - 1,062.5",,10101204.0,,,3859100.0,104990000.0,,- 97.46%,,Equity,Direxion Daily Junior Gold Miners Bear 3X Shares,10.17,-11.26%,10.10M,15:59:59,2020-07-27
