Symbol,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Name,Last,Chg. %,Vol.,Time,Date
SPY,SPDR S&P 500,338.82,332.99 - 337.7,- 0.46%,333.56,218.26 - 358.66,4.03,90885865.0,301960000000.0,1.66%,70807605.0,167650000000.0,1.01,12.59%,885482116.0,Equity,SPDR S&P 500,335.84,-0.88%,90.93M,15:59:59,2020-09-17
XLF,Financial Select Sector SPDR,24.99,24.58 - 24.88,- 7.17%,24.65,17.49 - 31.38,0.49,47184227.0,17710000000.0,2.45%,58625949.0,16160000000.0,1.17,- 12.07%,715745427.0,Equity,Financial Select Sector SPDR,24.73,-1.04%,47.18M,15:59:59,2020-09-17
UVXY,ProShares Ultra VIX Short-Term Futures,20.06,19.27 - 21.1,,21.01,10.4 - 135,,47031258.0,,,36972550.0,331930000.0,,- 21.21%,,Other,ProShares Ultra VIX Short-Term Futures,19.45,-3.04%,47.03M,15:59:59,2020-09-17
SPXS,Direxion Daily S&P 500 Bear 3X Shares,5.7,5.75 - 5.99,,5.95,4.88 - 28.85,,40519539.0,,,36287464.0,436140000.0,,- 65.97%,,Equity,Direxion Daily S&P 500 Bear 3X Shares,5.85,+2.63%,40.52M,15:59:59,2020-09-17
EEM,iShares MSCI Emerging Markets,45.05,44.48 - 44.94,- 26.56%,44.51,30.09 - 46.32,0.84,38160238.0,23870000000.0,2.02%,41660294.0,22120000000.0,0.93,8.14%,539100000.0,Equity,iShares MSCI Emerging Markets,44.87,-0.40%,38.16M,15:59:59,2020-09-17
SLV,iShares Silver,25.23,24.51 - 25.24,- 15.56%,24.65,10.86 - 27.38,,28558116.0,15310000000.0,,52011390.0,4670000000.0,0.62,49.64%,618200000.0,Commodity,iShares Silver,25.23,0.00%,28.56M,15:59:59,2020-09-17
SPXU,ProShares UltraPro Short S&P500,8.6,8.69 - 9.05,,9.0,7.38 - 43.68,,27131401.0,,,30149242.0,717210000.0,,- 66.09%,,Equity,ProShares UltraPro Short S&P500,8.83,+2.67%,27.13M,15:59:59,2020-09-17
HYG,iShares iBoxx $ High Yield Corporate Bond,84.59,84.23 - 84.66,5.21%,84.31,67.52 - 88.53,5.0,25605225.0,30360000000.0,4.98%,23999408.0,20510000000.0,0.41,- 3.35%,356600000.0,,iShares iBoxx $ High Yield Corporate Bond,84.5,-0.11%,25.61M,15:59:59,2020-09-17
XLE,Energy Select Sector SPDR,33.94,33.07 - 34.02,- 10.6%,33.4,22.88 - 61.31,1.86,22350234.0,10180000000.0,6.08%,23601033.0,13090000000.0,1.67,- 43.85%,279574200.0,Equity,Energy Select Sector SPDR,33.99,+0.15%,22.35M,15:59:59,2020-09-17
IAU,iShares Gold,18.7,18.44 - 18.6,- 9.65%,18.49,13.8 - 19.75,,21391654.0,31270000000.0,,27271542.0,5750000000.0,0.07,30.22%,1697850000.0,Commodity,iShares Gold,18.59,-0.59%,21.39M,15:59:59,2020-09-17
