Symbol,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Name,Last,Chg. %,Vol.,Time,Date
SLV,iShares Silver,25.61,24.42 - 25.02,- 15.56%,24.87,10.86 - 27.38,,55176920.0,15860000000.0,,48909217.0,4670000000.0,0.63,59.56%,619100000.0,Commodity,iShares Silver,24.9,-2.77%,55.18M,15:59:59,2020-08-21
SPY,SPDR S&P 500,338.28,337.55 - 339.72,- 0.46%,337.92,218.26 - 339.72,4.03,54302019.0,299150000000.0,1.69%,79039808.0,167650000000.0,1.01,15.67%,884232116.0,Equity,SPDR S&P 500,339.48,+0.35%,54.30M,15:59:59,2020-08-21
XLF,Financial Select Sector SPDR,24.36,24.23 - 24.53,- 7.17%,24.32,17.49 - 31.38,0.49,34983447.0,17510000000.0,2.51%,69543680.0,16160000000.0,1.17,- 8.42%,724145427.0,Equity,Financial Select Sector SPDR,24.31,-0.21%,34.98M,15:59:59,2020-08-21
EEM,iShares MSCI Emerging Markets,44.06,43.79 - 44.3,- 26.56%,43.98,30.09 - 46.32,0.84,34357253.0,23750000000.0,2.03%,46489099.0,22120000000.0,0.92,10.37%,539100000.0,Equity,iShares MSCI Emerging Markets,44.28,+0.50%,34.36M,15:59:59,2020-08-21
UVXY,ProShares Ultra VIX Short-Term Futures,19.82,19.78 - 20.45,,20.32,10.4 - 135,,27399059.0,,,26585946.0,331930000.0,,- 31.89%,,Other,ProShares Ultra VIX Short-Term Futures,19.92,+0.50%,27.40M,15:59:59,2020-08-21
GDX,VanEck Vectors Gold Miners,41.97,40.44 - 41.3,- 15.01%,41.12,16.18 - 45.78,0.12,23908945.0,17950000000.0,0.45%,33209686.0,5620000000.0,0.75,46.24%,427702500.0,Equity,VanEck Vectors Gold Miners,40.89,-2.57%,23.91M,15:59:59,2020-08-21
EWZ,iShares MSCI Brazil Capped,29.92,29.25 - 29.66,- 18.37%,29.59,20.14 - 48.48,1.38,23897763.0,5370000000.0,3.45%,29385411.0,3580000000.0,1.11,- 28.71%,179350000.0,Equity,iShares MSCI Brazil Capped,29.65,-0.90%,23.90M,15:59:59,2020-08-21
IAU,iShares Gold,18.64,18.33 - 18.57,- 9.65%,18.51,13.8 - 19.75,,23871030.0,31520000000.0,,26635385.0,5750000000.0,0.08,29.81%,1691250000.0,Commodity,iShares Gold,18.48,-0.86%,23.83M,15:59:59,2020-08-21
IWM,iShares Russell 2000,155.76,153.6 - 155.72,6.42%,155.15,95.69 - 170.56,1.59,20271395.0,40360000000.0,1.3%,29582951.0,35680000000.0,1.26,3.58%,259100000.0,Equity,iShares Russell 2000,154.61,-0.74%,20.27M,15:59:59,2020-08-21
SPXS,Direxion Daily S&P 500 Bear 3X Shares,5.85,5.77 - 5.89,,5.86,5.77 - 28.85,,19781951.0,,,38932526.0,436140000.0,,- 68.02%,,Equity,Direxion Daily S&P 500 Bear 3X Shares,5.77,-1.37%,19.78M,15:59:59,2020-08-21
SPXU,ProShares UltraPro Short S&P500,8.84,8.72 - 8.89,,8.87,8.72 - 43.68,,18043408.0,,,33097383.0,717210000.0,,- 68.13%,,Equity,ProShares UltraPro Short S&P500,8.73,-1.24%,18.04M,15:59:59,2020-08-21
XLE,Energy Select Sector SPDR,36.26,35.69 - 36.19,- 10.6%,36.12,22.88 - 61.8,1.86,17340748.0,10200000000.0,6.12%,25873870.0,13090000000.0,1.68,- 35.79%,290874200.0,Equity,Energy Select Sector SPDR,36.03,-0.63%,17.34M,15:59:59,2020-08-21
FXI,iShares China Large-Cap,43.75,43.71 - 44.21,- 3.92%,43.77,33.1 - 45.9,0.75,17185715.0,3520000000.0,2.56%,22197117.0,6790000000.0,0.84,11.18%,80550000.0,Equity,iShares China Large-Cap,44.14,+0.89%,17.19M,15:59:59,2020-08-21
HYG,iShares iBoxx $ High Yield Corporate Bond,84.75,84.63 - 84.81,5.21%,84.75,67.52 - 88.53,5.0,16098511.0,30220000000.0,5%,26040511.0,20510000000.0,0.42,- 2.35%,356600000.0,,iShares iBoxx $ High Yield Corporate Bond,84.74,-0.01%,16.10M,15:59:59,2020-08-21
EFA,iShares MSCI EAFE,64.75,63.98 - 64.43,- 0.32%,64.01,45.73 - 70.42,1.7,15918646.0,48330000000.0,2.52%,25641763.0,61770000000.0,0.83,3.01%,746400000.0,Equity,iShares MSCI EAFE,64.42,-0.51%,15.52M,15:59:59,2020-08-21
TZA,Direxion Daily Small Cap Bear 3X Shares,15.88,15.9 - 16.53,- 138.08%,16.06,14.7 - 118.69,,13775872.0,610450000.0,3.14%,25659397.0,623380000.0,- 3.26,- 67.91%,38741573.0,Equity,Direxion Daily Small Cap Bear 3X Shares,16.21,+2.08%,13.55M,15:59:59,2020-08-21
TNA,Direxion Daily Small Cap Bull 3X Shares,34.64,33.23 - 34.59,,34.26,10.09 - 77.89,,14262593.0,,,23185741.0,736440000.0,,- 36.95%,,Equity,Direxion Daily Small Cap Bull 3X Shares,33.91,-2.11%,13.41M,15:59:59,2020-08-21
GLD,SPDR Gold Shares,183.5,180.47 - 182.81,20.46%,182.14,136.12 - 194.44,,12601328.0,78650000000.0,,14070871.0,67019999999.99999,0.08,29.44%,428600000.0,Commodity,SPDR Gold Shares,182.03,-0.80%,12.60M,15:59:59,2020-08-21
