,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Date
0,AAM S&P 500 Sector High Dividend,20.55,20.41 - 20.89,,20.57,15.21 - 27.71,,8895.0,,,8103.0,,,- 22.54%,,Equity,2020-07-14
0,AAM S&P EM Sector High Dividend,18.66,18.77 - 18.77,,18.77,13.76 - 23.08,,2.0,,,3425.0,,,- 16.67%,,Equity,2020-07-14
0,The Acquirers Fund,20.7,20.88 - 20.99,,20.88,17.19 - 27.79,,866.0,,,7128.0,,,- 19.42%,,Equity,2020-07-14
0,Ranger Equity Bear,4.91,4.85 - 4.97,,4.94,4.33 - 7.95,,618002.0,,,1297426.0,163390000.0,,- 23.28%,,Equity,2020-07-14
0,AdvisorShares Dorsey Wright Short,20.22,19.84 - 20.51,,20.25,15.5 - 45.92,,142543.0,,,316625.0,,,- 19.06%,,Equity,2020-07-14
0,AdvisorShares Pure Cannabis,10.71,10.51 - 10.94,,10.71,5.65 - 22.14,,48893.0,,,59140.0,,,- 49%,,Equity,2020-07-14
0,AdvisorShares Focused Equity,35.49,35.28 - 36.18,,35.28,25.72 - 39.54,,369.0,,,2881.0,,,0.55%,,Equity,2020-07-14
0,WCM/BNY Mellon Focused Growth ADR,54.96,54.54 - 55.29,,54.65,33.75 - 57.51,,10778.0,,,5708.0,23330000.0,,8.47%,,Equity,2020-07-14
0,Peritus High Yield,29.21,29 - 29.44,,29.35,24.02 - 34.8,,12980.0,,,27037.0,196980000.0,,- 15.65%,,,2020-07-14
0,Newfleet Multi-Sector Income,48.26,48.17 - 48.42,,48.42,42.72 - 49.12,,2779.0,,,4145.0,255550000.0,,- 0.31%,,,2020-07-14
0,AdvisorShares Vice ETF,22.91,22.89 - 23.24,,22.89,16.16 - 25.85,,960.0,,,2685.0,,,- 9.87%,,Equity,2020-07-14
