Symbol,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Name,Last,Chg. %,Vol.,Time,Date
SPDV,AAM S&P 500 Sector High Dividend,30.27,30.42 - 30.59,,30.49,19.93 - 32.37,1.04,5989.0,,3.45%,11717.0,,,45.11%,,Equity,,,,,,2021-07-01
EEMD,AAM S&P EM Sector High Dividend,23.11,23.07 - 23.25,,23.25,17.17 - 24.04,0.92,3957.0,,3.96%,1969.0,,,28.32%,,Equity,,,,,,2021-07-01
ZIG,The Acquirers Fund,26.87,27 - 27.1,,27.0,20.07 - 27.9,0.04,2703.0,,0.17%,5013.0,,,28.01%,,Equity,,,,,,2021-07-01
HDGE,Ranger Equity Bear,22.98,22.83 - 22.94,,22.88,4.28 - 50.53,0.12,28280.0,,0.48%,39799.0,163390000.0,,- 52.62%,,Equity,AdvisorShares Ranger Equity Bear,22.86,-0.52%,28.28K,15:59:59,2021-07-01
DWSH,AdvisorShares Dorsey Wright Short,8.54,8.55 - 8.56,,8.49,8.45 - 20.82,,9919.0,,,25746.0,,,- 55.89%,,Equity,,,,,,2021-07-01
YOLO,AdvisorShares Pure Cannabis,21.09,21 - 21.39,,21.07,10.1 - 31.87,0.15,134965.0,,0.59%,195579.0,,,106.76%,,Equity,,,,,,2021-07-01
CWS,AdvisorShares Focused Equity,46.71,46.8 - 47.17,,46.8,35.28 - 49.37,0.12,3069.0,,0.27%,3516.0,,,33.84%,,Equity,,,,,,2021-07-01
AADR,WCM/BNY Mellon Focused Growth ADR,66.48,66.14 - 66.14,,66.48,52.85 - 67.93,0.07,564.0,,0.11%,4016.0,23330000.0,,28.19%,,Equity,,,,,,2021-07-01
HYLD,Peritus High Yield,32.53,32.47 - 32.56,,32.55,28.65 - 32.8,2.3,31525.0,,7.08%,20849.0,196980000.0,,10.83%,,,High Yield,32.47,-0.18%,31.53K,15:59:59,2021-07-01
MINC,Newfleet Multi-Sector Income,48.83,48.74 - 48.98,,48.86,47.99 - 52.42,0.9,1699.0,,1.85%,15155.0,255550000.0,,1.37%,,,AdvisorShares Newfleet Multi-Sector Income,48.86,+0.07%,1.70K,15:59:59,2021-07-01
ACT,AdvisorShares Vice ETF,36.08,35.96 - 36.5,,36.5,22.79 - 36.86,0.37,450.0,,1.02%,2170.0,,,58.45%,,Equity,,,,,,2021-07-01
FLRT,AdvisorShares Pacific Asset Enhanced Fl Rate,48.93,48.94 - 48.94,,48.94,46.49 - 49.3,1.56,9.0,,3.18%,2904.0,27380000.0,,5.02%,,Other,AdvisorShares Pacific Asset Enhanced Fl Rate,48.94,+0.02%,0.01K,15:59:59,2021-07-01
DBLV,AdvisorShares Wilshire Buyback,95.41,95.82 - 96.17,,95.82,65.24 - 98.21,1.02,2864.0,,1.11%,950.0,152610000.0,,43.88%,,Equity,AdvisorShares Wilshire Buyback,95.84,+0.45%,2.86K,15:59:59,2021-07-01
HOLD,AdvisorShares Sage Core Reserves,98.68,98.65 - 98.69,,98.65,98.46 - 99.08,0.84,960.0,,0.85%,1082.0,86990000.0,,0.33%,,,,,,,,2021-07-01
FWDB,Madrona Global Bond,25.96,25.94 - 25.99,,25.98,25.45 - 26.45,0.49,693.0,,1.90%,850.0,19080000.0,,1.53%,,,AdvisorShares FolioBeyond Smart Core Bond,25.94,-0.09%,0.69K,15:59:59,2021-07-01
DWMC,AdvisorShares Dorsey Wright Micro-Cap,37.89,37.5 - 37.89,,37.5,20.55 - 41.61,,,,,2288.0,,,81.38%,,Equity,,,,,,2021-07-01
SCAP,AdvisorShares Cornerstone Small Cap,26.86,27.09 - 27.09,,27.09,21.79 - 38.65,,,,,2.0,3370000.0,,0.02%,,Equity,,,,,,2021-07-01
VEGA,Star Global Buy-Write,39.84,39.73 - 39.96,,39.96,31.67 - 39.96,0.1,4400.0,,0.27%,9135.0,17480000.0,,23.53%,,Other,AdvisorShares STAR Global Buy-Write,39.75,-0.23%,4.40K,15:59:59,2021-07-01
FNG,AdvisorShares New Tech and Media,10.27,10.39 - 10.45,,10.6,9.94 - 16.69,,,,,10845.0,,,0.38%,,Equity,,,,,,2021-07-01
BKCH,AdvisorShares Sabretooth Digital Ledger,25.69,24.9 - 25.56,,25.52,24.45 - 28.96,,,,,1007.0,,,0%,,Equity,,,,,,2021-07-01
AFIF,Anfield Universal Fixed Income,9.723,9.69 - 9.72,,9.7,9.51 - 10.77,0.13,19058.0,,1.38%,41085.0,,,- 0.89%,,,,,,,,2021-07-01
GLIF,AGFiQ Global Infrastructure,26.92,26.87 - 27.09,,26.87,22.19 - 27.94,1.17,889.0,,4.75%,1381.0,,,15.44%,,Equity,,,,,,2021-07-01
USHG,AGFiQ Dynamic Hedged U.S. Equity,31.4,31.34 - 31.51,,31.34,27.01 - 32.48,0.36,,,1.14%,961.0,,,14.46%,,Equity,,,,,,2021-07-01
VMOT,Alpha Architect Value Momentum Trend,27.54,27.5 - 27.74,,27.74,22.21 - 29.4,26.05,8965.0,,95.88%,3080.0,,,23.66%,,Equity,,,,,,2021-07-01
QMOM,MomentumShares U.S. Quantitative Momentum,51.36,51.02 - 51.71,,51.53,36.28 - 68.19,0.04,10356.0,,0.08%,12375.0,,,44.35%,,Equity,,,,,,2021-07-01
IMOM,MomentumShares International Quantitative Momentum,34.69,34.46 - 34.6,,34.6,26.49 - 37.96,0.08,6770.0,,0.24%,14871.0,,,31.85%,,Equity,,,,,,2021-07-01
FRDM,Alpha Architect Freedom 100 Emerging Markets,34.29,34.08 - 34.23,,34.11,24.2 - 35.05,0.53,5309.0,,1.54%,15840.0,,,44.62%,,Equity,,,,,,2021-07-01
AMLP,ALPS Alerian MLP,36.41,36.22 - 36.98,13%,36.83,18.93 - 38.92,2.89,3256948.0,3590000000.0,8.09%,2586193.0,8039999999.999999,1.95,47.53%,151282420.0,Equity,Alerian MLP,36.86,+1.24%,3.26M,15:59:59,2021-07-01
SDOG,ALPS Sector Dividend Dogs,52.95,53.13 - 53.35,,53.26,34.9 - 56.2,2.09,25701.0,,3.98%,53037.0,2063000000.0000002,,45.67%,,Equity,ALPS Sector Dividend Dogs,53.25,+0.57%,25.70K,15:59:59,2021-07-01
IDOG,ALPS Internatl Sector Dividends Dogs,28.04,27.99 - 28.23,,28.11,20.64 - 29.56,1.2,14100.0,,4.26%,20826.0,167900000.0,,26.19%,,Equity,ALPS International Sector Dividend Dogs,28.13,+0.32%,14.10K,15:59:59,2021-07-01
RIGS,ALPS RiverFront Strategic Income,24.83,24.8 - 24.85,,24.8,24.18 - 24.95,0.77,7344.0,,3.11%,34419.0,330550000.0,,1.02%,,,ALPS RiverFront Strategic Income,24.83,0.00%,7.34K,15:59:59,2021-07-01
SBIO,ALPS Medical Breakthroughs,48.92,48.78 - 49.93,,49.14,37.2 - 64.04,,43454.0,,,23791.0,100500000.0,,16.95%,,Equity,ALPS Medical Breakthroughs,49.93,+2.06%,43.45K,15:59:59,2021-07-01
SGDJ,ALPS Sprott Junior Gold Miners,44.11,44.11 - 44.79,,44.69,37.7 - 52.98,0.97,15813.0,,2.24%,39486.0,58690000.0,,15.8%,,Equity,ALPS Sprott Junior Gold Miners,44.34,+0.52%,15.81K,15:59:59,2021-07-01
SGDM,ALPS Sprott Gold Miners,28.28,28.13 - 28.63,,28.63,25.09 - 39.5,0.09,28489.0,,0.34%,33454.0,224230000.0,,- 10.51%,,Equity,ALPS Sprott Gold Miners,28.31,+0.11%,28.49K,15:59:59,2021-07-01
ACES,ALPS Clean Energy,75.82,74.59 - 76.13,,76.13,39.91 - 101.72,0.52,37576.0,,0.67%,97547.0,,,93.91%,,Equity,,,,,,2021-07-01
DTEC,ALPS Disruptive Technologies,48.59,48.46 - 48.71,,48.47,34.97 - 51.55,0.14,6554.0,,0.30%,15534.0,,,40.43%,,Equity,,,,,,2021-07-01
ENFR,ALPS Alerian Energy Infrastructure,20.12,20.16 - 20.33,,20.3,12 - 21.2,1.13,21451.0,,5.69%,25749.0,29330000.0,,44.54%,,Equity,Alerian Energy Infrastructure,20.28,+0.80%,21.45K,15:59:59,2021-07-01
