Symbol,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Name,Last,Chg. %,Vol.,Time,Date
XLF,Financial Select Sector SPDR,24.59,24.29 - 24.5,- 7.17%,24.31,17.49 - 31.38,0.49,45554176.0,18080000000.0,2.49%,69626089.0,16160000000.0,1.17,- 7.14%,734845427.0,Equity,Financial Select Sector SPDR,24.36,-0.94%,45.55M,15:59:59,2020-08-20
SLV,iShares Silver,24.88,24.88 - 25.64,- 15.56%,24.93,10.86 - 27.38,,43658134.0,16149999999.999998,,48631234.0,4670000000.0,0.63,55.02%,623900000.0,Commodity,iShares Silver,25.61,+2.93%,43.66M,15:59:59,2020-08-20
SPY,SPDR S&P 500,337.23,335.22 - 338.8,- 0.46%,335.36,218.26 - 339.6,4.03,41560388.0,299590000000.0,1.69%,79489896.0,167650000000.0,1.01,16.25%,888782116.0,Equity,SPDR S&P 500,338.28,+0.31%,41.57M,15:59:59,2020-08-20
EWZ,iShares MSCI Brazil Capped,29.85,28.76 - 30.08,- 18.37%,28.94,20.14 - 48.48,1.38,41301078.0,5510000000.0,3.36%,29481427.0,3580000000.0,1.11,- 27%,179350000.0,Equity,iShares MSCI Brazil Capped,29.92,+0.23%,41.30M,15:59:59,2020-08-20
EEM,iShares MSCI Emerging Markets,44.2,43.37 - 44.07,- 26.56%,43.46,30.09 - 46.32,0.84,38399252.0,24120000000.0,2%,46632556.0,22120000000.0,0.93,11.78%,539100000.0,Equity,iShares MSCI Emerging Markets,44.06,-0.32%,38.40M,15:59:59,2020-08-20
UVXY,ProShares Ultra VIX Short-Term Futures,20.14,19.67 - 21.42,,21.29,10.4 - 135,,32489181.0,,,26379744.0,331930000.0,,- 36.06%,,Other,ProShares Ultra VIX Short-Term Futures,19.82,-1.59%,32.50M,15:59:59,2020-08-20
GDX,VanEck Vectors Gold Miners,41.01,40.79 - 42.1,- 15.01%,41.05,16.18 - 45.78,0.12,29495448.0,18250000000.0,0.45%,33303024.0,5620000000.0,0.75,42.15%,427702500.0,Equity,VanEck Vectors Gold Miners,41.97,+2.34%,29.50M,15:59:59,2020-08-20
IAU,iShares Gold,18.53,18.38 - 18.66,- 9.65%,18.41,13.8 - 19.75,,28080115.0,32240000000.000004,,26620053.0,5750000000.0,0.08,28.5%,1686150000.0,Commodity,iShares Gold,18.64,+0.59%,28.08M,15:59:59,2020-08-20
SPXU,ProShares UltraPro Short S&P500,8.92,8.79 - 9.08,,9.08,8.73 - 43.68,,22949681.0,,,33418170.0,717210000.0,,- 68.59%,,Equity,ProShares UltraPro Short S&P500,8.84,-0.90%,22.95M,15:59:59,2020-08-20
SPXS,Direxion Daily S&P 500 Bear 3X Shares,5.92,5.82 - 6.01,,6.01,5.78 - 28.85,,20267445.0,,,39409465.0,436140000.0,,- 68.46%,,Equity,Direxion Daily S&P 500 Bear 3X Shares,5.85,-1.18%,20.27M,15:59:59,2020-08-20
EFA,iShares MSCI EAFE,64.96,64.29 - 64.86,- 0.32%,64.35,45.73 - 70.42,1.7,19825692.0,48700000000.0,2.5%,25796761.0,61770000000.0,0.83,4.07%,746400000.0,Equity,iShares MSCI EAFE,64.75,-0.32%,19.83M,15:59:59,2020-08-20
HYG,iShares iBoxx $ High Yield Corporate Bond,84.47,84.32 - 84.75,5.21%,84.33,67.52 - 88.53,5.0,19770965.0,31070000000.0,5.01%,26124063.0,20510000000.0,0.42,- 2.26%,366800000.0,,iShares iBoxx $ High Yield Corporate Bond,84.75,+0.33%,19.88M,15:59:59,2020-08-20
XLE,Energy Select Sector SPDR,37.06,36.25 - 36.75,- 10.6%,36.51,22.88 - 61.8,1.86,19038252.0,10900000000.0,5.92%,26032189.0,13090000000.0,1.69,- 33.95%,290874200.0,Equity,Energy Select Sector SPDR,36.26,-2.16%,19.04M,15:59:59,2020-08-20
FXI,iShares China Large-Cap,43.55,43.13 - 43.76,- 3.92%,43.24,33.1 - 45.9,0.75,17724150.0,3560000000.0,2.55%,22417741.0,6790000000.0,0.85,11.64%,81000000.0,Equity,iShares China Large-Cap,43.75,+0.46%,17.72M,15:59:59,2020-08-20
GLD,SPDR Gold Shares,182.24,180.93 - 183.71,20.46%,181.19,136.12 - 194.44,,16548361.0,80390000000.0,,14036557.0,67019999999.99999,0.09,28.15%,427200000.0,Commodity,SPDR Gold Shares,183.5,+0.69%,16.55M,15:59:59,2020-08-20
IWM,iShares Russell 2000,156.4,154.54 - 156.49,6.42%,154.8,95.69 - 170.56,1.59,15345957.0,41080000000.0,1.3%,29784827.0,35680000000.0,1.26,4.86%,262700000.0,Equity,iShares Russell 2000,155.76,-0.41%,15.35M,15:59:59,2020-08-20
XLU,Utilities Select Sector SPDR,59.85,59.16 - 59.91,7.68%,59.61,43.44 - 71.1,1.51,12926331.0,11670000000.0,3.24%,16258342.0,6620000000.0,0.39,- 2.95%,197824160.0,Equity,Utilities Select Sector SPDR,59.32,-0.89%,12.93M,15:59:59,2020-08-20
DUST,Direxion Daily Gold Miners Bear 3X Shares,18.1,17.14 - 18.29,,18.05,2.74 - 445,,11757361.0,,,6587651.0,248970000.0,,- 89.93%,,Equity,Direxion Daily Gold Miners Bear 3X Shares,17.26,-4.64%,11.76M,15:59:59,2020-08-20
LQD,iShares iBoxx $ Investment Grade Corporate Bond,135.72,136.02 - 136.35,6.6%,136.24,104.95 - 139.38,4.04,12065251.0,56910000000.0,2.91%,12250883.0,23700000000.0,0.2,5.89%,418200000.0,,iShares iBoxx $ Investment Grade Corporate Bond,136.2,+0.35%,12.07M,15:59:59,2020-08-20
TZA,Direxion Daily Small Cap Bear 3X Shares,15.68,15.66 - 16.24,- 138.08%,16.15,14.7 - 118.69,,11738282.0,607080000.0,3.18%,25769918.0,623380000.0,- 3.27,- 69.11%,38891573.0,Equity,Direxion Daily Small Cap Bear 3X Shares,15.88,+1.28%,11.74M,15:59:59,2020-08-20
XLI,Industrial Select Sector SPDR,76.55,75.71 - 76.32,16%,75.95,47.71 - 85.33,0.95,10529098.0,11080000000.0,1.98%,12224597.0,8840000000.0,1.17,2.67%,144376000.0,Equity,Industrial Select Sector SPDR,76.14,-0.54%,10.53M,15:59:59,2020-08-20
XLP,Consumer Staples Select Sector SPDR,64.27,63.79 - 64.22,17.79%,63.9,47.66 - 64.95,1.53,10178463.0,14020000000.0,2.5%,9447252.0,8230000000.0,0.58,6.85%,217421809.0,Equity,Consumer Staples Select Sector SPDR,64.14,-0.20%,10.18M,15:59:59,2020-08-20
UCO,ProShares Ultra Bloomberg Crude Oil,33.74,31.81 - 33.54,,32.35,11 - 553.25,,9623723.0,,,9828835.0,798560000.0,,- 92.29%,,Commodity,ProShares Ultra Bloomberg Crude Oil,33.42,-0.95%,9.62M,15:59:59,2020-08-20
TNA,Direxion Daily Small Cap Bull 3X Shares,35.11,33.87 - 35.15,,34.03,10.09 - 77.89,,8745163.0,,,23516652.0,736440000.0,,- 34.56%,,Equity,Direxion Daily Small Cap Bull 3X Shares,34.64,-1.34%,8.74M,15:59:59,2020-08-20
JDST,Direxion Daily Junior Gold Miners Bear 3X Shares,11.02,10.52 - 11.22,,11.1,"2.37 - 1,062.5",,8607713.0,,,5668444.0,104990000.0,,- 97.05%,,Equity,Direxion Daily Junior Gold Miners Bear 3X Shares,10.66,-3.27%,8.61M,15:59:59,2020-08-20
IEMG,iShares Core MSCI Emerging Markets,52.87,51.84 - 52.64,,51.92,35.65 - 55.45,,8319949.0,,,13232055.0,21297000000.0,,11.16%,,Equity,iShares Core MSCI Emerging Markets,52.64,-0.43%,8.32M,15:59:59,2020-08-20
VWO,Vanguard FTSE Emerging Markets,43.81,43.09 - 43.73,- 16.44%,43.16,29.95 - 45.92,0.63,8194269.0,61960000000.0,2.95%,11849232.0,37070000000.0,0.91,9.69%,1398045918.0,Equity,Vanguard FTSE Emerging Markets,43.69,-0.27%,8.19M,15:59:59,2020-08-20
QID,ProShares UltraShort QQQ,9.97,9.65 - 10.05,- 43.01%,10.03,9.65 - 32.8,,7792828.0,273710000.0,3.41%,10858140.0,823450000.0,- 1.72,- 67.86%,27844232.0,Equity,ProShares UltraShort QQQ,9.69,-2.81%,7.79M,15:59:59,2020-08-20
EWG,iShares MSCI Germany,29.87,29.47 - 29.82,- 3.48%,29.48,17.5 - 30.26,0.63,7543389.0,2660000000.0,0.93%,5769158.0,5960000000.0,1.05,16.18%,88800000.0,Equity,iShares MSCI Germany,29.77,-0.32%,7.54M,15:59:59,2020-08-20
KRE,SPDR S&P Regional Banking,38.93,37.9 - 38.55,- 1.59%,38.36,27.26 - 59.38,0.65,7424452.0,1270000000.0,3.58%,10915246.0,2330000000.0,1.5,- 21.81%,33352585.0,Equity,SPDR S&P Regional Banking,38.07,-2.21%,7.42M,15:59:59,2020-08-20
GDXJ,VanEck Vectors Junior Gold Miners,57.88,57.41 - 59.21,,57.79,19.52 - 65.94,,7186226.0,,,9803928.0,5055000000.0,,44.48%,,Equity,VanEck Vectors Junior Gold Miners,58.99,+1.92%,7.19M,15:59:59,2020-08-20
VEA,Vanguard FTSE Developed Markets,41.75,41.27 - 41.68,,41.32,28.46 - 44.67,,6993807.0,,,10878312.0,42995000000.0,,5.59%,,Equity,Vanguard FTSE Developed Markets,41.62,-0.31%,6.99M,15:59:59,2020-08-20
