Symbol,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Name,Last,Chg. %,Vol.,Time,Date
SPDV,AAM S&P 500 Sector High Dividend,29.48,29.17 - 29.43,,29.43,17.88 - 30,1.02,9983.0,,3.47%,8560.0,,,47.36%,,Equity,,,,,,2021-04-13
EEMD,AAM S&P EM Sector High Dividend,22.58,22.68 - 22.74,,22.68,15.77 - 23.11,0.89,326.0,,3.87%,2362.0,,,36.91%,,Equity,,,,,,2021-04-13
ZIG,The Acquirers Fund,26.01,25.92 - 26.01,,25.98,19 - 26.05,0.04,5228.0,,0.17%,7626.0,,,23.41%,,Equity,,,,,,2021-04-13
HDGE,Ranger Equity Bear,24.69,24.58 - 24.73,,24.73,2.58 - 26.49,0.12,13298.0,,0.47%,204603.0,163390000.0,,281.9%,,Equity,AdvisorShares Ranger Equity Bear,24.59,-0.41%,13.30K,15:59:59,2021-04-13
DWSH,AdvisorShares Dorsey Wright Short,9.17,9.1 - 9.17,,9.17,9.08 - 32.46,,15010.0,,,59735.0,,,- 67.98%,,Equity,,,,,,2021-04-13
YOLO,AdvisorShares Pure Cannabis,21.94,21.51 - 22.26,,21.51,7.56 - 31.87,0.15,286296.0,,0.59%,656534.0,,,181.28%,,Equity,,,,,,2021-04-13
CWS,AdvisorShares Focused Equity,45.94,45.85 - 46.16,,45.94,31.25 - 46.16,0.12,22498.0,,0.27%,3455.0,,,39.64%,,Equity,,,,,,2021-04-13
AADR,WCM/BNY Mellon Focused Growth ADR,62.13,62.44 - 63.06,,62.44,43.09 - 67.24,0.07,36752.0,,0.11%,5053.0,23330000.0,,43.11%,,Equity,AdvisorShares Dorsey Wright ADR,63.02,+1.43%,36.75K,15:59:59,2021-04-13
HYLD,Peritus High Yield,32.49,32.29 - 32.49,,32.49,25.75 - 32.64,2.38,30913.0,,7.33%,27362.0,196980000.0,,17.38%,,,High Yield,32.41,-0.25%,30.91K,15:59:59,2021-04-13
MINC,Newfleet Multi-Sector Income,48.82,48.76 - 48.84,,48.76,46.3 - 52.42,1.16,8548.0,,2.37%,6166.0,255550000.0,,6.05%,,,AdvisorShares Newfleet Multi-Sector Income,48.81,-0.01%,8.55K,15:59:59,2021-04-13
ACT,AdvisorShares Vice ETF,27.27,27.04 - 27.16,,27.16,20.37 - 28.16,,,,,572.0,,,31.76%,,Equity,,,,,,2021-04-13
FLRT,AdvisorShares Pacific Asset Enhanced Fl Rate,48.98,49.11 - 49.12,,49.12,44.75 - 49.3,1.62,222.0,,3.31%,1476.0,27380000.0,,10.04%,,Other,AdvisorShares Pacific Asset Enhanced Fl Rate,49.11,+0.26%,0.22K,15:59:59,2021-04-13
DBLV,AdvisorShares Wilshire Buyback,91.88,91.53 - 91.53,,91.53,59.51 - 91.88,1.02,13.0,,1.12%,1248.0,152610000.0,,50.48%,,Equity,AdvisorShares Wilshire Buyback,91.53,-0.38%,0.01K,15:59:59,2021-04-13
HOLD,AdvisorShares Sage Core Reserves,98.72,98.71 - 98.71,,98.71,97.21 - 99.75,1.36,1.0,,1.37%,556.0,86990000.0,,2.31%,,,,,,,,2021-04-13
FWDB,Madrona Global Bond,25.85,25.88 - 25.88,,25.88,25.12 - 26.45,0.46,1914.0,,1.80%,1660.0,19080000.0,,0.62%,,,AdvisorShares FolioBeyond Smart Core Bond,25.88,+0.12%,1.91K,15:59:59,2021-04-13
DWMC,AdvisorShares Dorsey Wright Micro-Cap,35.46,35 - 35.37,,35.26,16.85 - 41.61,,4669.0,,,6590.0,,,107.13%,,Equity,,,,,,2021-04-13
SCAP,AdvisorShares Cornerstone Small Cap,26.86,27.09 - 27.09,,27.09,21.79 - 38.65,,,,,2.0,3370000.0,,0.02%,,Equity,,,,,,2021-04-13
VEGA,Star Global Buy-Write,38.66,38.73 - 38.81,,38.73,29.21 - 38.81,0.1,521.0,,0.27%,812.0,17480000.0,,29.91%,,Other,AdvisorShares STAR Global Buy-Write,38.81,+0.39%,0.52K,15:59:59,2021-04-13
FNG,AdvisorShares New Tech and Media,10.27,10.39 - 10.45,,10.6,9.94 - 16.69,,,,,10845.0,,,0.38%,,Equity,,,,,,2021-04-13
BKCH,AdvisorShares Sabretooth Digital Ledger,25.69,24.9 - 25.56,,25.52,24.45 - 28.96,,,,,1007.0,,,0%,,Equity,,,,,,2021-04-13
AFIF,Anfield Universal Fixed Income,9.72,9.71 - 9.74,,9.71,9.29 - 10.77,0.31,26622.0,,3.18%,76194.0,,,- 1.41%,,,,,,,,2021-04-13
GLIF,AGFiQ Global Infrastructure,25.55,25.66 - 25.74,,25.66,22.09 - 25.74,1.17,1031.0,,4.75%,1152.0,,,10.08%,,Equity,,,,,,2021-04-13
USHG,AGFiQ Dynamic Hedged U.S. Equity,31.4,31.34 - 31.51,,31.34,25.11 - 32.48,0.36,,,1.14%,3773.0,,,23.09%,,Equity,,,,,,2021-04-13
VMOT,Alpha Architect Value Momentum Trend,27.64,27.86 - 28.02,,27.86,20.47 - 29.4,26.05,5014.0,,95.88%,5121.0,,,32.38%,,Equity,,,,,,2021-04-13
QMOM,MomentumShares U.S. Quantitative Momentum,53.33,53.62 - 55.13,,53.73,27.61 - 68.19,0.04,6335.0,,0.08%,26195.0,,,90.36%,,Equity,,,,,,2021-04-13
IMOM,MomentumShares International Quantitative Momentum,34.71,35.07 - 35.35,,35.07,21.45 - 37.96,0.2,3928.0,,0.61%,14716.0,,,57.77%,,Equity,,,,,,2021-04-13
FRDM,Alpha Architect Freedom 100 Emerging Markets,34.08,34.1 - 34.25,,34.17,20.01 - 35.05,0.53,25017.0,,1.54%,15514.0,,,67.59%,,Equity,,,,,,2021-04-13
AMLP,ALPS Alerian MLP,30.93,30.57 - 31.03,13%,30.89,4.85 - 32.67,3.84,1855395.0,3590000000.0,12.39%,2824539.0,8039999999.999999,1.95,60.26%,151282420.0,Equity,Alerian MLP,30.94,+0.03%,1.86M,15:59:59,2021-04-13
SDOG,ALPS Sector Dividend Dogs,52.15,51.59 - 52,,51.95,31.15 - 52.2,2.09,50970.0,,4.04%,54931.0,2063000000.0000002,,48.91%,,Equity,ALPS Sector Dividend Dogs,51.89,-0.49%,50.97K,15:59:59,2021-04-13
IDOG,ALPS Internatl Sector Dividends Dogs,27.74,27.65 - 27.82,,27.65,19.39 - 28.09,0.78,11052.0,,2.80%,27351.0,167900000.0,,34.59%,,Equity,ALPS International Sector Dividend Dogs,27.76,+0.07%,11.05K,15:59:59,2021-04-13
RIGS,ALPS RiverFront Strategic Income,24.69,24.74 - 24.85,,24.76,22.75 - 24.86,0.89,27321.0,,3.61%,43386.0,330550000.0,,4.49%,,,ALPS RiverFront Strategic Income,24.84,+0.61%,27.32K,15:59:59,2021-04-13
SBIO,ALPS Medical Breakthroughs,46.53,46.13 - 47.22,,46.52,34.28 - 64.04,,57106.0,,,39195.0,100500000.0,,35.42%,,Equity,ALPS Medical Breakthroughs,47.1,+1.23%,57.11K,15:59:59,2021-04-13
SGDJ,ALPS Sprott Junior Gold Miners,44.02,44.56 - 45.86,,44.72,27.25 - 52.98,0.97,24884.0,,2.24%,36204.0,58690000.0,,63.28%,,Equity,ALPS Sprott Junior Gold Miners,45.73,+3.88%,24.88K,15:59:59,2021-04-13
SGDM,ALPS Sprott Gold Miners,28.33,28.62 - 29.1,,28.62,25.08 - 39.41,0.09,56907.0,,0.34%,50776.0,224230000.0,,16.3%,,Equity,ALPS Sprott Gold Miners,28.87,+1.91%,56.91K,15:59:59,2021-04-13
ACES,ALPS Clean Energy,74.82,73.85 - 75.44,,74.6,29.95 - 101.72,0.45,70234.0,,0.55%,176808.0,,,139.12%,,Equity,,,,,,2021-04-13
DTEC,ALPS Disruptive Technologies,46.8,46.87 - 47.29,,46.87,27.78 - 51.55,0.14,16402.0,,0.30%,28414.0,,,66.23%,,Equity,,,,,,2021-04-13
ENFR,ALPS Alerian Energy Infrastructure,17.31,17.21 - 17.4,,17.4,11.23 - 17.89,1.46,17167.0,,8.24%,29491.0,29330000.0,,49.61%,,Equity,Alerian Energy Infrastructure,17.36,+0.28%,17.17K,15:59:59,2021-04-13
EDOG,ALPS Emerging Sector Dividend Dogs,23.4,23.33 - 23.55,,23.33,15.29 - 24.04,1.29,10106.0,,5.47%,3532.0,21420000.0,,46.85%,,Equity,ALPS Emerging Sector Dividend Dogs,23.46,+0.24%,10.11K,15:59:59,2021-04-13
