Symbol,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Name,Last,Chg. %,Vol.,Time,Date
SPY,SPDR S&P 500,326.52,327.73 - 329.62,- 0.46%,328.32,218.26 - 339.08,4.03,51927355.0,291130000000.0,1.75%,89026791.0,167650000000.0,1.01,11.58%,891532116.0,Equity,SPDR S&P 500,328.79,+0.70%,51.93M,15:59:59,2020-08-03
XLF,Financial Select Sector SPDR,24.03,23.96 - 24.29,- 7.17%,24.13,17.49 - 31.38,0.49,42980482.0,17190000000.0,2.54%,73674001.0,16160000000.0,1.18,- 12.93%,715095427.0,Equity,Financial Select Sector SPDR,24.1,+0.29%,42.98M,15:59:59,2020-08-03
SLV,iShares Silver,22.65,22.38 - 22.78,- 15.56%,22.59,10.86 - 23.25,,40728620.0,13910000000.0,,37226314.0,4670000000.0,0.56,49.11%,614300000.0,Commodity,iShares Silver,22.74,+0.40%,40.73M,15:59:59,2020-08-03
EEM,iShares MSCI Emerging Markets,43.29,43.41 - 43.69,- 26.56%,43.45,30.09 - 46.32,0.84,30507526.0,23710000000.0,2.06%,49083971.0,22120000000.0,0.94,7.4%,547650000.0,Equity,iShares MSCI Emerging Markets,43.59,+0.69%,30.51M,15:59:59,2020-08-03
GDX,VanEck Vectors Gold Miners,42.94,41.77 - 42.9,- 15.01%,42.6,16.18 - 44.44,0.12,26206229.0,18370000000.0,0.44%,32465898.0,5620000000.0,0.72,54.63%,427702500.0,Equity,VanEck Vectors Gold Miners,42.54,-0.93%,26.21M,15:59:59,2020-08-03
EWZ,iShares MSCI Brazil Capped,32.54,31.55 - 32.09,- 18.37%,31.95,20.14 - 48.48,1.38,23757770.0,5840000000.0,3.17%,29759266.0,3580000000.0,1.17,- 25.91%,179350000.0,Equity,iShares MSCI Brazil Capped,31.87,-2.06%,23.76M,15:59:59,2020-08-03
EFA,iShares MSCI EAFE,62.05,62.54 - 63.27,- 0.32%,62.69,45.73 - 70.42,1.7,23609711.0,46310000000.0,2.63%,28754747.0,61770000000.0,0.84,- 2.59%,746400000.0,Equity,iShares MSCI EAFE,63.26,+1.95%,23.61M,15:59:59,2020-08-03
IAU,iShares Gold,18.86,18.71 - 18.88,- 9.65%,18.81,13.8 - 18.91,,22725302.0,31090000000.0,,24518736.0,5750000000.0,0.05,36.77%,1648600000.0,Commodity,iShares Gold,18.85,-0.05%,22.73M,15:59:59,2020-08-03
TZA,Direxion Daily Small Cap Bear 3X Shares,18.91,17.89 - 18.95,- 138.08%,18.55,17.89 - 118.69,,22403752.0,643730000.0,2.64%,26217088.0,623380000.0,- 3.25,- 60.77%,35041573.0,Equity,Direxion Daily Small Cap Bear 3X Shares,17.93,-5.18%,22.40M,15:59:59,2020-08-03
UVXY,ProShares Ultra VIX Short-Term Futures,25.05,24.41 - 25.26,,24.67,10.4 - 135,,21910396.0,,,23200080.0,331930000.0,,- 18.14%,,Other,ProShares Ultra VIX Short-Term Futures,24.85,-0.80%,21.91M,15:59:59,2020-08-03
XLE,Energy Select Sector SPDR,36.03,35.72 - 36.36,- 10.6%,36.02,22.88 - 61.8,1.86,21102856.0,10280000000.0,6.16%,27728411.0,13090000000.0,1.65,- 38.56%,289174200.0,Equity,Energy Select Sector SPDR,36.16,+0.36%,21.10M,15:59:59,2020-08-03
