Symbol,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Name,Last,Chg. %,Vol.,Time,Date
SPDV,AAM S&P 500 Sector High Dividend,24.52,24.61 - 24.8,,24.68,15.21 - 27.71,,,,,5216.0,,,- 10.31%,,Equity,,,,,,2020-12-31
EEMD,AAM S&P EM Sector High Dividend,21.33,21.34 - 21.34,,21.19,13.76 - 23.08,,,,,3570.0,,,- 6.18%,,Equity,,,,,,2020-12-31
ZIG,The Acquirers Fund,22.91,22.95 - 22.97,,22.95,17.19 - 27.49,,3224.0,,,4994.0,,,- 16.15%,,Equity,,,,,,2020-12-31
HDGE,Ranger Equity Bear,3.04,3.02 - 3.06,,3.03,2.99 - 7.95,,736470.0,,,797364.0,163390000.0,,- 43.28%,,Equity,,,,,,2020-12-31
DWSH,AdvisorShares Dorsey Wright Short,11.47,11.4 - 11.57,,11.47,11.3 - 45.92,,104969.0,,,134756.0,,,- 49.74%,,Equity,,,,,,2020-12-31
YOLO,AdvisorShares Pure Cannabis,17.16,16.92 - 17.16,,17.21,5.65 - 17.82,,183823.0,,,226539.0,,,43.44%,,Equity,,,,,,2020-12-31
CWS,AdvisorShares Focused Equity,43.25,43 - 43.11,,43.65,25.72 - 44.89,,9051.0,,,2263.0,,,15.36%,,Equity,,,,,,2020-12-31
AADR,WCM/BNY Mellon Focused Growth ADR,61.46,61.09 - 61.09,,61.48,33.75 - 61.65,,6452.0,,,10464.0,23330000.0,,14.4%,,Equity,,,,,,2020-12-31
HYLD,Peritus High Yield,31.77,31.8 - 31.82,,31.77,24.02 - 34.26,,24142.0,,,20862.0,196980000.0,,- 4.98%,,,,,,,,2020-12-31
MINC,Newfleet Multi-Sector Income,48.9,49.11 - 49.19,,49.01,42.72 - 49.28,,3000.0,,,3031.0,255550000.0,,0.74%,,,,,,,,2020-12-31
ACT,AdvisorShares Vice ETF,27.27,27.04 - 27.16,,27.16,16.16 - 28.16,,,,,1983.0,,,7.86%,,Equity,,,,,,2020-12-31
FLRT,AdvisorShares Pacific Asset Enhanced Fl Rate,48.42,48.32 - 48.32,,48.32,38.88 - 49.49,,,,,487.0,27380000.0,,- 1.83%,,Other,,,,,,2020-12-31
DBLV,AdvisorShares Wilshire Buyback,79.42,79.66 - 79.71,,79.77,48.3 - 81.53,,,,,1071.0,152610000.0,,6.79%,,Equity,,,,,,2020-12-31
HOLD,AdvisorShares Sage Core Reserves,98.8,98.74 - 98.74,,98.78,93.52 - 100.35,,,,,16440.0,86990000.0,,- 1.06%,,,,,,,,2020-12-31
FWDB,Madrona Global Bond,26.29,26.32 - 26.32,,26.06,23.18 - 27.29,,,,,1863.0,19080000.0,,1.08%,,,,,,,,2020-12-31
DWMC,AdvisorShares Dorsey Wright Micro-Cap,28.26,28.26 - 28.29,,28.29,13.03 - 30.65,,,,,708.0,,,18%,,Equity,,,,,,2020-12-31
SCAP,AdvisorShares Cornerstone Small Cap,26.86,27.09 - 27.09,,27.09,21.79 - 38.65,,,,,2.0,3370000.0,,- 27.78%,,Equity,,,,,,2020-12-31
VEGA,Star Global Buy-Write,36.75,36.93 - 36.93,,37.42,25.27 - 37.07,,,,,815.0,17480000.0,,8.46%,,Other,,,,,,2020-12-31
FNG,AdvisorShares New Tech and Media,10.27,10.39 - 10.45,,10.6,9.94 - 16.69,,,,,10845.0,,,0.38%,,Equity,,,,,,2020-12-31
BKCH,AdvisorShares Sabretooth Digital Ledger,25.69,24.9 - 25.56,,25.52,24.45 - 28.96,,,,,1007.0,,,0%,,Equity,,,,,,2020-12-31
AFIF,Anfield Universal Fixed Income,9.78,9.79 - 9.79,,9.78,9.11 - 10.77,,,,,78138.0,,,0.93%,,,,,,,,2020-12-31
GLIF,AGFiQ Global Infrastructure,23.42,23.46 - 23.46,,23.46,17.78 - 28.21,,,,,217.0,,,- 11.84%,,Equity,,,,,,2020-12-31
USHG,AGFiQ Dynamic Hedged U.S. Equity,31.01,30.93 - 30.93,,30.93,21.32 - 31.49,,,,,109.0,,,11.94%,,Equity,,,,,,2020-12-31
VMOT,Alpha Architect Value Momentum Trend,26.26,26.08 - 26.11,,26.11,19.7 - 26.45,,3718.0,,,7909.0,,,5.33%,,Equity,,,,,,2020-12-31
QMOM,MomentumShares U.S. Quantitative Momentum,52.88,52.39 - 53.06,,53.06,21.5 - 56.54,,5621.0,,,11280.0,,,62.43%,,Equity,,,,,,2020-12-31
IMOM,MomentumShares International Quantitative Momentum,34.71,34.5 - 34.65,,34.71,17.14 - 34.77,,6064.0,,,15438.0,,,28.27%,,Equity,,,,,,2020-12-31
FRDM,Alpha Architect Freedom 100 Emerging Markets,32.02,31.9 - 32.12,,32.12,16.86 - 32.12,,7050.0,,,6802.0,,,15.96%,,Equity,,,,,,2020-12-31
AMLP,ALPS Alerian MLP,25.48,25.29 - 25.85,13%,25.48,3.24 - 44.65,5.32,4223689.0,3590000000.0,14.45%,3422865.0,8039999999.999999,1.95,- 39.95%,151282420.0,Equity,,,,,,2020-12-31
SDOG,ALPS Sector Dividend Dogs,44.33,44.28 - 44.66,,44.25,26.12 - 47.63,,45805.0,,,65393.0,2063000000.0000002,,- 5.34%,,Equity,,,,,,2020-12-31
