Symbol,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Name,Last,Chg. %,Vol.,Time,Date
SPDV,AAM S&P 500 Sector High Dividend,31.12,30.47 - 31.24,,31.24,17.88 - 31.95,1.02,4691.0,,3.47%,9817.0,,,59.59%,,Equity,,,,,,2021-05-12
EEMD,AAM S&P EM Sector High Dividend,23.8,23.01 - 23.29,,23.29,16.36 - 23.99,0.89,1279.0,,3.87%,1906.0,,,42.48%,,Equity,,,,,,2021-05-12
ZIG,The Acquirers Fund,27.26,26.88 - 27.22,,27.22,19 - 27.9,0.04,2435.0,,0.17%,7309.0,,,34.15%,,Equity,,,,,,2021-05-12
HDGE,Ranger Equity Bear,24.5,24.66 - 25.09,,24.68,2.58 - 26.49,0.12,144735.0,,0.47%,67615.0,163390000.0,,331.34%,,Equity,,,,,,2021-05-12
DWSH,AdvisorShares Dorsey Wright Short,8.9,8.89 - 8.98,,8.93,8.73 - 29.9,,36954.0,,,38088.0,,,- 65.3%,,Equity,,,,,,2021-05-12
YOLO,AdvisorShares Pure Cannabis,20.13,19.2 - 20.2,,19.92,8.16 - 31.87,0.15,253745.0,,0.59%,394011.0,,,130.06%,,Equity,,,,,,2021-05-12
CWS,AdvisorShares Focused Equity,46.92,45.56 - 47,,47.0,32.56 - 49.37,0.12,2084.0,,0.27%,3650.0,,,37.42%,,Equity,,,,,,2021-05-12
AADR,WCM/BNY Mellon Focused Growth ADR,65.27,63.25 - 64.92,,64.92,45.56 - 67.24,0.07,8623.0,,0.11%,4774.0,23330000.0,,38.26%,,Equity,,,,,,2021-05-12
HYLD,Peritus High Yield,32.5,32.37 - 32.54,,32.51,26.2 - 32.64,2.36,11002.0,,7.26%,23465.0,196980000.0,,22.6%,,,,,,,,2021-05-12
MINC,Newfleet Multi-Sector Income,48.9,48.85 - 48.9,,48.89,47.02 - 52.42,1.16,8727.0,,2.37%,12523.0,255550000.0,,3.84%,,,,,,,,2021-05-12
ACT,AdvisorShares Vice ETF,34.65,33.25 - 34.53,,34.53,20.83 - 36.72,,1413.0,,,2480.0,,,58%,,Equity,,,,,,2021-05-12
FLRT,AdvisorShares Pacific Asset Enhanced Fl Rate,48.86,48.83 - 48.83,,48.83,45.48 - 49.3,1.62,4.0,,3.31%,2998.0,27380000.0,,7.33%,,Other,,,,,,2021-05-12
DBLV,AdvisorShares Wilshire Buyback,95.72,94.01 - 94.5,,94.5,59.89 - 97.83,1.02,592.0,,1.11%,768.0,152610000.0,,50.61%,,Equity,,,,,,2021-05-12
HOLD,AdvisorShares Sage Core Reserves,98.74,98.74 - 98.74,,98.74,97.54 - 99.08,1.36,4.0,,1.37%,578.0,86990000.0,,1.15%,,,,,,,,2021-05-12
FWDB,Madrona Global Bond,25.9,25.88 - 25.88,,25.88,25.18 - 26.45,0.48,14.0,,1.83%,1275.0,19080000.0,,1.81%,,,,,,,,2021-05-12
DWMC,AdvisorShares Dorsey Wright Micro-Cap,34.84,34.1 - 34.76,,34.67,18.39 - 41.61,,2946.0,,,5878.0,,,77.85%,,Equity,,,,,,2021-05-12
SCAP,AdvisorShares Cornerstone Small Cap,26.86,27.09 - 27.09,,27.09,21.79 - 38.65,,,,,2.0,3370000.0,,0.02%,,Equity,,,,,,2021-05-12
VEGA,Star Global Buy-Write,38.4,38 - 38.16,,38.05,30.05 - 39.28,0.1,1776.0,,0.27%,4671.0,17480000.0,,23.8%,,Other,,,,,,2021-05-12
FNG,AdvisorShares New Tech and Media,10.27,10.39 - 10.45,,10.6,9.94 - 16.69,,,,,10845.0,,,0.38%,,Equity,,,,,,2021-05-12
BKCH,AdvisorShares Sabretooth Digital Ledger,25.69,24.9 - 25.56,,25.52,24.45 - 28.96,,,,,1007.0,,,0%,,Equity,,,,,,2021-05-12
AFIF,Anfield Universal Fixed Income,9.72,9.68 - 9.69,,9.69,9.51 - 10.77,0.31,10370.0,,3.18%,71231.0,,,- 0.56%,,,,,,,,2021-05-12
GLIF,AGFiQ Global Infrastructure,26.5,26.12 - 26.36,,26.36,22.09 - 26.75,1.17,534.0,,4.75%,1387.0,,,15.71%,,Equity,,,,,,2021-05-12
USHG,AGFiQ Dynamic Hedged U.S. Equity,31.4,31.34 - 31.51,,31.34,25.54 - 32.48,0.36,,,1.14%,2954.0,,,19.17%,,Equity,,,,,,2021-05-12
VMOT,Alpha Architect Value Momentum Trend,26.71,26.01 - 26.25,,26.25,21.31 - 29.4,26.05,674.0,,95.88%,4680.0,,,23.31%,,Equity,,,,,,2021-05-12
