Symbol,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Name,Last,Chg. %,Vol.,Time,Date
SPY,SPDR S&P 500,352.6,353.43 - 358.75,- 0.46%,354.67,218.26 - 358.75,4.03,68930154.0,301960000000.0,1.66%,75355016.0,167650000000.0,1.01,20.57%,885482116.0,Equity,SPDR S&P 500,357.7,+1.45%,68.95M,15:59:59,2020-09-02
EEM,iShares MSCI Emerging Markets,45.3,44.78 - 45.37,- 26.56%,45.36,30.09 - 46.32,0.84,50398446.0,23870000000.0,2.02%,44366076.0,22120000000.0,0.93,13.39%,539100000.0,Equity,iShares MSCI Emerging Markets,45.18,-0.26%,50.40M,15:59:59,2020-09-02
XLF,Financial Select Sector SPDR,25.13,25.05 - 25.58,- 7.17%,25.12,17.49 - 31.38,0.49,48083789.0,17710000000.0,2.45%,65907929.0,16160000000.0,1.17,- 6.65%,715745427.0,Equity,Financial Select Sector SPDR,25.49,+1.43%,48.08M,15:59:59,2020-09-02
SLV,iShares Silver,26.14,25.2 - 25.73,- 15.56%,25.72,10.86 - 27.38,,42673733.0,15310000000.0,,50125343.0,4670000000.0,0.62,52.42%,618200000.0,Commodity,iShares Silver,25.55,-2.26%,42.67M,15:59:59,2020-09-02
UVXY,ProShares Ultra VIX Short-Term Futures,23.24,23.02 - 24.39,,23.15,10.4 - 135,,42543431.0,,,29801050.0,331930000.0,,- 26.8%,,Other,ProShares Ultra VIX Short-Term Futures,24.08,+3.61%,42.54M,15:59:59,2020-09-02
SPXS,Direxion Daily S&P 500 Bear 3X Shares,5.14,4.88 - 5.12,,5.05,4.88 - 28.85,,42499166.0,,,37378770.0,436140000.0,,- 71.82%,,Equity,Direxion Daily S&P 500 Bear 3X Shares,4.93,-4.09%,42.50M,15:59:59,2020-09-02
SPXU,ProShares UltraPro Short S&P500,7.78,7.37 - 7.72,,7.63,7.37 - 43.68,,31908093.0,,,31503073.0,717210000.0,,- 71.83%,,Equity,ProShares UltraPro Short S&P500,7.44,-4.37%,31.91M,15:59:59,2020-09-02
IAU,iShares Gold,18.8,18.44 - 18.68,- 9.65%,18.67,13.8 - 19.75,,27142226.0,31270000000.0,,27404958.0,5750000000.0,0.07,29.12%,1697850000.0,Commodity,iShares Gold,18.57,-1.22%,27.14M,15:59:59,2020-09-02
XLE,Energy Select Sector SPDR,35.41,35.02 - 35.61,- 10.6%,35.4,22.88 - 61.8,1.86,23848353.0,10180000000.0,6.08%,24811494.0,13090000000.0,1.67,- 36.55%,279574200.0,Equity,Energy Select Sector SPDR,35.24,-0.48%,23.85M,15:59:59,2020-09-02
GDX,VanEck Vectors Gold Miners,41.67,40.41 - 41.8,- 15.01%,41.23,16.18 - 45.78,0.12,21556548.0,17360000000.0,0.47%,32191922.0,5620000000.0,0.72,39.55%,427702500.0,Equity,VanEck Vectors Gold Miners,41.76,+0.22%,21.56M,15:59:59,2020-09-02
IEMG,iShares Core MSCI Emerging Markets,54.23,53.56 - 54.26,,54.26,35.65 - 55.45,,20903051.0,,,12968912.0,21297000000.0,,12.98%,,Equity,iShares Core MSCI Emerging Markets,54.06,-0.31%,20.90M,15:59:59,2020-09-02
EFA,iShares MSCI EAFE,65.05,65.27 - 65.97,- 0.32%,65.52,45.73 - 70.42,1.7,20698359.0,48080000000.0,2.54%,23783518.0,61770000000.0,0.83,2.91%,746400000.0,Equity,iShares MSCI EAFE,65.92,+1.34%,20.70M,15:59:59,2020-09-02
XLK,Technology Select Sector SPDR,125.91,124.81 - 127.72,23.46%,127.71,68.1 - 127.72,0.68,20190901.0,36110000000.0,1%,9933140.0,14140000000.0,1.05,58.32%,303255897.0,Equity,Technology Select Sector SPDR,127.03,+0.89%,20.19M,15:59:59,2020-09-02
