Symbol,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Name,Last,Chg. %,Vol.,Time,Date
SPDV,AAM S&P 500 Sector High Dividend,26.79,27 - 27,,26.89,15.21 - 27.16,,,,,5952.0,,,- 0.55%,,Equity,,,,,,2021-02-22
EEMD,AAM S&P EM Sector High Dividend,22.34,22.5 - 22.51,,22.56,13.76 - 22.88,,,,,3255.0,,,6.79%,,Equity,,,,,,2021-02-22
ZIG,The Acquirers Fund,24.31,24.01 - 24.06,,24.29,17.19 - 26.27,,7540.0,,,7558.0,,,- 9.38%,,Equity,,,,,,2021-02-22
HDGE,Ranger Equity Bear,25.48,25.51 - 25.71,,25.54,2.58 - 25.75,,51502.0,,,491997.0,163390000.0,,394.75%,,Equity,,,,,,2021-02-22
DWSH,AdvisorShares Dorsey Wright Short,9.94,9.8 - 9.96,,9.96,9.8 - 45.92,,56902.0,,,80246.0,,,- 58.77%,,Equity,,,,,,2021-02-22
YOLO,AdvisorShares Pure Cannabis,27.69,26.77 - 27.33,,27.23,5.65 - 31.87,,565274.0,,,671166.0,,,143.9%,,Equity,,,,,,2021-02-22
CWS,AdvisorShares Focused Equity,43.84,43.4 - 43.4,,43.84,25.72 - 44.89,,3343.0,,,3038.0,,,14.46%,,Equity,,,,,,2021-02-22
AADR,WCM/BNY Mellon Focused Growth ADR,66.44,65.1 - 65.16,,65.43,33.75 - 67.24,,,,,8906.0,23330000.0,,14.92%,,Equity,,,,,,2021-02-22
HYLD,Peritus High Yield,32.48,32.48 - 32.56,,32.63,24.02 - 33.92,,41498.0,,,27674.0,196980000.0,,- 4.22%,,,,,,,,2021-02-22
MINC,Newfleet Multi-Sector Income,49.07,49.09 - 49.09,,49.06,42.72 - 52.42,,,,,17635.0,255550000.0,,0.55%,,,,,,,,2021-02-22
ACT,AdvisorShares Vice ETF,27.27,27.04 - 27.16,,27.16,16.16 - 28.16,,,,,572.0,,,5.58%,,Equity,,,,,,2021-02-22
FLRT,AdvisorShares Pacific Asset Enhanced Fl Rate,49.08,49.17 - 49.18,,49.15,38.88 - 49.3,,,,,306.0,27380000.0,,- 0.1%,,Other,,,,,,2021-02-22
DBLV,AdvisorShares Wilshire Buyback,84.41,84.85 - 84.85,,84.73,48.3 - 85.43,,,,,1490.0,152610000.0,,11.82%,,Equity,,,,,,2021-02-22
HOLD,AdvisorShares Sage Core Reserves,98.83,98.75 - 98.81,,98.81,93.52 - 100.35,,,,,6524.0,86990000.0,,- 1.34%,,,,,,,,2021-02-22
FWDB,Madrona Global Bond,26.1,26.12 - 26.12,,26.14,23.18 - 27.19,,,,,1561.0,19080000.0,,- 4.08%,,,,,,,,2021-02-22
