Symbol,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Name,Last,Chg. %,Vol.,Time,Date
SPY,SPDR S&P 500,334.5,327.97 - 335.49,- 0.46%,335.37,218.26 - 358.66,4.03,104010312.0,301960000000.0,1.66%,71066458.0,167650000000.0,1.01,11.54%,885482116.0,Equity,SPDR S&P 500,330.65,-1.15%,104.01M,15:59:59,2020-09-18
XLF,Financial Select Sector SPDR,24.73,24.63 - 24.93,- 7.17%,24.73,17.49 - 31.38,0.49,59980657.0,17710000000.0,2.45%,58567774.0,16160000000.0,1.17,- 13.29%,715745427.0,Equity,Financial Select Sector SPDR,24.68,-0.20%,59.98M,15:59:59,2020-09-18
UVXY,ProShares Ultra VIX Short-Term Futures,19.45,18.55 - 20.1,,19.18,10.4 - 135,,45289830.0,,,37459769.0,331930000.0,,- 19.66%,,Other,ProShares Ultra VIX Short-Term Futures,19.41,-0.21%,45.29M,15:59:59,2020-09-18
IWM,iShares Russell 2000,153.69,151.14 - 155.29,6.42%,153.98,95.69 - 170.56,1.59,36813780.0,40650000000.0,1.3%,23402313.0,35680000000.0,1.26,- 1.81%,259900000.0,Equity,iShares Russell 2000,153.29,-0.26%,36.81M,15:59:59,2020-09-18
SPXS,Direxion Daily S&P 500 Bear 3X Shares,5.85,5.79 - 6.19,,5.81,4.88 - 28.85,,36435256.0,,,36284588.0,436140000.0,,- 64.99%,,Equity,Direxion Daily S&P 500 Bear 3X Shares,6.05,+3.42%,36.44M,15:59:59,2020-09-18
EWZ,iShares MSCI Brazil Capped,31.23,29.79 - 30.97,- 18.37%,30.88,20.14 - 48.48,1.38,34512630.0,5320000000.0,3.48%,24992509.0,3580000000.0,1.11,- 26.71%,179350000.0,Equity,iShares MSCI Brazil Capped,29.8,-4.58%,34.51M,15:59:59,2020-09-18
EEM,iShares MSCI Emerging Markets,44.87,44.45 - 44.95,- 26.56%,44.91,30.09 - 46.32,0.84,32495511.0,23870000000.0,2.02%,41443583.0,22120000000.0,0.93,8.15%,539100000.0,Equity,iShares MSCI Emerging Markets,44.52,-0.78%,32.50M,15:59:59,2020-09-18
HYG,iShares iBoxx $ High Yield Corporate Bond,84.5,84.25 - 84.69,5.21%,84.67,67.52 - 88.53,5.0,27537250.0,30360000000.0,4.98%,24047044.0,20510000000.0,0.41,- 3.4%,356600000.0,,iShares iBoxx $ High Yield Corporate Bond,84.29,-0.25%,27.54M,15:59:59,2020-09-18
SPXU,ProShares UltraPro Short S&P500,8.83,8.75 - 9.34,,8.76,7.38 - 43.68,,27492040.0,,,30157495.0,717210000.0,,- 65.1%,,Equity,ProShares UltraPro Short S&P500,9.14,+3.51%,27.49M,15:59:59,2020-09-18
EFA,iShares MSCI EAFE,65.66,64.91 - 65.5,- 0.32%,65.47,45.73 - 70.42,1.7,27456038.0,48080000000.0,2.54%,22324694.0,61770000000.0,0.83,0.26%,746400000.0,Equity,iShares MSCI EAFE,65.13,-0.81%,27.46M,15:59:59,2020-09-18
