Symbol,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Name,Last,Chg. %,Vol.,Time,Date
SPY,SPDR S&P 500,339.79,332.85 - 342.53,- 0.46%,341.82,218.26 - 358.66,4.03,89872432.0,301960000000.0,1.66%,76796485.0,167650000000.0,1.01,13.97%,885482116.0,Equity,SPDR S&P 500,333.89,-1.74%,89.87M,15:59:59,2020-09-10
SPXS,Direxion Daily S&P 500 Bear 3X Shares,5.66,5.53 - 6.01,,5.57,4.88 - 28.85,,57018500.0,,,39480274.0,436140000.0,,- 67.05%,,Equity,Direxion Daily S&P 500 Bear 3X Shares,5.96,+5.30%,57.02M,15:59:59,2020-09-10
XLF,Financial Select Sector SPDR,24.89,24.49 - 25.14,- 7.17%,24.97,17.49 - 31.38,0.49,55503834.0,17710000000.0,2.45%,63939422.0,16160000000.0,1.17,- 10.98%,715745427.0,Equity,Financial Select Sector SPDR,24.54,-1.41%,55.50M,15:59:59,2020-09-10
UVXY,ProShares Ultra VIX Short-Term Futures,22.44,21.83 - 23.6,,22.12,10.4 - 135,,54130686.0,,,35762420.0,331930000.0,,- 17.8%,,Other,ProShares Ultra VIX Short-Term Futures,22.78,+1.52%,54.13M,15:59:59,2020-09-10
EEM,iShares MSCI Emerging Markets,44.22,43.51 - 44.34,- 26.56%,44.27,30.09 - 46.32,0.84,54043405.0,23870000000.0,2.02%,44516691.0,22120000000.0,0.93,7.43%,539100000.0,Equity,iShares MSCI Emerging Markets,43.51,-1.61%,54.04M,15:59:59,2020-09-10
SLV,iShares Silver,25.18,24.84 - 25.57,- 15.56%,25.53,10.86 - 27.38,,47268965.0,15310000000.0,,51909207.0,4670000000.0,0.62,49.44%,618200000.0,Commodity,iShares Silver,24.86,-1.27%,47.26M,15:59:59,2020-09-10
SPXU,ProShares UltraPro Short S&P500,8.55,8.34 - 9.08,,8.39,7.38 - 43.68,,43798235.0,,,33427217.0,717210000.0,,- 67.14%,,Equity,ProShares UltraPro Short S&P500,8.99,+5.15%,43.80M,15:59:59,2020-09-10
XLE,Energy Select Sector SPDR,33.83,32.53 - 33.97,- 10.6%,33.93,22.88 - 61.8,1.86,36978877.0,10180000000.0,6.08%,24385391.0,13090000000.0,1.67,- 42.81%,279574200.0,Equity,Energy Select Sector SPDR,32.59,-3.67%,36.99M,15:59:59,2020-09-10
HYG,iShares iBoxx $ High Yield Corporate Bond,84.68,84.25 - 84.83,5.21%,84.81,67.52 - 88.53,5.0,32439657.0,30360000000.0,4.98%,24840138.0,20510000000.0,0.41,- 2.98%,356600000.0,,iShares iBoxx $ High Yield Corporate Bond,84.28,-0.47%,32.44M,15:59:59,2020-09-10
EFA,iShares MSCI EAFE,64.92,64.16 - 65.37,- 0.32%,65.27,45.73 - 70.42,1.7,30239149.0,48080000000.0,2.54%,23889299.0,61770000000.0,0.83,0.14%,746400000.0,Equity,iShares MSCI EAFE,64.16,-1.17%,30.24M,15:59:59,2020-09-10
EWZ,iShares MSCI Brazil Capped,31.22,30.21 - 31.44,- 18.37%,31.21,20.14 - 48.48,1.38,28766535.0,5320000000.0,3.48%,26633708.0,3580000000.0,1.11,- 25.68%,179350000.0,Equity,iShares MSCI Brazil Capped,30.22,-3.20%,28.77M,15:59:59,2020-09-10
QID,ProShares UltraShort QQQ,9.63,9.32 - 10.13,- 43.01%,9.4,8.22 - 32.35,,26586328.0,282830000.0,3.61%,13585324.0,823450000.0,- 1.73,- 67.59%,30444232.0,Equity,ProShares UltraShort QQQ,10.02,+4.05%,26.59M,15:59:59,2020-09-10
FXI,iShares China Large-Cap,42.99,42.1 - 42.78,- 3.92%,42.72,33.1 - 45.9,0.75,25040874.0,3560000000.0,2.5%,20909102.0,6790000000.0,0.85,5.6%,80550000.0,Equity,iShares China Large-Cap,42.14,-1.98%,25.04M,15:59:59,2020-09-10
GDX,VanEck Vectors Gold Miners,42.34,41.44 - 42.89,- 15.01%,42.76,16.18 - 45.78,0.12,24649678.0,17360000000.0,0.47%,31550489.0,5620000000.0,0.72,53.91%,427702500.0,Equity,VanEck Vectors Gold Miners,41.58,-1.79%,24.65M,15:59:59,2020-09-10
IWM,iShares Russell 2000,152.13,150.06 - 153.88,6.42%,152.83,95.69 - 170.56,1.59,22874880.0,40650000000.0,1.3%,26036616.0,35680000000.0,1.26,- 1.12%,259900000.0,Equity,iShares Russell 2000,150.15,-1.30%,22.87M,15:59:59,2020-09-10
IAU,iShares Gold,18.6,18.52 - 18.76,- 9.65%,18.72,13.8 - 19.75,,21575873.0,31270000000.0,,27323863.0,5750000000.0,0.07,30.8%,1697850000.0,Commodity,iShares Gold,18.53,-0.38%,21.58M,15:59:59,2020-09-10
SDS,ProShares UltraShort S&P500,15.72,15.47 - 16.37,- 19.37%,15.55,14.21 - 44.4,,21441828.0,1130000000.0,1.8%,13734661.0,1620000000.0,- 1.68,- 46.82%,72296067.0,Equity,ProShares UltraShort S&P500,16.28,+3.56%,21.44M,15:59:59,2020-09-10
XLU,Utilities Select Sector SPDR,59.82,58.72 - 59.66,7.68%,59.59,43.44 - 71.1,1.51,18139536.0,11860000000.0,3.27%,15709877.0,6620000000.0,0.38,- 4.41%,199524160.0,Equity,Utilities Select Sector SPDR,58.79,-1.72%,18.14M,15:59:59,2020-09-10
VWO,Vanguard FTSE Emerging Markets,43.83,43.14 - 43.93,- 16.44%,43.86,29.95 - 45.92,0.63,17577994.0,62660000000.0,2.91%,11647533.0,37070000000.0,0.91,5.87%,1398056702.0,Equity,Vanguard FTSE Emerging Markets,43.17,-1.51%,17.58M,15:59:59,2020-09-10
SH,ProShares Short S&P500,20.17,20.01 - 20.58,,20.05,19.16 - 33.19,,17217657.0,,,13192316.0,1741000000.0,,- 23.02%,,Equity,ProShares Short S&P500,20.53,+1.78%,17.22M,15:59:59,2020-09-10
TZA,Direxion Daily Small Cap Bear 3X Shares,16.8,16.22 - 17.5,- 138.08%,16.59,14.7 - 118.69,,16850170.0,600390000.0,3.18%,22564874.0,623380000.0,- 3.26,- 63.23%,38441573.0,Equity,Direxion Daily Small Cap Bear 3X Shares,17.44,+3.81%,16.85M,15:59:59,2020-09-10
XLI,Industrial Select Sector SPDR,77.56,76.33 - 78.06,16%,77.82,47.71 - 85.33,0.95,16546955.0,10990000000.0,1.96%,11790489.0,8840000000.0,1.18,- 0.74%,143076000.0,Equity,Industrial Select Sector SPDR,76.57,-1.28%,16.55M,15:59:59,2020-09-10
XLK,Technology Select Sector SPDR,116.46,113.14 - 118.24,23.46%,118.06,68.1 - 127.69,0.68,16041531.0,36110000000.0,1%,11042795.0,14140000000.0,1.05,44.71%,303255897.0,Equity,Technology Select Sector SPDR,113.83,-2.26%,16.04M,15:59:59,2020-09-10
EWH,iShares MSCI Hong Kong,22.6,22.18 - 22.46,- 12.27%,22.46,17.92 - 25.64,1.03,13499547.0,1320000000.0,2.73%,5551542.0,2830000000.0,0.77,- 5.4%,58275000.0,Equity,iShares MSCI Hong Kong,22.19,-1.81%,13.50M,15:59:59,2020-09-10
SPXL,Direxion Daily S&P 500 Bull 3X Shares,54.74,51.4 - 56.08,,55.73,16.51 - 76.33,,13390873.0,,,11852574.0,512740000.0,,4.23%,,Equity,Direxion Daily S&P 500 Bull 3X Shares,51.92,-5.15%,13.39M,15:59:59,2020-09-10
PSQ,ProShares Short QQQ,16.65,16.4 - 17.09,,16.46,15.36 - 29.7,,12952875.0,,,7102435.0,296600000.0,,- 39.65%,,Equity,ProShares Short QQQ,17.0,+2.10%,12.95M,15:59:59,2020-09-10
TNA,Direxion Daily Small Cap Bull 3X Shares,32.02,30.75 - 33.15,,32.5,10.09 - 77.89,,12842441.0,,,20306653.0,736440000.0,,- 44.92%,,Equity,Direxion Daily Small Cap Bull 3X Shares,30.8,-3.81%,12.84M,15:59:59,2020-09-10
IEMG,iShares Core MSCI Emerging Markets,52.91,52.11 - 53.09,,53.02,35.65 - 55.45,,12825314.0,,,12489077.0,21297000000.0,,7.02%,,Equity,iShares Core MSCI Emerging Markets,52.12,-1.49%,12.83M,15:59:59,2020-09-10
